"Goods_1010001"     "采矿智械"
"Goods_1050032"     "解锁装备：弯月刀"
"Goods_1050033"     "解锁装备：冰刀"
"Goods_1050034"     "解锁装备：唐僧的信条"
"Goods_1050035"     "解锁装备：隐身斗篷"
"Goods_1050036"     "解锁装备：双击法杖"
"Goods_1050037"     "解锁装备：图坦卡蒙面具"
"Goods_1050038"     "解锁装备：朗基努斯之枪"
"Goods_1050039"     "解锁装备：虚无头巾"
"Goods_1050040"     "解锁装备：幻境魔方"
"Goods_1050041"     "解锁装备：日月星辉剑"
"Goods_1050042"     "解锁装备：玛雅神盾"
"Goods_1050043"     "解锁装备：招安录"
"Goods_1050044"     "解锁装备：米斯特汀"
"Goods_1050045"     "解锁装备：最终棱镜"
"Goods_1050046"     "解锁装备：忍者用具"
"Goods_1050047"     "解锁装备：勇气勋章"
"Goods_1050048"     "解锁装备：贤哲密契"
"Goods_1050049"     "解锁装备：暗杀名单"
"Goods_1050050"     "解锁装备：撒旦之邪力"
"Goods_1050051"     "解锁装备：灭世枪"
"Goods_1050052"     "解锁装备：赤红利刃"
"Goods_1050053"     "解锁装备：力量手环"
"Goods_1050054"     "解锁装备：智力法袍"
"Goods_1050055"     "解锁装备：力量手套"
"Goods_1050056"     "解锁装备：法强之戒"
"Goods_1050057"     "解锁装备：吸血脸"
"Goods_1050058"     "解锁装备：恢复戒指"
"Goods_1050059"     "解锁装备：净化药瓶"
"Goods_1050060"     "解锁装备：枫糖浆"
"Goods_1050061"     "解锁装备：闪避符"
"Goods_1050062"     "解锁装备：小魔瓶"
"Goods_1050063"     "解锁装备：巫毒面具"
"Goods_1050064"     "解锁装备：破碎的护符"
"Goods_1050065"     "解锁装备：伐木斧"
"Goods_1050066"     "解锁装备：附魔板甲"
"Goods_1050067"     "解锁装备：敏捷之靴"
"Goods_1050068"     "解锁装备：制式长矛"
"Goods_1050069"     "解锁装备：制式弓箭"
"Goods_1050070"     "解锁装备：制式法杖"
"Goods_1050071"     "解锁装备：制式木杖"
"Goods_1050072"     "解锁装备：精钢盾牌"
"Goods_1050073"     "解锁装备：铁法袍"
"Goods_1050074"     "解锁装备：偷金手"
"Goods_1050075"     "解锁装备：闪电指套"
"Goods_1050076"     "解锁装备：御风靴"
"Goods_1050077"     "解锁装备：星戒"
"Goods_1050078"     "解锁装备：力量药瓶"
"Goods_1050079"     "解锁装备：魔肤药瓶"
"Goods_1050080"     "解锁装备：钢铁药瓶"
"Goods_1050081"     "解锁装备：急速药瓶"
"Goods_1050082"     "解锁装备：智力药瓶"
"Goods_1050083"     "解锁装备：林野长弓"
"Goods_1050084"     "解锁装备：幽灵披风"
"Goods_1050085"     "解锁装备：专注药瓶"
"Goods_1050086"     "解锁装备：林野法杖"
"Goods_1050087"     "解锁装备：无知小帽"
"Goods_1050088"     "解锁装备：翡翠吊坠"
"Goods_1050089"     "解锁装备：夺命法杖"
"Goods_1050090"     "解锁装备：圣法书"
"Goods_1050091"     "解锁装备：亡灵法书"
"Goods_1050092"     "解锁装备：随从旗帜"
"Goods_1050093"     "解锁装备：随从权杖"
"Goods_1050094"     "解锁装备：恐鳌之戒"
"Goods_1050095"     "解锁装备：急速宝石"
"Goods_1050096"     "解锁装备：炙炎"
"Goods_1050097"     "解锁装备：耐力腰带"
"Goods_1050098"     "解锁装备：魔法师戒指"
"Goods_1050099"     "解锁装备：嗜血面具"
"Goods_1050100"     "解锁装备：全能指环"
"Goods_1050101"     "解锁装备：点金手"
"Goods_1050102"     "解锁装备：英雄长剑"
"Goods_1050103"     "解锁装备：英雄法杖"
"Goods_1050106"     "解锁装备：未鉴定的装备(N)"
"Goods_1050107"     "解锁装备：未鉴定的装备(R)"
"Goods_1050108"     "解锁装备：未鉴定的装备(SR)"
"Goods_1050109"     "解锁装备：未鉴定的装备(SSR)"
"Goods_1050110"     "解锁装备：轻语吊坠"
"Goods_1050111"     "解锁装备：碾压权杖"
"Goods_1050112"     "解锁装备：闪电鞭"
"Goods_1050113"     "解锁装备：圣洁法袍"
"Goods_1050114"     "解锁装备：代达罗斯"
"Goods_1050115"     "解锁装备：天使战刃"
"Goods_1050116"	    "解锁装备：七星灯"
"Goods_1050117"	    "解锁装备：远古星盘"
"Goods_1050118"	    "解锁装备：恶魔之戒"
"Goods_1050119"	    "解锁装备：领袖证明"
"Goods_1050120"	    "解锁装备：火精灵权杖"
"Goods_1050121"	    "解锁装备：烈焰之刃"

//装备解锁
"GoodsDetail_1050001"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>砍柴斧</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050002"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>长老杖</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050003"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>银鳞甲</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050004"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>绝缘斗篷</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050005"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>红宝石</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050006"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>蓝宝石</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050007"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>加速手套</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050008"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>弩炮</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050009"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>玲珑心</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050010"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>圣灯</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050011"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>圣剑</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050012"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>浩劫巨锤</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050013"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>灼烧斗篷</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050014"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>闪避便鞋</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050015"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>恐惧面具</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050016"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>雷霆锤</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050017"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>猛兽犄角</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050018"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>天使遗物</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050019"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>振奋宝石</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050020"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>吸血獠牙</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050021"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>漫射宝石</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050022"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>幻影斧</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050023"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>专注之心</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050024"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>阿努比斯的使者</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050025"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>异次元之壁</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050026"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>时间沙漏</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050027"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>狂战斧</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050028"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>水晶剑</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050029"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>双刃剑</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050030"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>冰霜之心</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050031"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>流星蝴蝶剑</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050032"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>弯月刀</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050033"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>冰刀</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050035"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>隐身斗篷</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050036"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>双击法杖</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050037"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>图坦卡蒙面具</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050038"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>朗基努斯之枪</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050039"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>虚无头巾</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050040"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>幻境魔方</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050041"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>日月星辉剑</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050042"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>玛雅神盾</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050043"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>招安录</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050044"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>米斯特汀</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050045"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>最终棱镜</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050046"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>忍者用具</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050047"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>勇气勋章</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050048"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>贤哲密契</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050049"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>暗杀名单</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050050"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>撒旦之邪力</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050051"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>灭世枪</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050052"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>赤红利刃</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050053"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>力量手环</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050054"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>智力法袍</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050055"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>力量手套</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050056"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>法强之戒</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050057"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>吸血脸</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050058"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>恢复戒指</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050059"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>净化药瓶</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050060"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>枫糖浆</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050061"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>闪避符</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050062"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>小魔瓶</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050063"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>巫毒面具</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050064"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>破碎的护符</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050065"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>伐木斧</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050066"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>附魔板甲</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050067"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>敏捷之靴</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050068"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>制式长矛</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050069"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>制式弓箭</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050070"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>制式法杖</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050071"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>制式木杖</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050072"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>精钢盾牌</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050073"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>铁法袍</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050074"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>偷金手</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050075"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>闪电指套</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050076"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>御风靴</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050077"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>星戒</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050078"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>力量药瓶</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050079"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>魔肤药瓶</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050080"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>钢铁药瓶</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050081"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>急速药瓶</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050082"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>智力药瓶</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050083"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>林野长弓</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050084"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>幽灵披风</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050085"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>专注药瓶</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050086"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>林野法杖</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050087"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>无知小帽</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050088"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>翡翠吊坠</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050089"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>夺命法杖</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050090"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>圣法书</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050091"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>亡灵法书</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050092"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>随从旗帜</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050093"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>随从权杖</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050094"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>恐鳌之戒</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050095"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>急速宝石</font><br></br>此后，游戏中会出现该装备。"
"GoodsDetail_1050097"       "<font color='#80def6'>已解锁装备：</font><font color='#FFA500'>耐力腰带</font><br></br>此后，游戏中会出现该装备。"
