"Goods_1010001"     "Minewerk"
"Goods_1020031"     "Void Spirit's EXP"
"Goods_1020032"     "Granite Golem's EXP"
"Goods_1020033"     "Mud Golem's EXP"
"Goods_1020034"     "Geomancer Mob's EXP"
"Goods_1020035"     "Ancient Spirit's EXP"
"Goods_1020036"     "Rogue Knight's EXP"
"Goods_1020037"     "Juggernaut's EXP"
"Goods_1020038"     "Omniknight's EXP"
"Goods_1020039"     "Legion Commander's EXP"
"Goods_1020040"     "Underlord's EXP"
"Goods_1020041"     "Oracle's EXP"
"Goods_1020042"     "Celestial Spirit's EXP"
"Goods_1020043"     "Captain Undead's EXP"
"Goods_1020044"     "Crescent Maid's EXP"
"Goods_1020045"     "Luna's EXP"
"Goods_1020046"     "Ferryman's EXP"
"Goods_1020047"     "Grimstroke's EXP"
"Goods_1020048"     "Dazzle's EXP"
"Goods_1020049"     "Asteroid Hermit's EXP"
"Goods_1020050"     "Chen's EXP"
"Goods_1020051"     "Bounty Hunter's EXP"
"Goods_1020052"     "Lina's EXP"
"Goods_1020053"     "Faceless Void's EXP"
"Goods_1020054"     "Pangolier's EXP"
"Goods_1020055"     "Succubus's EXP"
"Goods_1020056"     "Frost Lich's EXP"
"Goods_1020057"     "Lord of Magma's EXP"
"Goods_1020058"     "Void Seer's EXP"
"Goods_1020059"     "Enigma's EXP"
"Goods_1020060"     "Dark Willow's EXP"
"Goods_1020061"     "Riki's EXP"
"Goods_1020062"     "Stormcrafter's EXP"
"Goods_1020063"     "Alchemist's EXP"
"Goods_1020064"     "Mercurial Reaper's EXP"
"Goods_1020065"     "Verdant Druid's EXP"
"Goods_1020066"     "Lycan's EXP"

//物品103 - Commander 
"Goods_1030001"     "Grand Mage"
"Goods_1030002"     "Bumblebee Prototype"
"Goods_1030003"     "Lostland Guardian"
"Goods_1030004"     "Asteroid Maid"
"Goods_1030005"     "Wild Warlord"
"Goods_1030006"     "Havoc Dragon"
"Goods_1030007"     "Repair Master"
"Goods_1030008"     "Shatter Slayer"
"Goods_1030009"     "Pioneer of Decay"
"Goods_1030010"     "Charon"
"Goods_1030011"     "Trampler"
"Goods_1030012"     "Huskar"
"GoodsDetail_1030001"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Grand Mage</font>"
"GoodsDetail_1030002"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Bumblebee Prototype</font>"
"GoodsDetail_1030003"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Lostland Guardian</font>"
"GoodsDetail_1030004"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Asteroid Maid</font>"
"GoodsDetail_1030005"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Wild Warlord</font>"
"GoodsDetail_1030006"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Havoc Dragon</font>"
"GoodsDetail_1030007"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Repair Master</font>"
"GoodsDetail_1030008"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Shatter Slayer</font>"
"GoodsDetail_1030009"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Pioneer of Decay</font>"
"GoodsDetail_1030010"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Charon</font>"
"GoodsDetail_1030011"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Trampler</font>"
"GoodsDetail_1030012"     "<font color='#80def6'>Commander: </font><font color='#FFA500'>Huskar</font>"

//物品104 - Commander 经验
"Goods_1040001"     "Grand Mage's EXP"
"Goods_1040002"     "Bumblebee Prototype's EXP"
"Goods_1040003"     "Lostland Guardian's EXP"
"Goods_1040004"     "Asteroid Maid's EXP"
"Goods_1040005"     "Wild Warlord's EXP"
"Goods_1040006"     "Havoc Dragon's EXP"
"Goods_1040007"     "Repair Master's EXP"
"Goods_1040008"     "Shatter Slayer's EXP"
"Goods_1040009"     "Pioneer of Decay's EXP"
"Goods_1040010"     "Charon's EXP"
"Goods_1040011"     "Trampler's EXP"
"Goods_1040012"     "Huskar's EXP"

//物品105 - 装备
"Goods_1050001"     "Unlocks: Hatchet"
"Goods_1050002"     "Unlocks: Elder Staff"
"Goods_1050003"     "Unlocks: Silver Scale"
"Goods_1050004"     "Unlocks: Insulated Cloak"
"Goods_1050005"     "Unlocks: Ruby"
"Goods_1050006"     "Unlocks: Sapphire"
"Goods_1050007"     "Unlocks: Gloves of Haste"
"Goods_1050008"     "Unlocks: Ballista"
"Goods_1050009"     "Unlocks: Octarine Core"
"Goods_1050010"     "Unlocks: Sacred Lamp"
"Goods_1050011"     "Unlocks: Divine Rapier"
"Goods_1050012"     "Unlocks: Mace of Havoc"
"Goods_1050013"     "Unlocks: Crimson Robe"
"Goods_1050014"     "Unlocks: Loafer of Evasion"
"Goods_1050015"     "Unlocks: Mask of Terror"
"Goods_1050016"     "Unlocks: Mjollnir"
"Goods_1050017"     "Unlocks: Beast Horn"
"Goods_1050018"     "Unlocks: Angel Relic"
"Goods_1050019"     "Unlocks: Encourage Stone"
"Goods_1050020"     "Unlocks: Vampire Fangs"
"Goods_1050021"     "Unlocks: Gem Prism"
"Goods_1050022"     "Unlocks: Manta Style"
"Goods_1050023"     "Unlocks: Core of Fervor"
"Goods_1050024"     "Unlocks: Message from Anubis"
"Goods_1050025"     "Unlocks: Barrier of Demensions"
"Goods_1050026"     "Unlocks: Hourglass"
"Goods_1050027"     "Unlocks: Battle Fury"
"Goods_1050028"     "Unlocks: Crystalys"
"Goods_1050029"     "Unlocks: Double Edge"
"Goods_1050030"     "Unlocks: Algid's Magic Stone"
"Goods_1050031"     "Unlocks: Gram"
"Goods_1050032"     "Unlocks: Crescent Blade"
"Goods_1050033"     "Unlocks: Frost Blade"
"Goods_1050034"     "Unlocks: 唐僧的信条"
"Goods_1050035"     "Unlocks: Glimmer"
"Goods_1050036"     "Unlocks: Cane Gun"
"Goods_1050037"     "Unlocks: Mask of Tutankhamun"
"Goods_1050038"     "Unlocks: Spear of Longinus"
"Goods_1050039"     "Unlocks: Nether Shawl"
"Goods_1050040"     "Unlocks: Illusion Rubik"
"Goods_1050041"     "Unlocks: Excalibur"
"Goods_1050042"     "Unlocks: Shield of Maya"
"Goods_1050043"     "Unlocks: Tome of Persuasion"
"Goods_1050044"     "Unlocks: Mystletainn"
"Goods_1050045"     "Unlocks: Eternal Prism"
"Goods_1050046"     "Unlocks: Bukijutsu"
"Goods_1050047"     "Unlocks: Medallion of Courage"
"Goods_1050048"     "Unlocks: Contract of Sage"
"Goods_1050049"     "Unlocks: Assassination List"
"Goods_1050050"     "Unlocks: Satanic"
"Goods_1050051"     "Unlocks: Gungnir"
"Goods_1050052"     "Unlocks: Akai Blade"
"Goods_1050053"     "Unlocks: Wristband of Strength"
"Goods_1050054"     "Unlocks: Robe of the Magi"
"Goods_1050055"     "Unlocks: Glove of Strength"
"Goods_1050056"     "Unlocks: Ring of Magi"
"Goods_1050057"     "Unlocks: Morbid Mask"
"Goods_1050058"     "Unlocks: Ring of Regen"
"Goods_1050059"     "Unlocks: Clarity"
"Goods_1050060"     "Unlocks: Maple Syrup"
"Goods_1050061"     "Unlocks: Talisman of Evasion"
"Goods_1050062"     "Unlocks: Bottle"
"Goods_1050063"     "Unlocks: Voodoo Mask"
"Goods_1050064"     "Unlocks: Broken Charm"
"Goods_1050065"     "Unlocks: Logging Axe"
"Goods_1050066"     "Unlocks: Enchanted Platemail"
"Goods_1050067"     "Unlocks: Slippers of Agility"
"Goods_1050068"     "Unlocks: Standard Spear"
"Goods_1050069"     "Unlocks: Standard Bow"
"Goods_1050070"     "Unlocks: Standard Staff"
"Goods_1050071"     "Unlocks: Standard Wand"
"Goods_1050072"     "Unlocks: Steel Shield"
"Goods_1050073"     "Unlocks: Chain Robe"
"Goods_1050074"     "Unlocks: Pocket Picker"
"Goods_1050075"     "Unlocks: Blitz Knuckles"
"Goods_1050076"     "Unlocks: Boots of Breeze"
"Goods_1050077"     "Unlocks: Ring of Styx"
"Goods_1050078"     "Unlocks: Might Booster"
"Goods_1050079"     "Unlocks: Resist Booster"
"Goods_1050080"     "Unlocks: Armor Booster"
"Goods_1050081"     "Unlocks: Haste Booster"
"Goods_1050082"     "Unlocks: Arcane Booster"
"Goods_1050083"     "Unlocks: Grove Bow"
"Goods_1050084"     "Unlocks: Nether Cloak"
"Goods_1050085"     "Unlocks: Concentration Pills"
"Goods_1050086"     "Unlocks: Grove Staff"
"Goods_1050087"     "Unlocks: Witless Shako"
"Goods_1050088"     "Unlocks: Jade Pendant"
"Goods_1050089"     "Unlocks: Nether Wand"
"Goods_1050090"     "Unlocks: Code of Hammurabi"
"Goods_1050091"     "Unlocks: Necronomicon"
"Goods_1050092"     "Unlocks: Retinue Banner"
"Goods_1050093"     "Unlocks: Retinue Scepter"
"Goods_1050094"     "Unlocks: Vitality Stone"
"Goods_1050095"     "Unlocks: Gem of Rapid"
"Goods_1050096"     "Unlocks: 炙炎"
"Goods_1050097"     "Unlocks: Belt of Endurance"
"Goods_1050098"     "Unlocks: Magi's Möbius Ring"
"Goods_1050099"     "Unlocks: Bloodthirsty Veil"
"Goods_1050100"     "Unlocks: Omni Knuckles"
"Goods_1050101"     "Unlocks: Hand of Midas"
"Goods_1050102"     "Unlocks: Spatha of Hercules"
"Goods_1050103"     "Unlocks: Wand of Merlin"
"Goods_1050106"     "Unlocks: Unidentified Item(N)"
"Goods_1050107"     "Unlocks: Unidentified Item(R)"
"Goods_1050108"     "Unlocks: Unidentified Item(SR)"
"Goods_1050109"     "Unlocks: Unidentified Item(SSR)"
"Goods_1050110"     "Unlocks: Whisper Amulet"
"Goods_1050111"     "Unlocks: Scepter of Authority"
"Goods_1050112"     "Unlocks: Thunder Whip"
"Goods_1050120"     "Unlock item : Staff of Fire fairy"
"Goods_1050121"     "Unlock Item :Infernal blade"

//装备解锁
"GoodsDetail_1050001"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Hatchet</font><br></br>This item is now added to the current game."
"GoodsDetail_1050002"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Elder Staff</font><br></br>This item is now added to the current game."
"GoodsDetail_1050003"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Silver Scale</font><br></br>This item is now added to the current game."
"GoodsDetail_1050004"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Insulated Cloak</font><br></br>This item is now added to the current game."
"GoodsDetail_1050005"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Ruby</font><br></br>This item is now added to the current game."
"GoodsDetail_1050006"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Sapphire</font><br></br>This item is now added to the current game."
"GoodsDetail_1050007"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Gloves of Haste</font><br></br>This item is now added to the current game."
"GoodsDetail_1050008"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Ballista</font><br></br>This item is now added to the current game."
"GoodsDetail_1050009"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Octarine Core</font><br></br>This item is now added to the current game."
"GoodsDetail_1050010"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Sacred Lamp</font><br></br>This item is now added to the current game."
"GoodsDetail_1050011"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Divine Rapier</font><br></br>This item is now added to the current game."
"GoodsDetail_1050012"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mace of Havoc</font><br></br>This item is now added to the current game."
"GoodsDetail_1050013"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Crimson Robe</font><br></br>This item is now added to the current game."
"GoodsDetail_1050014"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Loafer of Evasion</font><br></br>This item is now added to the current game."
"GoodsDetail_1050015"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mask of Terror</font><br></br>This item is now added to the current game."
"GoodsDetail_1050016"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mjollnir</font><br></br>This item is now added to the current game."
"GoodsDetail_1050017"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Beast Horn</font><br></br>This item is now added to the current game."
"GoodsDetail_1050018"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Angel Relic</font><br></br>This item is now added to the current game."
"GoodsDetail_1050019"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Encourage Stone</font><br></br>This item is now added to the current game."
"GoodsDetail_1050020"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Vampire Fangs</font><br></br>This item is now added to the current game."
"GoodsDetail_1050021"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Gem Prism</font><br></br>This item is now added to the current game."
"GoodsDetail_1050022"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Manta Style</font><br></br>This item is now added to the current game."
"GoodsDetail_1050023"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Core of Fervor</font><br></br>This item is now added to the current game."
"GoodsDetail_1050024"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Message from Anubis</font><br></br>This item is now added to the current game."
"GoodsDetail_1050025"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Barrier of Demensions</font><br></br>This item is now added to the current game."
"GoodsDetail_1050026"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Hourglass</font><br></br>This item is now added to the current game."
"GoodsDetail_1050027"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Battle Fury</font><br></br>This item is now added to the current game."
"GoodsDetail_1050028"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Crystalys</font><br></br>This item is now added to the current game."
"GoodsDetail_1050029"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Double Edge</font><br></br>This item is now added to the current game."
"GoodsDetail_1050030"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Algid's Magic Stone</font><br></br>This item is now added to the current game."
"GoodsDetail_1050031"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Gram</font><br></br>This item is now added to the current game."
"GoodsDetail_1050032"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Crescent Blade</font><br></br>This item is now added to the current game."
"GoodsDetail_1050033"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Frost Blade</font><br></br>This item is now added to the current game."
"GoodsDetail_1050035"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Glimmer</font><br></br>This item is now added to the current game."
"GoodsDetail_1050036"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Cane Gun</font><br></br>This item is now added to the current game."
"GoodsDetail_1050037"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mask of Tutankhamun</font><br></br>This item is now added to the current game."
"GoodsDetail_1050038"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Spear of Longinus</font><br></br>This item is now added to the current game."
"GoodsDetail_1050039"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Nether Shawl</font><br></br>This item is now added to the current game."
"GoodsDetail_1050040"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Illusion Rubik</font><br></br>This item is now added to the current game."
"GoodsDetail_1050041"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Excalibur</font><br></br>This item is now added to the current game."
"GoodsDetail_1050042"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Shield of Maya</font><br></br>This item is now added to the current game."
"GoodsDetail_1050043"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Tome of Persuasion</font><br></br>This item is now added to the current game."
"GoodsDetail_1050044"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mystletainn</font><br></br>This item is now added to the current game."
"GoodsDetail_1050045"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Eternal Prism</font><br></br>This item is now added to the current game."
"GoodsDetail_1050046"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Bukijutsu</font><br></br>This item is now added to the current game."
"GoodsDetail_1050047"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Medallion of Courage</font><br></br>This item is now added to the current game."
"GoodsDetail_1050048"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Contract of Sage</font><br></br>This item is now added to the current game."
"GoodsDetail_1050049"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Assassination List</font><br><Code of Hammurabi/br>This item is now added to the current game."
"GoodsDetail_1050050"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Satanic</font><br></br>This item is now added to the current game."
"GoodsDetail_1050051"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Gungnir</font><br></br>This item is now added to the current game."
"GoodsDetail_1050052"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Akai Blade</font><br></br>This item is now added to the current game."
"GoodsDetail_1050053"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Wristband of Strength</font><br></br>This item is now added to the current game."
"GoodsDetail_1050054"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Robe of the Magi</font><br></br>This item is now added to the current game."
"GoodsDetail_1050055"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Glove of Strength</font><br></br>This item is now added to the current game."
"GoodsDetail_1050056"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Ring of Magi</font><br></br>This item is now added to the current game."
"GoodsDetail_1050057"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Morbid Mask</font><br></br>This item is now added to the current game."
"GoodsDetail_1050058"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Ring of Regen</font><br></br>This item is now added to the current game."
"GoodsDetail_1050059"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Clarity</font><br></br>This item is now added to the current game."
"GoodsDetail_1050060"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Maple Syrup</font><br></br>This item is now added to the current game."
"GoodsDetail_1050061"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Talisman of Evasion</font><br></br>This item is now added to the current game."
"GoodsDetail_1050062"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Bottle</font><br></br>This item is now added to the current game."
"GoodsDetail_1050063"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Voodoo Mask</font><br></br>This item is now added to the current game."
"GoodsDetail_1050064"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Broken Charm</font><br></br>This item is now added to the current game."
"GoodsDetail_1050065"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Logging Axe</font><br></br>This item is now added to the current game."
"GoodsDetail_1050066"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Enchanted Platemail</font><br></br>This item is now added to the current game."
"GoodsDetail_1050067"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Slippers of Agility</font><br></br>This item is now added to the current game."
"GoodsDetail_1050068"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Standard Spear</font><br></br>This item is now added to the current game."
"GoodsDetail_1050069"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Standard Bow</font><br></br>This item is now added to the current game."
"GoodsDetail_1050070"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Standard Staff</font><br></br>This item is now added to the current game."
"GoodsDetail_1050071"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Standard Wand</font><br></br>This item is now added to the current game."
"GoodsDetail_1050072"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Steel Shield</font><br></br>This item is now added to the current game."
"GoodsDetail_1050073"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Chain Robe</font><br></br>This item is now added to the current game."
"GoodsDetail_1050074"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Pocket Picker</font><br></br>This item is now added to the current game."
"GoodsDetail_1050075"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Blitz Knuckles</font><br></br>This item is now added to the current game."
"GoodsDetail_1050076"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Boots of Breeze</font><br></br>This item is now added to the current game."
"GoodsDetail_1050077"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Ring of Styx</font><br></br>This item is now added to the current game."
"GoodsDetail_1050078"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Might Booster</font><br></br>This item is now added to the current game."
"GoodsDetail_1050079"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Resist Booster</font><br></br>This item is now added to the current game."
"GoodsDetail_1050080"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Armor Booster</font><br></br>This item is now added to the current game."
"GoodsDetail_1050081"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Haste Booster</font><br></br>This item is now added to the current game."
"GoodsDetail_1050082"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Arcane Booster</font><br></br>This item is now added to the current game."
"GoodsDetail_1050083"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Grove Bow</font><br></br>This item is now added to the current game."
"GoodsDetail_1050084"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Nether Cloak</font><br></br>This item is now added to the current game."
"GoodsDetail_1050085"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Concentration Pills</font><br></br>This item is now added to the current game."
"GoodsDetail_1050086"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Grove Staff</font><br></br>This item is now added to the current game."
"GoodsDetail_1050087"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Witless Shako</font><br></br>This item is now added to the current game."
"GoodsDetail_1050088"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Jade Pendant</font><br></br>This item is now added to the current game."
"GoodsDetail_1050089"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Nether Wand</font><br></br>This item is now added to the current game."
"GoodsDetail_1050090"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Code of Hammurabi</font><br></br>This item is now added to the current game."
"GoodsDetail_1050091"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Necronomicon</font><br></br>This item is now added to the current game."
"GoodsDetail_1050092"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Retinue Banner</font><br></br>This item is now added to the current game."
"GoodsDetail_1050093"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>随从权杖</font><br></br>This item is now added to the current game."
"GoodsDetail_1050094"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>生命之石</font><br></br>This item is now added to the current game."
"GoodsDetail_1050095"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Gem of Rapid</font><br></br>This item is now added to the current game."
"GoodsDetail_1050097"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Belt of Endurance</font><br></br>This item is now added to the current game."
"GoodsDetail_1050098"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Magi's Möbius Ring</font><br></br>This item is now added to the current game."
"GoodsDetail_1050099"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Bloodthirsty Veil</font><br></br>This item is now added to the current game."
"GoodsDetail_1050100"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Omni Knuckles</font><br></br>This item is now added to the current game."
"GoodsDetail_1050101"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Hand of Midas</font><br></br>This item is now added to the current game."
"GoodsDetail_1050102"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Spatha of Hercules</font><br></br>This item is now added to the current game."
