// 主界面
"Handbook_Main"	                "MAIN PAGE"
"Handbook_GameItem"			"ITEM"
"ItemSearch"				"Input item to search"
"GameItemStages"			"Item owned:{d:has}/{d:all}"
"ItemUnlockLevel"			"Lock until DATA level {d:level}"

// 法术卡
"Handbook_GameSpCard"		"SPELL"
"SpellSearch"				"Input spell name to search"
"GameSpellStage"			"Card owned:{d:has}/{d:all}"

// 神器
"Handbook_GameArtifact"		"ARTIFACT"
"ArtifactSearch"			"Input Artifact to search"
"GameArtifactStage"			"Artifact Owned:{d:has}/{d:all}"

// 指挥官
"Handbook_GameCommander"	"COMMANDER"
"CommanderSearch"	        "Input commander to search"
"SelectedCmd"	            "SELECT"
"Cmd_Talented"	            "TALENT"
"CmdTalent_Header"	        "TALENT"
"NotEnough_CmdTalents"	    "Not enough talent"
"UNLOCKHERO"	            "Locked hero"
"LockFromGames"	            "Gain commander exp by gameplay"
"SelectedCommanderSuccees"	"Switch success"
"CantSetCommander"	        "Only switch while preparation"

// 头像框
"Handbook_Avatar"			"Border"
"Avatarborder_Using"		"Current border"
"Avatarborder_Equip"		"Equiped"
"Avatarborder_UnLock"		"Unlock"

// 信使
"Handbook_Courier"			"COURIER"
"CourierModelTitle"			"COURIER"
"CourierSave"				"Save"
"CourierSave_NoChange"		"Default"

//收藏
"Handbook_Museum"			"ILLUSTRATION"

// 结算
"GameOver_TalentAddXp"	"Talent Bonus:{d:italentaddxp}"
"GameOver_Vipaddxp"		"PLUS Bonus:{d:ivipaddxp}"
"GameOver_Vipaddbp"		"PLUS Bonus:{d:ivipbpxp}"
"GameOver_Doublebp"		"Double Bonus:{d:idoublebpxp}"
"NewLevel_Occur"		"Level up~"
"Gameover_balance"		"Game Balance"
"Gameover_Over"		    "Leave Game"
"CommanderExp_full"		"EXP Add Limit"
