"DOTA_Tooltip_ability_sp_fireball" "大火球术"
"DOTA_Tooltip_modifier_sp_physicalendurance_buff_Description" "每次被攻击时恢复最大生命值%fMODIFIER_PROPERTY_TOOLTIP%%%的生命值"
"DOTA_Tooltip_ability_sp_scarecrow" "稻草人"
"DOTA_Tooltip_ability_sp_scarecrow_Description" "在目标位置制造一个稻草人持续吸引%radius%范围内的敌人强制攻击，持续%duration%秒"
"DOTA_Tooltip_ability_sp_tower" "守护塔"
"DOTA_Tooltip_ability_sp_tower_Description" "召唤一座守护塔，继承指挥官%inherited_percent%%%的属性，持续%duration%秒。攻击会减少目标%armor_reduction%点物理/魔法防御，持续%debuff_duration%秒，最多叠加%max_stack_count%层"
"DOTA_Tooltip_modifier_sp_tower_debuff" "打破防御"
"DOTA_Tooltip_modifier_sp_tower_debuff_Description" "物理/魔法防御减少%dMODIFIER_PROPERTY_TOOLTIP%点"
"DOTA_Tooltip_ability_sp_goldbag" "金币券"
"DOTA_Tooltip_ability_sp_goldbag_Description" "随机获得%goldearn_min%~%goldearn_max%枚金币"
"Combat_sp_goldbag"	"{s:player_name}：使用【金币券】法术卡获得：<font color='#F4C14E'>{d:int_good}金币</font>"
"DOTA_Tooltip_ability_sp_crystalbag" "魂晶券"
"DOTA_Tooltip_ability_sp_crystalbag_Description" "随机获得%crystalearn_min%~%crystalearn_max%枚魂晶"
"Combat_sp_crystalbag"	"{s:player_name}：使用【魂晶券】法术卡获得：<font color='#4ECECC'>{d:int_crystal}魂晶</font>"
"DOTA_Tooltip_ability_sp_largegold" "大堆金币券"
"DOTA_Tooltip_ability_sp_largegold_Description" "随机获得%goldearn_min%~%goldearn_max%枚金币"
"Combat_sp_largegold"	"{s:player_name}：使用【大堆金币券】法术卡获得：<font color='#F4C14E'>{d:int_good}金币</font>"
"DOTA_Tooltip_ability_sp_largecrystal" "大堆魂晶券"
"DOTA_Tooltip_ability_sp_largecrystal_Description" "随机获得%crystalearn_min%~%crystalearn_max%枚魂晶"
"Combat_sp_largecrystal"	"{s:player_name}：使用【大堆魂晶券】法术卡获得：<font color='#4ECECC'>{d:int_crystal}魂晶</font>"
"DOTA_Tooltip_ability_sp_spike" "迷雾"
"DOTA_Tooltip_ability_sp_spike_Description" "使%radius%范围内的敌人攻击有%miss_chance%%%概率落空，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_spike_debuff" "战场迷雾"
"DOTA_Tooltip_modifier_sp_spike_debuff_Description" "攻击有概率落空"
"DOTA_Tooltip_ability_sp_stoneskin" "石肤"
"DOTA_Tooltip_ability_sp_stoneskin_Description" "提高%radius%范围内的友军%bonus_armor%点物理/魔法防御，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_stoneskin_debuff" "石肤"
"DOTA_Tooltip_modifier_sp_stoneskin_debuff_Description" "物理/魔法防御提高%dMODIFIER_PROPERTY_TOOLTIP%点"

"DOTA_Tooltip_ability_sp_phydouble" "作战鼓舞"
"DOTA_Tooltip_ability_sp_phydouble_Description" "使%radius%范围内的友军物理攻击力提升%increasepct%%%，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_phydouble_buff" "物攻双倍"
"DOTA_Tooltip_modifier_sp_phydouble_buff_Description" "物理攻击力翻倍"
"DOTA_Tooltip_ability_sp_magdouble" "神念赐予"
"DOTA_Tooltip_ability_sp_magdouble_Description" "使%radius%范围内的友军魔法攻击力提升%increasepct%%%，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_magdouble_buff" "魔攻双倍"
"DOTA_Tooltip_modifier_sp_magdouble_buff_Description" "魔法攻击力翻倍"

"DOTA_Tooltip_ability_sp_breakarmor" "破甲"
"DOTA_Tooltip_ability_sp_breakarmor_Description" "使%radius%范围内的友军伤害无视目标%ignore_armor_pct%%%的防御，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_breakarmor_buff" "破甲"
"DOTA_Tooltip_modifier_sp_breakarmor_buff_Description" "伤害无视目标%dMODIFIER_PROPERTY_TOOLTIP%%%的防御"
"DOTA_Tooltip_ability_sp_shootfar" "射爆"
"DOTA_Tooltip_ability_sp_shootfar_Description" "增加%radius%范围内的远程友军%bonus_attack_range%攻击距离并且攻击有%chance%%%概率再快速攻击一次，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_shootfar_buff" "射爆"
"DOTA_Tooltip_modifier_sp_shootfar_buff_Description" "攻击距离增加，有概率额外攻击一次"
"DOTA_Tooltip_ability_sp_chicken" "鸡舍"
"DOTA_Tooltip_ability_sp_chicken_Description" "放下一个鸡舍，持续%duration%秒。每%summon_interval%秒召唤飞向敌人的自爆小鸡。小鸡自爆会对%explosion_radius%范围内的敌人造成最大生命值%damage_pct%%%（远古生物%damage_pct_ancient%%%）的魔法伤害"
"DOTA_Tooltip_ability_sp_mine" "地雷"
"DOTA_Tooltip_ability_sp_mine_Description" "随机放置%count%枚地雷，敌人接近会爆炸，对%mine_radius%范围内的敌人造成指挥官攻击力%damage_pct%%%的纯粹伤害"
"DOTA_Tooltip_ability_sp_frozenarea" "冰冻陷阱"
"DOTA_Tooltip_ability_sp_frozenarea_Description" "在%radius%范围内制造一个可以冻住敌人的冰冻陷阱，持续%duration%秒"
"DOTA_Tooltip_ability_sp_crit" "暴击"
"DOTA_Tooltip_ability_sp_crit_Description" "使%radius%范围内的友军攻击速度提高%attack_speed_pct%%%并且攻击有%crit_chance%%%概率造成%crit_damage%%%的暴击伤害，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_crit_buff" "暴击"
"DOTA_Tooltip_modifier_sp_crit_buff_Description" "提高攻击速度并且攻击有概率暴击"
"DOTA_Tooltip_ability_sp_loot" "掠夺"
"DOTA_Tooltip_ability_sp_loot_Description" "使%radius%范围内的友军每次攻击获得%attack_per_gold%金币，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_loot_buff" "掠夺"
"DOTA_Tooltip_modifier_sp_loot_buff_Description" "每次攻击获得金币"
"DOTA_Tooltip_ability_sp_cannon" "炮击"
"DOTA_Tooltip_ability_sp_cannon_Description" "随机对所有玩家的战场发射%count_min%~%count_max%次炮弹，每发炮弹对%radius%范围内的敌人造成最大生命值%damage_pct%%%（远古生物%damage_pct_ancient%%%）的魔法伤害"
"DOTA_Tooltip_ability_sp_revive" "英雄不朽"
"DOTA_Tooltip_ability_sp_revive_Description" "复活%radius%范围内随机%revive_count%名阵亡英雄（可以复活其他玩家的）"
"DOTA_Tooltip_ability_sp_overwhelm" "伤害加深"
"DOTA_Tooltip_ability_sp_overwhelm_Description" "使%radius%范围内的敌人受到的伤害增加%incoming_damage%%%，持续%duration%秒。可以叠加，每次持续时间独立计算"
"DOTA_Tooltip_modifier_sp_overwhelm_buff" "伤害加深"
"DOTA_Tooltip_modifier_sp_overwhelm_buff_Description" "受到的伤害提升%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_ability_sp_frog" "妖术"
"DOTA_Tooltip_ability_sp_frog_Description" "将%radius%范围内的敌人变成青蛙，持续%duration%秒。对远古生物无效"
"DOTA_Tooltip_modifier_sp_frog_buff" "妖术"
"DOTA_Tooltip_modifier_sp_frog_buff_Description" "被变成了青蛙"


"DOTA_Tooltip_ability_sp_tax" "征税诏令"
"DOTA_Tooltip_ability_sp_tax_Description" "本回合税金提高%tax_increase%%%"
"DOTA_Tooltip_ability_sp_crystal" "星辉炼化术"
"DOTA_Tooltip_ability_sp_crystal_Description" "获得根据场上英雄星级获得魂晶，每个英雄每个星级提供%factor%魂晶"
"Combat_sp_crystal"	"{s:player_name}：使用【星辉炼化术】法术卡获得：<font color='#4ECECC'>{d:int_crystal}魂晶</font>"
"DOTA_Tooltip_ability_sp_crystalgold" "炼金术"
"DOTA_Tooltip_ability_sp_crystalgold_Description" "将%crystal_needed%魂晶转换为%gold_earn%金币"
"DOTA_Tooltip_ability_sp_goldcrystal" "反向炼金术"
"DOTA_Tooltip_ability_sp_goldcrystal_Description" "将%gold_needed%金币转换为%crystal_earn%魂晶"
"DOTA_Tooltip_ability_sp_goldcreep" "贪婪黄金挑战"
"DOTA_Tooltip_ability_sp_goldcreep_Description" "敌人将提升%health_pct%%%的生命值和%attack_pct%%%的物理/魔法攻击力，但是被击杀会额外掉落金币，持续到回合结束。多次使用可以叠加"
"DOTA_Tooltip_modifier_goldchallenge_buff" "金币怪"
"DOTA_Tooltip_modifier_goldchallenge_buff_Description" "怪物被加强，但是击杀后掉落 <font color='#f4c14eff'> %dMODIFIER_PROPERTY_TOOLTIP% 金币 </font><br>+ %dMODIFIER_PROPERTY_TOOLTIP%%%（%dMODIFIER_PROPERTY_TOOLTIP2%） 生命值<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%%（%dMODIFIER_PROPERTY_TOOLTIP2%） 物理攻击<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%%（%dMODIFIER_PROPERTY_TOOLTIP2%） 魔法攻击"
"DOTA_Tooltip_ability_sp_crystalcreep" "贪婪魂晶挑战"
"DOTA_Tooltip_ability_sp_crystalcreep_Description" "敌人将提升%health_pct%%%的生命值和%attack_pct%%%的物理/魔法攻击力，但是被击杀会额外掉落魂晶，持续到回合结束。多次使用可以叠加"
"DOTA_Tooltip_modifier_crystalcreep_buff" "魂晶怪"
"DOTA_Tooltip_modifier_crystalcreep_buff_description" "怪物被加强，但是击杀后掉落 <font color='#4ececcff'> %dMODIFIER_PROPERTY_TOOLTIP% 魂晶 </font><br>+ %dMODIFIER_PROPERTY_TOOLTIP%%%（%dMODIFIER_PROPERTY_TOOLTIP2%） 生命值<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%%（%dMODIFIER_PROPERTY_TOOLTIP2%） 物理攻击<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%%（%dMODIFIER_PROPERTY_TOOLTIP2%） 魔法攻击"

"DOTA_Tooltip_ability_sp_physical" "利刃武装"
"DOTA_Tooltip_ability_sp_physical_Description" "提升所有英雄%physical_atkbonus%点物理攻击力，直到游戏结束。可叠加<br>已使用{d:used_count}张"

"DOTA_Tooltip_ability_sp_magical" "奥法钻研"
"DOTA_Tooltip_ability_sp_magical_Description" "提升所有英雄%magical_atkbonus%点魔法攻击力，直到游戏结束<br>已使用{d:used_count}张"

"DOTA_Tooltip_ability_sp_cooldown" "速发咒语"
"DOTA_Tooltip_ability_sp_cooldown_Description" "提升所有英雄%cooldown_reduce%%%的冷却时间减少，直到游戏结束<br>已使用{d:used_count}张"

"DOTA_Tooltip_ability_sp_hpregen" "宁静"
"DOTA_Tooltip_ability_sp_hpregen_Description" "提升所有英雄%health_regenbonus%点生命回复，直到游戏结束<br>已使用{d:used_count}张"

"DOTA_Tooltip_ability_sp_manaregen" "能量充盈"
"DOTA_Tooltip_ability_sp_manaregen_Description" "提升所有英雄%mana_regenbonus%点魔法回复，直到游戏结束<br>已使用{d:used_count}张"

"DOTA_Tooltip_ability_sp_defend" "精钢不坏"
"DOTA_Tooltip_ability_sp_defend_Description" "提升所有英雄%armorbonus%点物理/魔法防御，直到游戏结束<br>已使用{d:used_count}张"

"DOTA_Tooltip_modifier_sp_aura" "法术卡属性"
"DOTA_Tooltip_modifier_sp_aura_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP% 物理攻击力<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法攻击力<br>+ %1fMODIFIER_PROPERTY_TOOLTIP%%% 冷却时间减少<br>+ %1fMODIFIER_PROPERTY_TOOLTIP% 生命回复<br>+ %1fMODIFIER_PROPERTY_TOOLTIP% 魔法回复<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 物理防御<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法防御<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 攻击速度"

"DOTA_Tooltip_ability_sp_focus" "集火"
"DOTA_Tooltip_ability_sp_focus_Description" "命令%radius%范围内的友军会集中攻击目标，并使目标伤害加深%bonus_damage_pct%%%，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_focus_buff" "集火"
"DOTA_Tooltip_modifier_sp_focus_buff_Description" "集火中"
"DOTA_Tooltip_modifier_sp_focus_debuff" "被集火"
"DOTA_Tooltip_modifier_sp_focus_debuff_Description" "受到伤害提升"

"DOTA_Tooltip_ability_sp_magical_single" "魔力爆发"
"DOTA_Tooltip_ability_sp_magical_single_Description" "提升目标英雄%magical_atkbonus%点魔法攻击力"
"DOTA_Tooltip_ability_sp_physical_single" "超强武装"
"DOTA_Tooltip_ability_sp_physical_single_Description" "提升目标英雄%physical_atkbonus%点物理攻击力"
"DOTA_Tooltip_ability_sp_defend_single" "精锻护甲"
"DOTA_Tooltip_ability_sp_defend_single_Description" "提升目标英雄%armorbonus%点物理/魔法防御"
"DOTA_Tooltip_ability_sp_attackspeed_single" "敏捷附魔"
"DOTA_Tooltip_ability_sp_attackspeed_single_Description" "提升目标英雄%attack_speed_bonus%点攻速"
"DOTA_Tooltip_ability_sp_exp" "知识灌注"
"DOTA_Tooltip_ability_sp_exp_Description" "提升目标英雄%exp%点经验"
