// 物品品质
"DOTA_Custom_Rarity_Tooltip_1"	"(N)"
"DOTA_Tooltip_modifier_item_guxi_box_Description"					 "物理护甲提高 %dMODIFIER_PROPERTY_TOOLTIP%"

// 咯系系魔盒
"DOTA_Tooltip_ability_item_kaxixi_box"								 "急速药瓶"
"DOTA_Tooltip_ability_item_kaxixi_box_Description"					 "<h1>攻速滋长</h1>每佩戴一回合增加 %attackspeed_increase% 点攻击速度"
"DOTA_Tooltip_modifier_item_kaxixi_box"								 "攻击速度成长"
"DOTA_Tooltip_modifier_item_kaxixi_box_Description"					 "攻击速度提高 %dMODIFIER_PROPERTY_TOOLTIP%"

// 随从旗帜
"DOTA_Tooltip_ability_item_summon_flag"								 "随从旗帜"
"DOTA_Tooltip_ability_item_summon_flag_Description"					 "携带者的召唤物提高%summon_atkbonus%%%双攻"
"DOTA_Tooltip_modifier_item_summon_flag"							 "随从旗帜"
"DOTA_Tooltip_modifier_item_summon_flag_Description"				 "双攻增加"

// 随从权杖
"DOTA_Tooltip_ability_item_summon_wand"								 "随从权杖"
"DOTA_Tooltip_ability_item_summon_wand_Description"					 "携带者的召唤物提高%summon_atkspedbonus%的攻速"
"DOTA_Tooltip_modifier_item_summon_wand_buff"							 "随从权杖"
"DOTA_Tooltip_modifier_item_summon_wand_buff_Description"				 "攻速提升%dMODIFIER_PROPERTY_TOOLTIP%点"

// 恐鳌之戒
"DOTA_Tooltip_ability_item_lifetime_stone"							 "恐鳌之戒"
"DOTA_Tooltip_ability_item_lifetime_stone_healthpct_bonus"			 "%+$healthpct_bonus"
"DOTA_Tooltip_ability_item_lifetime_stone_status_health"		     "+$status_health"
"DOTA_Tooltip_ability_item_lifetime_stone_health_regen_percentage"	 "%+$health_regen_percentage"
"DOTA_Tooltip_modifier_item_lifetime_stone"							 "生命上限增加"
"DOTA_Tooltip_modifier_item_lifetime_stone_Description"				 "生命上限增加"

// ----------------------------------------------------
// ----------------------------------------------------
//  蓝装

// 制式长矛
"DOTA_Tooltip_ability_item_zhi_spear"							 "制式长矛"
"DOTA_Tooltip_ability_item_zhi_spear_physical_attack"			 "+$physical_attack"
"DOTA_Tooltip_ability_item_zhi_spear_description"				 "<h1>额外</h1>近战单位每次攻击有 %chance%%% 的概率造成额外 %physical_extra% 点伤害"

// 制式弓箭
"DOTA_Tooltip_ability_item_zhi_bow"								 "制式弓箭"
"DOTA_Tooltip_ability_item_zhi_bow_physical_attack"				 "+$physical_attack"
"DOTA_Tooltip_ability_item_zhi_bow_description"					 "<h1>分裂</h1>远程单位每次攻击有 %chance%%% 的概率额外攻击一个目标"

// 制式法杖
"DOTA_Tooltip_ability_item_zhi_staff"							 "制式法杖"
"DOTA_Tooltip_ability_item_zhi_staff_magical_attack"			 "+$magical_attack"
"DOTA_Tooltip_ability_item_zhi_staff_description"				 "<h1>额外</h1>每次攻击有 %chance%%% 的概率造成 %magical_extra% 点额外伤害"

// 制式木杖
"DOTA_Tooltip_ability_item_zhi_wand"							 "制式木杖"
"DOTA_Tooltip_ability_item_zhi_wand_magical_attack"				 "+$magical_attack"
"DOTA_Tooltip_ability_item_zhi_wand_description"				 "<h1>减少冷却</h1>每次攻击有 %chance%%% 的概率减少自己所有技能%cooldown_reduce%%%冷却 "

// 精钢盾牌
"DOTA_Tooltip_ability_item_iron_shield"							 "精钢盾牌"
"DOTA_Tooltip_ability_item_iron_shield_physical_armor"			 "+$physical_armor"
"DOTA_Tooltip_ability_item_iron_shield_magical_armor"			 "+$magical_armor"
"DOTA_Tooltip_ability_item_iron_shield_description"				 "<h1>精钢铸造</h1>减少 %deduce_damage_pct%%% 受到的伤害"

// 铁法袍
"DOTA_Tooltip_ability_item_iron_robe"							 "铁法袍"
"DOTA_Tooltip_ability_item_iron_robe_magical_armor"				 "+$magical_armor"
"DOTA_Tooltip_ability_item_iron_robe_description"				 "<h1>减伤</h1>减少%magical_ingoing_damage%%%受到的魔法伤害  "

// 偷金手
"DOTA_Tooltip_ability_item_goldess_hand"						 "偷金手"
"DOTA_Tooltip_ability_item_goldess_hand_attack_speed"			 "+$attack_speed"
"DOTA_Tooltip_ability_item_goldess_hand_description"			 "<h1>偷金</h1>普通攻击时有%chance%%% 的几率获得%gold_bonus% 枚金币"
"DOTA_Tooltip_modifier_item_goldess_hand"						 "偷金"
"DOTA_Tooltip_modifier_item_goldess_hand_description"			 "此装备获取金钱%dMODIFIER_PROPERTY_TOOLTIP%"

//点金手
 "DOTA_Tooltip_ability_item_hand_of_mida_1"						    "点金手"
 "DOTA_Tooltip_ability_item_hand_of_mida_1_description"			    "<h1>点金</h1>杀死敌人时，有 %chance%%% 概率获得 %gold_bonus% 金币和 %crystal_bonus% 魂晶"
 "DOTA_Tooltip_ability_item_hand_of_mida_1_creep_damage_bonus"	    "%+$creep_damage_bonus"
 "DOTA_Tooltip_ability_item_hand_of_mida_1_attack_speed_percentage"	"%+$attack_speed_percentage"


// 闪电指套
"DOTA_Tooltip_ability_item_light_fingertips"					 "闪电指套"
"DOTA_Tooltip_ability_item_light_fingertips_attack_speed"		 "+$attack_speed"
"DOTA_Tooltip_ability_item_light_fingertips_description"		 "<h1>连击</h1>普通攻击时有 %chance%%% 的几率连击一次"

// 蓝晶石
"DOTA_Tooltip_ability_item_bluess_stone"						 "蓝晶石"
"DOTA_Tooltip_ability_item_bluess_stone_status_mana"			 "+$status_mana"

// 御风靴
"DOTA_Tooltip_ability_item_wind_shoe"							"御风靴"
"DOTA_Tooltip_ability_item_wind_shoe_movement_speed"			"+$movement_speed"
"DOTA_Tooltip_ability_item_wind_shoe_description"				"<h1>闪避</h1> %attack_miss%%% 的几率闪避所有伤害"

// 封印之刃
"DOTA_Tooltip_ability_item_unlock_sowrd"						"封印之刃"
"DOTA_Tooltip_ability_item_unlock_sowrd_physical_attack"		"+$physical_attack"
"DOTA_Tooltip_ability_item_unlock_sowrd_description"			"<h1>封印</h1> </h1>杀死 %unlock_count% 个怪物后解锁，增加 %unlock_physical_attack% 点物理攻击力 </h1>"
"DOTA_Tooltip_modifier_item_unlock_sowrd"						"封印的力量"
"DOTA_Tooltip_modifier_item_unlock_sowrd_description"		   "已杀死 %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 封印之杖
"DOTA_Tooltip_ability_item_unlock_wand"							"封印之杖"
"DOTA_Tooltip_ability_item_unlock_wand_magical_attack"			"+$magical_attack"
"DOTA_Tooltip_ability_item_unlock_wand_description"				"<h1>封印</h1> 杀死%unlock_count%个怪物后解锁，额外增加%unlock_magical_attack%点魔法攻击力"
"DOTA_Tooltip_modifier_item_unlock_wand"						"封印的法力"
"DOTA_Tooltip_modifier_item_unlock_wand_description"			"已杀死 %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 已解封的封印之杖
"DOTA_Tooltip_ability_item_unlock_wand_1"						"已解封的封印之杖(R)"
"DOTA_Tooltip_ability_item_unlock_wand_1_description"			"<h1>解封</h1> 封印已解锁，增加更高的魔法攻击力"
"DOTA_Tooltip_ability_item_unlock_wand_1_magical_attack"		"+$magical_attack"



// 被封印的封神之刃
"DOTA_Tooltip_ability_item_unlock_godsowrd"						"被封印的封神之刃"
"DOTA_Tooltip_ability_item_unlock_godsowrd_physical_attack"		"+$physical_attack"
"DOTA_Tooltip_ability_item_unlock_godsowrd_description"			"<h1>封印</h1> </h1>杀死 %unlock_count% 个怪物后解锁，自身物理伤害提升 %physical_damage_up%%% </h1>"
"DOTA_Tooltip_modifier_item_unlock_godsowrd"					"封印神力"
"DOTA_Tooltip_modifier_item_unlock_godsowrd_description"		"已杀死 %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 封神之刃
"DOTA_Tooltip_ability_item_unlock_godsowrd_1"					"封神之刃"
"DOTA_Tooltip_ability_item_unlock_godsowrd_1_physical_attack"	"+$physical_attack"
"DOTA_Tooltip_ability_item_unlock_godsowrd_1_description"		"<h1>解封</h1> 自身物理伤害提升 %physical_damage_up%%% </h1>"

// 被封印的封神之杖
"DOTA_Tooltip_ability_item_unlock_godwand"						"被封印的封神之杖"
"DOTA_Tooltip_ability_item_unlock_godwand_magical_attack"		"+$magical_attack"
"DOTA_Tooltip_ability_item_unlock_godwand_description"			"<h1>封印</h1> </h1>杀死 %unlock_count% 个怪物后解锁，自身魔法伤害提升 %magical_damage_up%%% </h1> "
"DOTA_Tooltip_modifier_item_unlock_godwand"						"封印神力"
"DOTA_Tooltip_modifier_item_unlock_godwand_description"		 "已杀死 %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 封神之杖
"DOTA_Tooltip_ability_item_unlock_godwand_1"					"封神之杖"
"DOTA_Tooltip_ability_item_unlock_godwand_1_magical_attack"		"+$magical_attack"
"DOTA_Tooltip_ability_item_unlock_godwand_1_description"		"<h1>解封</h1> 自身魔法伤害提升 %magical_damage_up%%% </h1> "

// 被封印的星戒
"DOTA_Tooltip_ability_item_unlock_ring"							"被封印的星戒"
"DOTA_Tooltip_ability_item_unlock_ring_status_health"			"+$status_health"
"DOTA_Tooltip_ability_item_unlock_ring_description"				"<h1>封印</h1>杀死%unlock_count%个怪物后解锁，全伤害减免%incoming_reduce%%%，并且自身生命值提高%status_health_after%"
"DOTA_Tooltip_modifier_item_unlock_ring"						"封印神力"
"DOTA_Tooltip_modifier_item_unlock_ring_description"			"已杀死 %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 星戒
"DOTA_Tooltip_ability_item_unlock_ring_1"						"星戒"
"DOTA_Tooltip_ability_item_unlock_ring_1_status_health"			"+$status_health"
"DOTA_Tooltip_ability_item_unlock_ring_1_description"			"<h1>星之神力</h1>来自星星的力量，全伤害减免 %incoming_reduce%%%"

// 林野长弓
"DOTA_Tooltip_ability_item_wild_bow"							"林野长弓"
"DOTA_Tooltip_ability_item_wild_bow_attack_range_of_range"		"+$attack_range_of_range"
"DOTA_Tooltip_ability_item_wild_bow_description"				"<h1>穿刺</h1> 每次攻击有 %chance%%% 的几率增加 %attack_bonus% 点物理攻击，额外攻击力附着在装备上"
"DOTA_Tooltip_modifier_item_wild_bow"				            "林野长弓"
"DOTA_Tooltip_modifier_item_wild_bow_description"				"物理攻击提升了%dMODIFIER_PROPERTY_TOOLTIP%点"

// 林野法杖
"DOTA_Tooltip_ability_item_wild_wand"							"林野法杖"
"DOTA_Tooltip_ability_item_wild_wand_attack_range_of_range"		"+$attack_range_of_range"
"DOTA_Tooltip_ability_item_wild_wand_description"				"<h1>聚能</h1> 每次攻击有 %chance%%% 的几率增加 %magical_atbonus% 点魔法攻击，额外攻击力附着在装备上"
"DOTA_Tooltip_modifier_item_wild_wand"				"林野法杖"
"DOTA_Tooltip_modifier_item_wild_wand_description"				"魔法攻击提升了%dMODIFIER_PROPERTY_TOOLTIP%点"

// 幽灵披风
"DOTA_Tooltip_ability_item_inheritate_cloth"					"幽灵披风"
"DOTA_Tooltip_ability_item_inheritate_cloth_Description"		"<h1>继承</h1> 死亡之后将自身 %inheritate_attribute%%% 属性继承给最近的队友"
"DOTA_Tooltip_modifier_item_inheritate_cloth_buff"				"继承者"
"DOTA_Tooltip_modifier_item_inheritate_cloth_buff_description"				"继承了以下属性：<br>+%dMODIFIER_PROPERTY_TOOLTIP%点物理攻击<br>+%dMODIFIER_PROPERTY_TOOLTIP%点魔法攻击<br>+%dMODIFIER_PROPERTY_TOOLTIP%点物理护甲<br>+%dMODIFIER_PROPERTY_TOOLTIP%点魔法护甲<br>+%dMODIFIER_PROPERTY_TOOLTIP%点攻击速度"


// 专注药瓶
"DOTA_Tooltip_ability_item_purple_medicine"						"专注药瓶"
"DOTA_Tooltip_ability_item_purple_medicine_attack_speed"		"+$attack_speed"
"DOTA_Tooltip_ability_item_purple_medicine_Description"			"<h1>专注</h1> 每次攻击增加 %attack_speed_bonus% 点攻速，回合结束清零"
"DOTA_Tooltip_modifier_item_purple_medicine"		            "专注"
"DOTA_Tooltip_modifier_item_purple_medicine_Description"			"额外提升%dMODIFIER_PROPERTY_TOOLTIP%点攻速"

// 劣质魔豆
"DOTA_Tooltip_ability_item_broken_bean"							"劣质魔豆"
"DOTA_Tooltip_ability_item_broken_bean_Description"				"<h1>一次性装备</h1> 本回合所有属性提高 %bonus_pct%%%，使用后消失"

// 神奇铠甲
"DOTA_Tooltip_ability_item_magic_armor"							"神奇铠甲"
"DOTA_Tooltip_ability_item_magic_armor_Description"				"<h1>一次性装备</h1> 本回合物理及魔法护甲提升 %armor_increase%%%，使用后消失"

// 罪恶药瓶
"DOTA_Tooltip_ability_item_evil_medicine"						"罪恶药瓶"
"DOTA_Tooltip_ability_item_evil_medicine_Description"			"<h1>一次性装备</h1> 本回合受到的所有伤害减少 %incoming_reduce%%%，使用后消失"

// 地灵剑气(法)
"DOTA_Tooltip_ability_item_ground_sick_sword"					"地灵剑气(法)"
"DOTA_Tooltip_ability_item_ground_sick_sword_Description"		"<h1>一次性装备</h1> 本回合魔法攻击提升 %attacktemp%，使用后消失"

// 地灵剑气(法)
"DOTA_Tooltip_ability_item_ground_sick_sword1"					"地灵剑气(物)"
"DOTA_Tooltip_ability_item_ground_sick_sword1_Description"		"<h1>一次性装备</h1> 本回合物理攻击提升 %attacktemp%，使用后消失"

//双刃剑
"DOTA_Tooltip_ability_item_doubleside_sword_1"					"双刃剑"
"DOTA_Tooltip_ability_item_doubleside_sword_1_attack_speed"	    "<font color='#e03e2e'>降低攻速</font>"
