// 物品品质
"DOTA_Custom_Rarity_Tooltip_1"	"(N)"
"DOTA_Tooltip_modifier_item_kaxixi_box"								 "Continuous gains Attack Speed."
"DOTA_Tooltip_modifier_item_kaxixi_box_Description"					 "+%dMODIFIER_PROPERTY_TOOLTIP% Attack Speed"

// 随从旗帜
"DOTA_Tooltip_ability_item_summon_flag"								 "Retinue Banner"
"DOTA_Tooltip_ability_item_summon_flag_Description"					 "Increases its summoned units' both damage by %summon_atkbonus%%%."
"DOTA_Tooltip_modifier_item_summon_flag"							 "Retinue Banner"
"DOTA_Tooltip_modifier_item_summon_flag_Description"				 "Damage increased."

// 随从权杖
"DOTA_Tooltip_ability_item_summon_wand"								 "Retinue Scepter"
"DOTA_Tooltip_ability_item_summon_wand_Description"					 "Increases its summoned units' attack speed by %summon_atkspedbonus%."
"DOTA_Tooltip_modifier_item_summon_wand"							 "Retinue Scepter"
"DOTA_Tooltip_modifier_item_summon_wand_Description"				 "Attack speed increased."

// 生命之石
"DOTA_Tooltip_ability_item_lifetime_stone"							 "Vitalitystone"
"DOTA_Tooltip_ability_item_lifetime_stone_healthpct_bonus"			 "%+$healthpct_bonus"
"DOTA_Tooltip_ability_item_lifetime_stone_status_health"		     "+$status_health"
"DOTA_Tooltip_ability_item_lifetime_stone_health_regen_percentage"	 "%+$health_regen_percentage"
"DOTA_Tooltip_modifier_item_lifetime_stone"							 "Health pool increase"
"DOTA_Tooltip_modifier_item_lifetime_stone_Description"				 "Health pool increase"


// ----------------------------------------------------
// ----------------------------------------------------
//  蓝装

// 制式长矛
"DOTA_Tooltip_ability_item_zhi_spear"							 "Standard Spear"
"DOTA_Tooltip_ability_item_zhi_spear_physical_attack"			 "+$physical_attack"
"DOTA_Tooltip_ability_item_zhi_spear_description"				 "<h1>Luckiness</h1>Grants the melee carrier a %chance%%% chance to deal %physical_extra% bonus damage."

// 制式弓箭
"DOTA_Tooltip_ability_item_zhi_bow"								 "Standard Bow"
"DOTA_Tooltip_ability_item_zhi_bow_physical_attack"				 "+$physical_attack"
"DOTA_Tooltip_ability_item_zhi_bow_description"					 "<h1>Split</h1>Grants the ranged carrier a %chance%%% chance to hit an additional target."

// 制式法杖
"DOTA_Tooltip_ability_item_zhi_staff"							 "Standard Staff"
"DOTA_Tooltip_ability_item_zhi_staff_magical_attack"			 "+$magical_attack"
"DOTA_Tooltip_ability_item_zhi_staff_description"				 "<h1>Luckiness</h1>Grants each attack a %chance%%% chance to deal %magical_extra% bonus damage."

// 制式木杖
"DOTA_Tooltip_ability_item_zhi_wand"							 "Standard Wand"
"DOTA_Tooltip_ability_item_zhi_wand_magical_attack"				 "+$magical_attack"
"DOTA_Tooltip_ability_item_zhi_wand_description"				 "<h1>CD Reduction</h1>Grants each attack a %chance%%% chance to reduce cooldowns of all abilities currently on cooldown by %cooldown_reduce%%%."

// 精钢盾牌
"DOTA_Tooltip_ability_item_iron_shield"							 "Steel shield"
"DOTA_Tooltip_ability_item_iron_shield_physical_armor"			 "+$physical_armor"
"DOTA_Tooltip_ability_item_iron_shield_magical_armor"			 "+$magical_armor"
"DOTA_Tooltip_ability_item_iron_shield_description"				 "<h1>Damage Reduction</h1>Reduces %deduce_damage_pct%%% incoming physical damage."

// 铁法袍
"DOTA_Tooltip_ability_item_iron_robe"							 "Chain Robe"
"DOTA_Tooltip_ability_item_iron_robe_magical_armor"				 "+$magical_armor"
"DOTA_Tooltip_ability_item_iron_robe_description"				 "<h1>Damage Reduction</h1>Reduces %magical_ingoing_damage%%% incoming magical damage."

// 偷金手
"DOTA_Tooltip_ability_item_goldess_hand"						 "Pocket Picker"
"DOTA_Tooltip_ability_item_goldess_hand_attack_speed"			 "+$attack_speed"
"DOTA_Tooltip_ability_item_goldess_hand_description"			 "<h1>Pocket Picker</h1>Grants each attack a %chance%%% chance to steal %gold_bonus% gold."
"DOTA_Tooltip_modifier_item_goldess_hand"						 "Pocket Picker"
"DOTA_Tooltip_modifier_item_goldess_hand_description"			 "+%dMODIFIER_PROPERTY_TOOLTIP% gold"

//点金手
"DOTA_Tooltip_ability_item_hand_of_mida_1"						 "Hand of Midas"
"DOTA_Tooltip_ability_item_hand_of_mida_1_description"			 "<h1>Transmute</h1>Grants the carrier a %chance%%% chance to receive %gold_bonus% bonus gold and %crystal_bonus% Soul Crystal when it kills an enemy unit."
"DOTA_Tooltip_ability_item_hand_of_mida_1_creep_damage_bonus"	    "%+$creep_damage_bonus"
"DOTA_Tooltip_ability_item_hand_of_mida_1_attack_speed_percentage"	"%+$attack_speed_percentage"


// 闪电指套
"DOTA_Tooltip_ability_item_light_fingertips"					 "Blitz Knuckles"
"DOTA_Tooltip_ability_item_light_fingertips_attack_speed"		 "+$attack_speed"
"DOTA_Tooltip_ability_item_light_fingertips_description"		 "<h1>Blitz Strike</h1>Grants each attack a %chance%%% chance to attack twice in quick succession."

// 蓝晶石
"DOTA_Tooltip_ability_item_bluess_stone"						 "Void Stone"
"DOTA_Tooltip_ability_item_bluess_stone_status_mana"			 "+$status_mana"

// 御风靴
"DOTA_Tooltip_ability_item_wind_shoe"							"Boots of Breeze"
"DOTA_Tooltip_ability_item_wind_shoe_movement_speed"			"+$movement_speed"
"DOTA_Tooltip_ability_item_wind_shoe_description"				"<h1>Evasion</h1> Grants a %attack_miss%%% chance to evade incoming damage."

// 封印之刃
"DOTA_Tooltip_ability_item_unlock_sowrd"						"Sealed Blade of Devil"
"DOTA_Tooltip_ability_item_unlock_sowrd_physical_attack"		"+$physical_attack"
"DOTA_Tooltip_ability_item_unlock_sowrd_description"			"<h1>Sealed</h1> </h1>Will be unsealed after killing %unlock_count% enemy units. +%unlock_physical_attack% Physical Damage</h1>"
"DOTA_Tooltip_modifier_item_unlock_sowrd"						"Sealed evil power"
"DOTA_Tooltip_modifier_item_unlock_sowrd_description"		   "Unit killed: %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 封印之杖
"DOTA_Tooltip_ability_item_unlock_wand"							"Sealed Wand of Devil"
"DOTA_Tooltip_ability_item_unlock_wand_magical_attack"			"+$magical_attack"
"DOTA_Tooltip_ability_item_unlock_wand_description"				"<h1>Sealed</h1>Will be unsealed after killing %unlock_count% enemy units. +增加%unlock_magical_attack% Magical Damage"
"DOTA_Tooltip_modifier_item_unlock_wand"						"Sealed evil power"
"DOTA_Tooltip_modifier_item_unlock_wand_description"			"Unit killed: %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 已解封的封印之杖
"DOTA_Tooltip_ability_item_unlock_wand_1"						"Wand of Devil (R)"
"DOTA_Tooltip_ability_item_unlock_wand_1_description"			"<h1>Unsealed</h1> Unsealed by the enemies' blood. Increases Magical damage."
"DOTA_Tooltip_ability_item_unlock_wand_1_magical_attack"		"+$magical_attack"



// 被封印的封神之刃
"DOTA_Tooltip_ability_item_unlock_godsowrd"						"Sealed Blade of Apotheosis"
"DOTA_Tooltip_ability_item_unlock_godsowrd_physical_attack"		"+$physical_attack"
"DOTA_Tooltip_ability_item_unlock_godsowrd_description"			"<h1>Sealed</h1> </h1>Will be unsealed after killing %unlock_count% enemy units. +%physical_damage_up%%% Physical Damage</h1>"
"DOTA_Tooltip_modifier_item_unlock_godsowrd"					"Sealed evil power"
"DOTA_Tooltip_modifier_item_unlock_godsowrd_description"		"Unit killed: %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 封神之刃
"DOTA_Tooltip_ability_item_unlock_godsowrd_1"					"Blade of Apotheosis"
"DOTA_Tooltip_ability_item_unlock_godsowrd_1_physical_attack"	"+$physical_attack"
"DOTA_Tooltip_ability_item_unlock_godsowrd_1_description"		"<h1>Unsealed</h1> +%physical_damage_up%%% Physical Damage</h1>"

// 被封印的封神之杖
"DOTA_Tooltip_ability_item_unlock_godwand"						"Sealed Wand of Apotheosis"
"DOTA_Tooltip_ability_item_unlock_godwand_magical_attack"		"+$magical_attack"
"DOTA_Tooltip_ability_item_unlock_godwand_description"			"<h1>Sealed</h1> </h1>Will be unsealed after killing %unlock_count% enemy units. +%magical_damage_up%%% Magical Damage</h1> "
"DOTA_Tooltip_modifier_item_unlock_godwand"						"Sealed evil power"
"DOTA_Tooltip_modifier_item_unlock_godwand_description"		 "Unit killed: %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 封神之杖
"DOTA_Tooltip_ability_item_unlock_godwand_1"					"Wand of Apotheosis"
"DOTA_Tooltip_ability_item_unlock_godwand_1_magical_attack"		"+$magical_attack"
"DOTA_Tooltip_ability_item_unlock_godwand_1_description"		"<h1>Unsealed</h1> +%magical_damage_up%%% Magical Damage</h1> "

// 被封印的星戒
"DOTA_Tooltip_ability_item_unlock_ring"							"Sealed Ring of Styx"
"DOTA_Tooltip_ability_item_unlock_ring_status_health"			"+$status_health"
"DOTA_Tooltip_ability_item_unlock_ring_description"				"<h1>Sealed</h1>Will be unsealed after killing %unlock_count% enemy units. +%incoming_reduce%%% damage reduction, +%status_health_after% HP"
"DOTA_Tooltip_modifier_item_unlock_ring"						"Sealed evil power"
"DOTA_Tooltip_modifier_item_unlock_ring_description"			"Unit killed: %dMODIFIER_PROPERTY_TOOLTIP% / %dMODIFIER_PROPERTY_TOOLTIP%"

// 星戒
"DOTA_Tooltip_ability_item_unlock_ring_1"						"Ring of Styx"
"DOTA_Tooltip_ability_item_unlock_ring_1_status_health"			"+$status_health"
"DOTA_Tooltip_ability_item_unlock_ring_1_description"			"<h1>Sealed evil power</h1>+%incoming_reduce%%% damage reduction"

// 林野长弓
"DOTA_Tooltip_ability_item_wild_bow"							"Grove Bow"
"DOTA_Tooltip_ability_item_wild_bow_attack_range_of_range"		"+$attack_range_of_range"
"DOTA_Tooltip_ability_item_wild_bow_description"				"<h1>Pierce</h1> Grants each attack a %chance%%% chance to deal %attack_bonus% bonus physical damage."
"DOTA_Tooltip_modifier_item_wild_wand"				            "Grove Bow"
"DOTA_Tooltip_modifier_item_wild_wand_description"				"Physical damage increase %dMODIFIER_PROPERTY_TOOLTIP%"

// 林野法杖
"DOTA_Tooltip_ability_item_wild_wand"							"Grove Staff"
"DOTA_Tooltip_ability_item_wild_wand_attack_range_of_range"		"+$attack_range_of_range"
"DOTA_Tooltip_ability_item_wild_wand_description"				"<h1>Burst</h1> Grants each attack a %chance%%% chance to deal %magical_atbonus% bonus magical damage."
"DOTA_Tooltip_modifier_item_wild_wand"				            "Grove Staff"
"DOTA_Tooltip_modifier_item_wild_wand_description"				"Magical damage increase %dMODIFIER_PROPERTY_TOOLTIP%"

// 幽灵披风
"DOTA_Tooltip_ability_item_inheritate_cloth"					"Nether Cloak"
"DOTA_Tooltip_ability_item_inheritate_cloth_Description"		"<h1>Inherit</h1> Transfer the %inheritate_attribute%%% of carriers' attribute to the closest allied unit upon death."
"DOTA_Tooltip_modifier_item_inheritate_cloth_buff"				"Nether Cloak"
"DOTA_Tooltip_modifier_item_inheritate_cloth_buff_description"	"Inheritate follow attribute<br>+%dMODIFIER_PROPERTY_TOOLTIP% physical damage<br>+%dMODIFIER_PROPERTY_TOOLTIP% magical damage<br>+%dMODIFIER_PROPERTY_TOOLTIP% physical armor<br>+%dMODIFIER_PROPERTY_TOOLTIP% magical armor<br>+%dMODIFIER_PROPERTY_TOOLTIP% attack speed"

// 专注药瓶
"DOTA_Tooltip_ability_item_purple_medicine"						"Concentration Pills"
"DOTA_Tooltip_ability_item_purple_medicine_attack_speed"		"+$attack_speed"
"DOTA_Tooltip_ability_item_purple_medicine_Description"			"<h1>Concentrate</h1> Continuous increases %attack_speed_bonus% attack speed upon each successful attack. Resets by the end of the current round."
"DOTA_Tooltip_modifier_item_purple_medicine"		            "Concentration Pills"
"DOTA_Tooltip_modifier_item_purple_medicine_Description"			"extra attack speed %dMODIFIER_PROPERTY_TOOLTIP%"

// 劣质魔豆
"DOTA_Tooltip_ability_item_broken_bean"							"Betty Bot's Every Flavour Beans"
"DOTA_Tooltip_ability_item_broken_bean_Description"				"<h1>One-Time Item</h1> Increases all the attributes by %bonus_pct%%% in the current round."

// 神奇铠甲
"DOTA_Tooltip_ability_item_magic_armor"							"Armor of Wonder"
"DOTA_Tooltip_ability_item_magic_armor_Description"				"<h1>One-Time Item</h1> Increases Physical and Magic armor by %armor_increase%%% in the current round."

// 罪恶药瓶
"DOTA_Tooltip_ability_item_evil_medicine"						"Potion of Sin"
"DOTA_Tooltip_ability_item_evil_medicine_Description"			"<h1>One-Time Item</h1> Reduces the damage taken by %incoming_reduce%%% in the current round."

// 地灵剑气(法)
"DOTA_Tooltip_ability_item_ground_sick_sword"					"Kurikara (Magic)"
"DOTA_Tooltip_ability_item_ground_sick_sword_Description"		"<h1>One-Time Item</h1> Increases Magic Damage by %attacktemp% in the current round."

// 地灵剑气(法)
"DOTA_Tooltip_ability_item_ground_sick_sword1"					"Kurikara (Physic)"
"DOTA_Tooltip_ability_item_ground_sick_sword1_Description"		"<h1>One-Time Item</h1> Increases Physical Damage by %attacktemp% in the current round."

//双刃剑
"DOTA_Tooltip_ability_item_doubleside_sword_1"					"Double Edge"
"DOTA_Tooltip_ability_item_doubleside_sword_1_attack_speed"	    "<font color='#e03e2e'>Reduces attack speed</font>"
"DOTA_Tooltip_ability_item_doubleside_sword_1_description"		"<h1>Pierce</h1> Grants each attack a %crit_chance%%% chance to deal %crit_damage_pct%%% critical damage."

//急速宝石
 "DOTA_Tooltip_ability_item_nohesitate_stone"					            "Gem of Rapid"
