// 大法师
"cmd_beginner" 		"大法师"
"DOTA_Tooltip_modifier_cmd_troll_2_buff_Description"	 "攻击速度提升%dMODIFIER_PROPERTY_TOOLTIP%点"

// 浩劫之龙
"cmd_dragon" 		"浩劫之龙"
"DOTA_Tooltip_ability_cmd_dragon_1" 				         "生生不息"
"DOTA_Tooltip_ability_cmd_dragon_1_Description" 	         "所有英雄获得%status_health_pct%%%最大生命值提升"
"DOTA_Tooltip_ability_cmd_dragon_2" 				         "龙裔之血"
"DOTA_Tooltip_ability_cmd_dragon_2_Description" 	         "指挥官血量高于%health_threhold%%%时，会变化成龙形态，攻击有减速和溅射效果，攻击力提升%atk_bonus%%%，直到回合结束。"
"DOTA_Tooltip_modifier_cmd_dragon_1_buff"				     "生生不息"
"DOTA_Tooltip_modifier_cmd_dragon_1_buff_Description"	     "生命值上限提高%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_cmd_dragon_2_buff"				     "龙裔之血"
"DOTA_Tooltip_modifier_cmd_dragon_2_buff_Description"	     "变化成龙形态，获得冰龙吐息"

// 绝境武士
"cmd_huskar" 		"绝境武士"
"DOTA_Tooltip_ability_cmd_huskar_1" 				         "血与金币"
"DOTA_Tooltip_ability_cmd_huskar_1_Description" 	         "每次回合结束时，每阵亡一名英雄获得%number%金币。"
"DOTA_Tooltip_ability_cmd_huskar_2" 				         "还不够"
"DOTA_Tooltip_ability_cmd_huskar_2_Description" 	         "战斗中，每阵亡一名英雄，剩余英雄的攻击力提升%number%%%。"
"DOTA_Tooltip_ability_cmd_huskar_3" 				         "肉体忍耐"
"DOTA_Tooltip_ability_cmd_huskar_3_Description" 	         "在远征开始时，获得%number%张法术卡【肉体忍耐】。"
"DOTA_Tooltip_ability_cmd_huskar_4" 				         "再生术"
"DOTA_Tooltip_ability_cmd_huskar_4_Description" 	         "每使用%trigger_count%张法术卡，立即回复全场出战英雄%number%%%最大生命值。"
"DOTA_Tooltip_ability_cmd_huskar_5" 				         "天生好战"
"DOTA_Tooltip_ability_cmd_huskar_5_Description" 	         "【战士】和【骑士】获得%number%%%生命值上限提升。"
"DOTA_Tooltip_ability_cmd_huskar_6" 				         "血战的证明"
"DOTA_Tooltip_ability_cmd_huskar_6_Description" 	         "每次回合结束时，每死亡一个英雄，获得%number%魂晶。"
"DOTA_Tooltip_ability_cmd_huskar_7" 				         "复仇者"
"DOTA_Tooltip_ability_cmd_huskar_7_Description" 	         "解锁神器【复仇者】"
"DOTA_Tooltip_modifier_cmd_huskar_2_buff" 				     "还不够"
"DOTA_Tooltip_modifier_cmd_huskar_2_buff_Description" 	     "获得%dMODIFIER_PROPERTY_TOOLTIP%%%攻击力提升。"
"DOTA_Tooltip_modifier_cmd_huskar_5_buff" 				     "天生好战"
"DOTA_Tooltip_modifier_cmd_huskar_5_buff_Description" 	     "获得%dMODIFIER_PROPERTY_TOOLTIP%%%最大生命值提升"



// 修理大师
"cmd_rattletrap" 		"修理大师"
"DOTA_Tooltip_ability_cmd_rattletrap_1" 				         "回收资源"
"DOTA_Tooltip_ability_cmd_rattletrap_1_Description" 	         "锻造物品时，锻造消耗的魂晶数量减少%pct%%%。"
"DOTA_Tooltip_ability_cmd_rattletrap_2" 				         "雷区"
"DOTA_Tooltip_ability_cmd_rattletrap_2_Description" 	         "战斗准备阶段，在战场的随机%count%个位置摆放地雷。并且地雷法术卡的伤害提升为%damage_pct%%%指挥官攻击力。"
"DOTA_Tooltip_ability_cmd_rattletrap_3" 				         "机械之心"
"DOTA_Tooltip_ability_cmd_rattletrap_3_Description" 	         "战斗中，英雄死亡后，会自己原地开始修复，会有%chance%%%概率自己原地开始修复，修复时间到达%repair_time%秒时，该英雄会满血复活。"
"DOTA_Tooltip_ability_cmd_rattletrap_4" 				         "远程导弹"
"DOTA_Tooltip_ability_cmd_rattletrap_4_Description" 	         "战斗开始后，指挥官朝战场各发射%count%颗远程导弹，每颗导弹造成范围%attack_pct%%%攻击力伤害，晕眩%stun_duration%秒。"
"DOTA_Tooltip_ability_cmd_rattletrap_5" 				         "淬炼物品"
"DOTA_Tooltip_ability_cmd_rattletrap_5_Description" 	         "所有玩家在锻造物品时，升级品质的概率提升%pct%%%。"
"DOTA_Tooltip_ability_cmd_rattletrap_6" 				         "王牌维护"
"DOTA_Tooltip_ability_cmd_rattletrap_6_Description" 	         "激活“工程师”羁绊需求-1 "
"DOTA_Tooltip_modifier_cmd_rattletrap_5_buff"                    "淬炼物品"
"DOTA_Tooltip_modifier_cmd_rattletrap_5_buff_Description"        "锻造时升级概率提升%dMODIFIER_PROPERTY_TOOLTIP%%%"

// 剑圣
"cmd_juggernaut"    "湮灭之缘"
"DOTA_Tooltip_ability_cmd_juggernaut_1" 				         "利刃"
"DOTA_Tooltip_ability_cmd_juggernaut_1_Description" 	         "近战英雄和指挥官物理攻击力增加%attack_bonus_pct%%%。"
"DOTA_Tooltip_ability_cmd_juggernaut_2" 				         "剑刃风暴"
"DOTA_Tooltip_ability_cmd_juggernaut_2_Description" 	         "离自己%radius%码范围内敌人大于%count%个，施放剑刃风暴，每秒对范围内敌人造成%attack_pct%%%攻击力伤害，持续%duration%秒。"
"DOTA_Tooltip_ability_cmd_juggernaut_3" 				         "剑道"
"DOTA_Tooltip_ability_cmd_juggernaut_3_Description" 	         "英雄击杀敌人后恢复%health_recover%生命和%mana_recover%法力。"
"DOTA_Tooltip_ability_cmd_juggernaut_4" 				         "剑豪"
"DOTA_Tooltip_ability_cmd_juggernaut_4_Description" 	         "指挥官和近战英雄有%chance%%%概率造成一次额外攻击。"
"DOTA_Tooltip_ability_cmd_juggernaut_5" 				         "招架"
"DOTA_Tooltip_ability_cmd_juggernaut_5_Description" 	         "指挥官和近战英雄有%chance%%%招架敌人攻击，并且下次攻击的伤害提升%damage_pct%%%。"
"DOTA_Tooltip_ability_cmd_juggernaut_6" 				         "一剑封喉"
"DOTA_Tooltip_ability_cmd_juggernaut_6_Description" 	         "指挥官和近战英雄有%chance%%%概率秒杀生命值低于%hp_pct%%%的敌人。"
"DOTA_Tooltip_ability_cmd_juggernaut_7" 				         "致命平静"
"DOTA_Tooltip_ability_cmd_juggernaut_7_Description" 	         "英雄生命值满时，获得%count%层折光，折光消失后进入冷却，冷却时间%cd%。"
"DOTA_Tooltip_ability_cmd_juggernaut_8" 				         "心如止水"
"DOTA_Tooltip_ability_cmd_juggernaut_8_Description" 	         "英雄%period%秒内未受到伤害时，造成伤害提升%pct%%%。"
"DOTA_Tooltip_modifier_cmd_juggernaut_1_buff"                    "利刃"
"DOTA_Tooltip_modifier_cmd_juggernaut_1_buff_Description"        "物理攻击力增加%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_cmd_juggernaut_3_buff"                    "剑道"
"DOTA_Tooltip_modifier_cmd_juggernaut_3_buff_Description"        "击杀敌人后回复生命值和法力值"
"DOTA_Tooltip_modifier_cmd_juggernaut_4_buff"                    "剑豪"
"DOTA_Tooltip_modifier_cmd_juggernaut_4_buff_Description"        "有%dMODIFIER_PROPERTY_TOOLTIP%%%概率造成一次额外攻击"
"DOTA_Tooltip_modifier_cmd_juggernaut_5_damage"                  "招架"
"DOTA_Tooltip_modifier_cmd_juggernaut_5_damage_Description"      "提升下次攻击伤害"
"DOTA_Tooltip_modifier_cmd_juggernaut_6_buff"                    "一剑封喉"
"DOTA_Tooltip_modifier_cmd_juggernaut_6_buff_Description"        "有%dMODIFIER_PROPERTY_TOOLTIP%%%概率秒杀生命值低于%dMODIFIER_PROPERTY_TOOLTIP2%%%的敌人"
"DOTA_Tooltip_modifier_cmd_juggernaut_7_buff"                    "致命平静"
"DOTA_Tooltip_modifier_cmd_juggernaut_7_buff_Description"        "抵挡%dMODIFIER_PROPERTY_TOOLTIP%次伤害"
"DOTA_Tooltip_modifier_cmd_juggernaut_8_buff"                    "心如止水"
"DOTA_Tooltip_modifier_cmd_juggernaut_8_buff_Description"        "提升%dMODIFIER_PROPERTY_TOOLTIP%%%伤害"


// 践踏者
"cmd_centaur"   "践踏者"  
"DOTA_Tooltip_ability_cmd_centaur_1" 				         "马蹄践踏"
"DOTA_Tooltip_ability_cmd_centaur_1_Description" 	         "指挥官践踏地面，对所有场地的敌人造成%duration%秒晕眩和指挥官攻击力*%attack_pct%%%伤害。对精英怪、宝箱有效。对首领无效。"
"DOTA_Tooltip_ability_cmd_centaur_2" 				         "反伤光环"
"DOTA_Tooltip_ability_cmd_centaur_2_Description" 	         "所有玩家的单位（包括召唤物）对攻击他的单位发出反击，受到攻击时对敌人造成%max_hp_pct%%%（半人马酋长最大生命值百分比）的伤害。"
"DOTA_Tooltip_modifier_cmd_centaur_2_buff"                   "反伤光环"
"DOTA_Tooltip_modifier_cmd_centaur_2_buff_Description"       "受到攻击时对敌人造成伤害"

// 精灵之心
"cmd_io"    "精灵之心"
"DOTA_Tooltip_ability_cmd_io_1" 				         "羁绊"
"DOTA_Tooltip_ability_cmd_io_1_Description" 	         "指挥官随机和一个距离最近的随机英雄单位连接在一起，提高该英雄各项属性。并且精灵球技能也会作用于该英雄。"
"DOTA_Tooltip_ability_cmd_io_1_speed_up" 	        	 "移动速度："
"DOTA_Tooltip_ability_cmd_io_1_hp_regen" 	        	 "%生命恢复：英雄最大生命值*"
"DOTA_Tooltip_ability_cmd_io_1_mana_regen" 	        	 "魔法恢复："
"DOTA_Tooltip_ability_cmd_io_2" 				         "精灵球"
"DOTA_Tooltip_ability_cmd_io_2_Description" 	         "每隔%period%秒释放%count%个精灵球，精灵球逐渐扩大并在接触到敌人时爆炸，爆炸造成%explode_radius%范围伤害，基础伤害值为%pct%%%指挥官攻击力，根据距离伤害也会有所增加。"
"DOTA_Tooltip_modifier_cmd_io_1_buff"                    "羁绊"
"DOTA_Tooltip_modifier_cmd_io_1_buff_Description"        "与精灵之心连接，获得属性提升"   

// 腐朽先驱
"cmd_undying"   "腐朽先驱"
"DOTA_Tooltip_ability_cmd_undying_1" 				         "墓碑"
"DOTA_Tooltip_ability_cmd_undying_1_Description" 	         "用墓碑埋葬死亡的敌人召唤一个僵尸，持续%duration%秒。僵尸继承腐朽先驱%health_pct%%%生命值与%attack_pct%%%攻击力。"
"DOTA_Tooltip_ability_cmd_undying_2" 				         "噬魂"
"DOTA_Tooltip_ability_cmd_undying_2_Description" 	         "该指挥官和其召唤物每对一名敌人造成一次伤害治疗所有玩家的单位%max_hp_pct%%%（指挥官最大生命值上限百分比）的生命。"
