"DOTA_Tooltip_modifier_star_indicator" 		"星级"
"DOTA_Tooltip_ability_shredderA_2_Description" "垃圾粉碎机在发射主飞盘之后，使用数个备用飞盘进行攻击并暂时提升攻击速度。"
"DOTA_Tooltip_ability_shredderA_2_physical2physical" "%备用飞盘伤害：物理攻击*"
"DOTA_Tooltip_ability_shredderA_2_interval" "伤害间隔："
"DOTA_Tooltip_ability_shredderA_2_attackspeed" "额外攻速："
"DOTA_Tooltip_ability_shredderA_2_count" "备用飞盘数量："
"DOTA_Tooltip_ability_shredderA_2_AbilityDuration"              "持续时间："
"DOTA_Tooltip_ability_shredderA_2_Lore" "- 备用飞盘与主锯刃的伤害间隔相同"
"DOTA_Tooltip_modifier_shredderA_2_buff"						"备用飞盘"
"DOTA_Tooltip_modifier_shredderA_2_buff_Description"			"使用备用飞盘攻击，获得攻速提升"
"DOTA_Tooltip_ability_shredderA_3" "高速切割"
"DOTA_Tooltip_ability_shredderA_3_Description" "主飞盘获得额外击退效果，任意飞盘可以降低接触到的敌人的物理防御和移速。"
"DOTA_Tooltip_ability_shredderA_3_armor_reduce" "物理防御降低："
"DOTA_Tooltip_ability_shredderA_3_movespeed_reduce_pct" "%移动速度降低："
"DOTA_Tooltip_ability_shredderA_3_abilityduration" "持续时间："
"DOTA_Tooltip_ability_shredderA_3_Lore" "- 对敌人的负面效果通过每次飞盘伤害进行叠加"
"DOTA_Tooltip_modifier_shredderA_3_debuff"						"高速切割"
"DOTA_Tooltip_modifier_shredderA_3_debuff_Description"			"物理防御降低%dMODIFIER_PROPERTY_TOOLTIP%<br>移速降低%dMODIFIER_PROPERTY_TOOLTIP%%%"


//重锤绅士
"DOTA_Tooltip_ability_shredderB_1" "死亡旋风"
"DOTA_Tooltip_ability_shredderB_1_Description" "重锤绅士产生刀刃旋风，对周围敌人造成伤害和攻击降低。每次受到攻击会减少%cooldown_reduce%秒冷却时间。"
"DOTA_Tooltip_ability_shredderB_1_physical2pure" "%刀刃伤害：物理攻击*"
"DOTA_Tooltip_ability_shredderB_1_radius" "作用范围："
"DOTA_Tooltip_ability_shredderB_1_attack_reduce_pct" "%攻击降低："
"DOTA_Tooltip_ability_shredderB_1_Lore" "- 攻击降低即物理和魔法攻击都会降低"
"DOTA_Tooltip_modifier_shredderB_1_debuff"						"死亡旋风"
"DOTA_Tooltip_modifier_shredderB_1_debuff_Description"			"物理攻击和魔法攻击降低"
"DOTA_Tooltip_ability_shredderB_2" "钢铁护甲"
"DOTA_Tooltip_ability_shredderB_2_Description" "重锤绅士每秒受到的伤害不会超过一定上限。每当伤害达到阈值，重锤绅士会向前方持续喷射火焰。\n<h1>燃烧</h1>每层燃烧每秒造成30点魔法伤害，叠加刷新持续时间"
"DOTA_Tooltip_ability_shredderB_2_threshold" "%每秒承伤上限：最大生命值*"
"DOTA_Tooltip_ability_shredderB_2_damage_reduce" "伤害减免："
"DOTA_Tooltip_ability_shredderB_2_physical2physical" "%火焰伤害：物理攻击*"
"DOTA_Tooltip_ability_shredderB_2_damage_tick" "火焰伤害间隔："
"DOTA_Tooltip_ability_shredderB_2_ignite_duration" "点燃持续时间："
"DOTA_Tooltip_ability_shredderB_2_ignite_count" "点燃层数："
"DOTA_Tooltip_modifier_shredderB_2"						"钢铁护甲"
"DOTA_Tooltip_modifier_shredderB_2_Description"			"受到的伤害降低"
"DOTA_Tooltip_ability_shredderB_3" "伐木链锯"
"DOTA_Tooltip_ability_shredderB_3_Description" "发射一条链锯将敌人拉向自身。对路径上的敌人造成伤害，并留下燃烧路径灼烧敌人。\n<h1>燃烧</h1>每层燃烧每秒造成30点魔法伤害，叠加刷新持续时间"
"DOTA_Tooltip_ability_shredderB_3_abilitycastrange" "链锯最大距离："
"DOTA_Tooltip_ability_shredderB_3_physical2physical" "%锯链伤害：物理攻击*"
"DOTA_Tooltip_ability_shredderB_3_abilityduration" "路径燃烧时间："
"DOTA_Tooltip_ability_shredderB_3_ignite_duration" "灼烧持续时间："
"DOTA_Tooltip_ability_shredderB_3_ignite_count" "每秒灼烧层数："
"DOTA_Tooltip_ability_shredderB_3_Lore" "- 如果目标是精英或者首领，则重锤绅士会飞向目标"
"DOTA_Tooltip_modifier_shredderB_3_motion"						"伐木链锯"
"DOTA_Tooltip_modifier_shredderB_3_motion_Description"			"链锯牵引效果中"


//探照工程师
"DOTA_Tooltip_ability_tinker_1" "激光"
"DOTA_Tooltip_ability_tinker_1_Description" 			"普攻会发射在敌人间弹射的激光，对接触到的敌人造成伤害并致盲。\n<h1>致盲</h1>普通攻击有一定概率丢失。"
"DOTA_Tooltip_ability_tinker_1_magical2magical" 		"%激光伤害：魔法攻击*"
"DOTA_Tooltip_ability_tinker_1_bonuce_count" 			"最大弹射数量："
"DOTA_Tooltip_ability_tinker_1_blind" 					"%致盲丢失概率："
"DOTA_Tooltip_ability_tinker_1_abilityduration" 		"致盲持续时间："
"DOTA_Tooltip_modifier_tinker_1"						"激光"
"DOTA_Tooltip_modifier_tinker_1_Description"			"攻击有%dMODIFIER_PROPERTY_MISS_PERCENTAGE%%%概率丢失"
"DOTA_Tooltip_ability_tinker_2" 						"工程学"
"DOTA_Tooltip_ability_tinker_2_Description" 			"提升自己数次攻击的攻速与攻击伤害，并降低所有友方正在冷却的技能的冷却时间。"
"DOTA_Tooltip_ability_tinker_2_cooldown_reduce" 		"冷却时间降低："
"DOTA_Tooltip_ability_tinker_2_attack_count" 		    "攻击次数："
"DOTA_Tooltip_ability_tinker_2_bonus_damage_pct" 		"%强化伤害："
"DOTA_Tooltip_ability_tinker_2_attackspeed" 		    "攻速提升："
"DOTA_Tooltip_modifier_tinker_2_buff"					"工程学"
"DOTA_Tooltip_modifier_tinker_2_buff_Description"		"提升%dMODIFIER_PROPERTY_TOOLTIP%攻速和%dMODIFIER_PROPERTY_TOOLTIP%%%伤害"
"DOTA_Tooltip_ability_tinker_3" 						"追踪导弹"
"DOTA_Tooltip_ability_tinker_3_Description" 			"对周围的敌人随机发射数枚追踪导弹，对命中的敌人造成伤害并产生小范围爆炸。"
"DOTA_Tooltip_ability_tinker_3_distance" 				"导弹追踪范围："
"DOTA_Tooltip_ability_tinker_3_damage_factor" 			"%导弹直接伤害：魔法攻击*"
"DOTA_Tooltip_ability_tinker_3_aoe_damage_factor" 		"%导弹爆炸伤害：魔法攻击*"
"DOTA_Tooltip_ability_tinker_3_radius" 					"爆炸伤害范围："
"DOTA_Tooltip_ability_tinker_3_missile_count" 			"导弹数量："


//闪电咆哮
"DOTA_Tooltip_ability_razor_1" "雷击"
"DOTA_Tooltip_ability_razor_1_Description" "召唤一道雷电打击敌人，并产生一个扩散的等离子场，对敌人造成伤害，降低攻速和移速。"
"DOTA_Tooltip_ability_razor_1_lightning_damage" "%雷击伤害：魔法攻击*"
"DOTA_Tooltip_ability_razor_1_radius" "等离子场范围："
"DOTA_Tooltip_ability_razor_1_plasma_damage" "%等离子场伤害：魔法攻击*"
"DOTA_Tooltip_ability_razor_1_movespeed_reduce_pct" "%攻速移速降低："
"DOTA_Tooltip_ability_razor_1_reduce_duration" "降低持续时间："
"DOTA_Tooltip_ability_razor_1_Lore" "- 等离子场只造成一次伤害"
"DOTA_Tooltip_modifier_razor_1_debuff"						"雷击"
"DOTA_Tooltip_modifier_razor_1_debuff_Description"			"受到雷击影响，攻速和移速降低"
"DOTA_Tooltip_ability_razor_2" "静电连接"
"DOTA_Tooltip_ability_razor_2_Description" "创建一个静电连接，偷取敌人的魔法攻击。连接持续时，攻击有概率触发雷击。"
"DOTA_Tooltip_ability_razor_2_attack_per_sec" "每秒偷取魔法攻击："
"DOTA_Tooltip_ability_razor_2_duration" "连接持续时间："
"DOTA_Tooltip_ability_razor_2_chance" "%触发雷击概率："
"DOTA_Tooltip_ability_razor_2_Lore" "- 可以把敌人的魔法攻击偷到零以下"
"DOTA_Tooltip_modifier_razor_2_buff"						"静电连接"
"DOTA_Tooltip_modifier_razor_2_buff_Description"			"偷取敌人%dMODIFIER_PROPERTY_TOOLTIP%点魔法攻击"
"DOTA_Tooltip_modifier_razor_2_debuff"						"静电连接"
"DOTA_Tooltip_modifier_razor_2_debuff_Description"			"被偷取%dMODIFIER_PROPERTY_TOOLTIP%点魔法攻击"
"DOTA_Tooltip_ability_razor_3" "风暴之眼"
"DOTA_Tooltip_ability_razor_3_Description" "召唤强大的闪电风暴对敌人进行持续打击，造成伤害并降低其魔法防御，每次闪电风暴有概率触发雷击。"
"DOTA_Tooltip_ability_razor_3_interval" "打击间隔："
"DOTA_Tooltip_ability_razor_3_radius" "打击范围："
"DOTA_Tooltip_ability_razor_3_magical2magical" "%单次打击伤害：魔法攻击*"
"DOTA_Tooltip_ability_razor_3_armor_reduce" "魔法防御降低："
"DOTA_Tooltip_ability_razor_3_reduce_duration" "降低持续时间："
"DOTA_Tooltip_ability_razor_3_chance" "%触发雷击概率："
"DOTA_Tooltip_ability_razor_3_Lore" "- 魔法防御降低效果最大叠加层数为20层"
"DOTA_Tooltip_modifier_razor_3_debuff"						"风暴之眼"
"DOTA_Tooltip_modifier_razor_3_debuff_Description"			"受到风暴影响，魔法防御降低%dMODIFIER_PROPERTY_TOOLTIP%"


//碧婆婆
"DOTA_Tooltip_ability_snapfire_1" 							"电光石火"
"DOTA_Tooltip_ability_snapfire_1_Description" 				"碧婆婆使用霰弹枪攻击敌人，发射多颗子弹对锥形区域内的敌人造成伤害。"
"DOTA_Tooltip_ability_snapfire_1_bullet" 					"子弹数量："
"DOTA_Tooltip_ability_snapfire_1_physical2physical" 		"%每颗子弹伤害："
"DOTA_Tooltip_ability_snapfire_2" 							"龙炎饼干"
"DOTA_Tooltip_ability_snapfire_2_Description" 				"碧婆婆进行一次跳跃，落地时立即回复自身生命，造成范围伤害并眩晕敌人。碧婆婆之后%abilityduration%秒内的攻击必定暴击。<br><br>跳跃过程中不受到伤害"
"DOTA_Tooltip_ability_snapfire_2_physical2magical" 			"%落地伤害：物理攻击*"
"DOTA_Tooltip_ability_snapfire_2_impact_radius" 	        "作用范围："
"DOTA_Tooltip_ability_snapfire_2_impact_stun_duration" 	    "晕眩时间："
"DOTA_Tooltip_ability_snapfire_2_health_instant" 	        "%瞬间回复：物理攻击力*"
"DOTA_Tooltip_ability_snapfire_2_crit_mult" 				"%暴击伤害："
"DOTA_Tooltip_ability_snapfire_2_Lore" 						"- 小莫迪好像很喜欢吃饼干"
"DOTA_Tooltip_modifier_snapfire_2_crit"						"龙炎饼干"
"DOTA_Tooltip_modifier_snapfire_2_crit_Description"			"攻击必定造成%dMODIFIER_PROPERTY_TOOLTIP%%%伤害"
"DOTA_Tooltip_ability_snapfire_3" 							"霹雳铁手"
"DOTA_Tooltip_ability_snapfire_3_Description" 				"碧婆婆开启加农炮，大幅度提升攻击速度与攻击距离。加农炮随射击过热后进入冷却。"
"DOTA_Tooltip_ability_snapfire_3_bonus_attackspeed" 		"攻击速度提升："
"DOTA_Tooltip_ability_snapfire_3_bonus_attackrange" 		"攻击距离提升："
"DOTA_Tooltip_ability_snapfire_3_heat_per_attack" 			"射击产生热量："
"DOTA_Tooltip_ability_snapfire_3_max_heat" 					"过热阈值："
"DOTA_Tooltip_modifier_snapfire_3"							"霹雳铁手"
"DOTA_Tooltip_modifier_snapfire_3_Description"				"碧婆婆使用加农炮射击，过热后冷却"

//techies
//爆破工程师
"DOTA_Tooltip_ability_techies_1" "感应地雷"
"DOTA_Tooltip_ability_techies_1_Description" "爆破工程师挖掘地道并在敌人脚下埋下数个感应地雷，地雷在%delay%秒延迟后爆炸，随后地道塌陷并降低敌人移动速度。"
"DOTA_Tooltip_ability_techies_1_mine_count" "地雷数量："
"DOTA_Tooltip_ability_techies_1_physical2physical" "%地雷爆炸伤害：物理攻击*"
"DOTA_Tooltip_ability_techies_1_radius" "爆炸伤害范围："
"DOTA_Tooltip_ability_techies_1_movespeed_reduce" "%塌陷移速降低："
"DOTA_Tooltip_ability_techies_1_abilityduration" "塌陷持续时间："
"DOTA_Tooltip_modifier_techies_1_burrow"                    "感应地雷"
"DOTA_Tooltip_modifier_techies_1_burrow_Description"        "请注意，挖掘中!"
"DOTA_Tooltip_modifier_techies_1_debuff"                    "塌陷"
"DOTA_Tooltip_modifier_techies_1_debuff_Description"        "移动速度降低"
"DOTA_Tooltip_ability_techies_2" "焦油滚雷"
"DOTA_Tooltip_ability_techies_2_Description" "爆破工程师在地道中留下焦油，地雷爆破时点燃焦油并为敌人每秒增加燃烧层数。\n<h1>燃烧</h1>每层燃烧每秒造成30点魔法伤害，叠加刷新持续时间"
"DOTA_Tooltip_ability_techies_2_ignite_count" "每秒燃烧层数："
"DOTA_Tooltip_ability_techies_2_abilityduration" "燃烧持续时间："

"DOTA_Tooltip_ability_techies_3" "掘地穿刺"
"DOTA_Tooltip_ability_techies_3_Description" "爆破工程师在挖掘地道时会从地下穿刺地道上的敌人，造成伤害并且眩晕一段时间。"
"DOTA_Tooltip_ability_techies_3_physical2physical" "%穿刺伤害：物理攻击*"
"DOTA_Tooltip_ability_techies_3_stun_duration" "眩晕时间："

//狙击手
"DOTA_Tooltip_ability_sniper_1"                     "狙击枪"
"DOTA_Tooltip_ability_sniper_1_Description" 		"当目标距离自己%distance%码之外时，狙击手有一定概率造成额外伤害。"
"DOTA_Tooltip_ability_sniper_1_chance" 				"%触发概率："
"DOTA_Tooltip_ability_sniper_1_bonus_damage" 	"%额外伤害："
"DOTA_Tooltip_modifier_sniper_1"                    "狙击枪"
"DOTA_Tooltip_modifier_sniper_1_Description" 		"狙击手有概率对远距离敌人造成额外伤害"
"DOTA_Tooltip_ability_sniper_2" "伪装色"
"DOTA_Tooltip_ability_sniper_2_Description" "狙击手进入隐身状态，并待在原地开始准备自己的子弹。%abilityduration%秒之后狙击手现身，朝最近的单位射击一发子弹，子弹造成基于距离及物理攻击力的百分比伤害，并造成击退。发射子弹后短时间内增加攻击速度。"
"DOTA_Tooltip_ability_sniper_2_knockback_distance" "最大击退距离："
"DOTA_Tooltip_ability_sniper_2_damage_per_distance" "%每10码距离提升伤害系数："
"DOTA_Tooltip_ability_sniper_2_bonus_attackspeed" "额外攻速："
"DOTA_Tooltip_ability_sniper_2_duration" "攻速持续时间："
"DOTA_Tooltip_ability_sniper_2_AbilityDuration" "隐身时间："
"DOTA_Tooltip_modifier_sniper_2_buff"                    "蓄力"
"DOTA_Tooltip_modifier_sniper_2_attackspeed"                    "伪装色-额外攻速"
"DOTA_Tooltip_modifier_sniper_2_buff_Description"                    "5秒后发射"
"DOTA_Tooltip_modifier_sniper_2_attackspeed_Description"                    "获得%dMODIFIER_PROPERTY_TOOLTIP%点额外攻速"

"DOTA_Tooltip_ability_sniper_3" "幸运子弹"
"DOTA_Tooltip_ability_sniper_3_Description" "发射一枚必定暴击的子弹，在敌人之中弹射数次。该子弹每击杀一个敌人，便增加一次弹射次数。<br><br>幸运子弹可以享受狙击枪的额外伤害倍率"
"DOTA_Tooltip_ability_sniper_3_critical_damage" "%暴击伤害："
"DOTA_Tooltip_ability_sniper_3_jump_count" "弹射次数："
"DOTA_Tooltip_ability_sniper_3_radius" "弹射范围："

//土元素
//
"DOTA_Tooltip_ability_brewmaster_earthspirit_1" "玉石冲击"
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_Description" "攻击会抛投巨石，巨石落地造成范围伤害。对中心的敌人造成额外伤害和移速降低。"
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_radius" "作用范围："
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_physical2physical" "%巨石伤害：物理攻击*"
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_center_radius" "中心范围："
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_center_damage" "%中心额外伤害：物理攻击*"
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_movespeed_reduce" "%移动速度降低："
// "DOTA_Tooltip_ability_brewmaster_earthspirit_1_Lore" "- 目前伤害无法随技能等级提升，且固定为1.5倍攻击"
"DOTA_Tooltip_modifier_brewmaster_earthspirit_1_debuff" "玉石冲击减速"
"DOTA_Tooltip_modifier_brewmaster_earthspirit_1_debuff_Description" "被减速 %dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_ability_brewmaster_earthspirit_2" "玉石共鸣"
"DOTA_Tooltip_ability_brewmaster_earthspirit_2_Description" "土元素将玉石之力赋予友方，所有友方获得额外的防御提升。"
"DOTA_Tooltip_ability_brewmaster_earthspirit_2_armor_pct" "%防御提升：相关攻击力*"
// "DOTA_Tooltip_ability_brewmaster_earthspirit_2_radius" "影响范围："
"DOTA_Tooltip_modifier_brewmaster_earthspirit_2_buff" "玉石共鸣"
"DOTA_Tooltip_modifier_brewmaster_earthspirit_2_buff_Description" "来自土元素使的增幅：<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 物理防御 <br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法防御"
"DOTA_Tooltip_ability_brewmaster_earthspirit_3" "元素共鸣：土"
"DOTA_Tooltip_ability_brewmaster_earthspirit_3_Description" "元素共鸣为所有友方提供魔法回复提升，同时使玉石冲击获得额外眩晕效果。"
"DOTA_Tooltip_ability_brewmaster_earthspirit_3_mana_regen_bonus" "魔法回复："
"DOTA_Tooltip_ability_brewmaster_earthspirit_3_stun_duration" "晕眩时间："
"DOTA_Tooltip_modifier_brewmaster_earthspirit_3" "元素共鸣：土"
"DOTA_Tooltip_modifier_brewmaster_earthspirit_3_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法恢复"

//火元素
//
"DOTA_Tooltip_ability_brewmaster_firespirit_1" "火焰风暴"
"DOTA_Tooltip_ability_brewmaster_firespirit_1_Description" "对指定区域释放火焰风暴，点燃其上的敌方单位并造成持续伤害。 \n<h1>燃烧</h1>每层燃烧每秒造成30点魔法伤害，叠加刷新持续时间"
"DOTA_Tooltip_ability_brewmaster_firespirit_1_magical2magical" "%每秒技能伤害：魔法攻击*"
"DOTA_Tooltip_ability_brewmaster_firespirit_1_radius" "影响范围："
"DOTA_Tooltip_ability_brewmaster_firespirit_1_abilityduration" "区域灼烧时间："
"DOTA_Tooltip_ability_brewmaster_firespirit_1_ignite_count"     "每秒点燃层数："
"DOTA_Tooltip_ability_brewmaster_firespirit_1_ignite_duration"  "点燃持续时间："
"DOTA_Tooltip_ability_brewmaster_firespirit_2" "周身火焰"
"DOTA_Tooltip_ability_brewmaster_firespirit_2_Description" "火元素周身被火焰包围，持续对周围单位造成伤害。并且释放火焰风暴时使受到伤害的敌人晕眩。"
"DOTA_Tooltip_ability_brewmaster_firespirit_2_magical2magical" "%每秒灼烧伤害：魔法攻击*"
"DOTA_Tooltip_ability_brewmaster_firespirit_2_radius" "伤害范围："
"DOTA_Tooltip_ability_brewmaster_firespirit_2_stun_duration" "晕眩时间："
"DOTA_Tooltip_modifier_brewmaster_firespirit_2_buff" "火焰灼烧"
"DOTA_Tooltip_modifier_brewmaster_firespirit_2_buff_Description" "受到火元素使的周身火焰灼烧，每 %dMODIFIER_PROPERTY_TOOLTIP% 秒受到 %dMODIFIER_PROPERTY_TOOLTIP% 点伤害。"
"DOTA_Tooltip_ability_brewmaster_firespirit_3" "元素共鸣：火"
"DOTA_Tooltip_ability_brewmaster_firespirit_3_Description" "火焰风暴和周身火焰会削弱受影响单位的物理及魔法护甲。<br>元素共鸣被动提升队友的魔法回复速度。"
"DOTA_Tooltip_ability_brewmaster_firespirit_3_mana_regen_bonus" "魔法回复："
"DOTA_Tooltip_ability_brewmaster_firespirit_3_armor_reduce_pct" "%双防降低："
"DOTA_Tooltip_modifier_brewmaster_firespirit_3" "元素共鸣：火"
"DOTA_Tooltip_modifier_brewmaster_firespirit_3_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法恢复"
"DOTA_Tooltip_modifier_brewmaster_firespirit_3_debuff" "元素共鸣：火"
"DOTA_Tooltip_modifier_brewmaster_firespirit_3_debuff_Description" "- %dMODIFIER_PROPERTY_TOOLTIP%%% 物理护甲 <br>- %dMODIFIER_PROPERTY_TOOLTIP%%% 魔法护甲"

//风元素
"DOTA_Tooltip_ability_brewmaster_windspirit_1" "乘风翱翔"
"DOTA_Tooltip_ability_brewmaster_windspirit_1_Description" "聚集起一股强旋风将中心的敌人托起，使其滞空并持续受到伤害。"
"DOTA_Tooltip_ability_brewmaster_windspirit_1_magical2magical" "%每秒伤害：魔法攻击*"
"DOTA_Tooltip_ability_brewmaster_windspirit_1_abilityduration" "滞空时间："
"DOTA_Tooltip_ability_brewmaster_windspirit_1_distance" "飞行距离："
"DOTA_Tooltip_ability_brewmaster_windspirit_2" "鸣谷风"
"DOTA_Tooltip_ability_brewmaster_windspirit_2_Description" "攻击分裂成 %attack_split% 股小旋风，命中敌人后敌人移动速度降低 %abilityduration% 秒。"
"DOTA_Tooltip_ability_brewmaster_windspirit_2_movespeed_reduce" "%移动速度降低："
"DOTA_Tooltip_modifier_brewmaster_windspirit_2_debuff"              "鸣谷风"
"DOTA_Tooltip_modifier_brewmaster_windspirit_2_debuff_Description"  "移动速度降低%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_ability_brewmaster_windspirit_3" "元素共鸣：风"
"DOTA_Tooltip_ability_brewmaster_windspirit_3_Description" "释放乘风翱翔时提升全体队友的攻击速度。<br>元素共鸣被动提升队友的魔法回复速度。"
"DOTA_Tooltip_ability_brewmaster_windspirit_3_mana_regen_bonus" "魔法回复："
"DOTA_Tooltip_ability_brewmaster_windspirit_3_bonus_attackspeed" "攻击速度提升："
"DOTA_Tooltip_ability_brewmaster_windspirit_3_abilityduration" "持续时间："
"DOTA_Tooltip_modifier_brewmaster_windspirit_3" "元素共鸣：风"
"DOTA_Tooltip_modifier_brewmaster_windspirit_3_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法恢复"
"DOTA_Tooltip_modifier_brewmaster_windspirit_3_buff" "风起云涌"
"DOTA_Tooltip_modifier_brewmaster_windspirit_3_buff_Description" "攻击速度提升%dMODIFIER_PROPERTY_TOOLTIP%"

//食人魔魔法师
"DOTA_Tooltip_ability_ogre_magi_1" "两个脑袋"
"DOTA_Tooltip_ability_ogre_magi_1_Description" "普通攻击造成基础奥术伤害，伤害类型随机为物理或者魔法。触发奥术爆炸时提升%damage_deepen_pct%%%基础奥爆伤害。\n<h1>奥术爆炸</h1>连续使用同种攻击时会触发该类型的奥术爆炸"
"DOTA_Tooltip_ability_ogre_magi_1_physical2physical" "%基础奥爆物理伤害：物理攻击*"
"DOTA_Tooltip_ability_ogre_magi_1_magical2magical" "%基础奥爆魔法伤害：魔法攻击*"
"DOTA_Tooltip_ability_ogre_magi_1_damage_deepen_pct" "%连续奥爆伤害提升："
"DOTA_Tooltip_ability_ogre_magi_1_radius" "作用范围："
