//--------------------------------------------------------------------------------------------------
// BOSS技能描述
"DOTA_Tooltip_modifier_boss" 				"Leadership"
"DOTA_Tooltip_ability_omniknight_3_Description" "Wicked Knight transforms into wave energy that flies across the battlefield, damaging all the enemy units along his path. The damage increases as he flies farther."

"DOTA_Tooltip_ability_omniknight_4" "Hammer of Horror"
"DOTA_Tooltip_ability_omniknight_4_Description" "Deals massive damage with his hammer."

"DOTA_Tooltip_ability_omniknight_5" "Skeleton Knight"
"DOTA_Tooltip_ability_omniknight_5_Description" "When Wicked Knight's HP is lower than %trigger_pct%%%, every enemy units he killed will be transformed into a skeleton knight that serves him."

"DOTA_Tooltip_ability_omniknight_6" "Nether Swap"
"DOTA_Tooltip_ability_omniknight_6_Description" "Instantaneously swaps his positions with the farthest unit."

"DOTA_Tooltip_ability_omniknight_7" "Image of Annihilation"
"DOTA_Tooltip_ability_omniknight_7_Description" "When Wicked Knight's HP is lower than %trigger_pct%%%, he summons 2 invincible images of himself that last till the end of the round."

"DOTA_Tooltip_ability_omniknight_8" "Extinction Blast"
"DOTA_Tooltip_ability_omniknight_8_Description" "At his desperate moment, Wicked Kight blew himself up with his images."

"DOTA_Tooltip_ability_jakiro_1" "Dual Breath"
"DOTA_Tooltip_ability_jakiro_1_Description" "One of his heads gets to determine the effect of their breath.<br>Ice Form: attacks multiple units, slowing their attack and movement speed.<br>Fire Form: ignites its target that deals damage over time."

"DOTA_Tooltip_ability_jakiro_2" "Dragon Egg"
"DOTA_Tooltip_ability_jakiro_2_Description" "When all the Dragon Eggs are eliminated, Jakiro will fly back to the battlefield and place a new Dragon Egg."

"DOTA_Tooltip_ability_jakiro_3" "Formshift"
"DOTA_Tooltip_ability_jakiro_3_Description" "When he fails to kill any unit within %interval% seconds, Jakiro will release a more powerful self, increasing his damage and leaving a Dragon Egg at the current position."

"DOTA_Tooltip_ability_jakiro_4" "Ice Path"
"DOTA_Tooltip_ability_jakiro_4_Description" "Can be cast under Ice Form: creates a path of ice that stuns and damages enemies that touch it.<br>Icy Eggs will cast the same spell at the same time."

"DOTA_Tooltip_ability_jakiro_5" "Macropyre"
"DOTA_Tooltip_ability_jakiro_5_Description" "Can be cast under Fire Form: Jakiro exhales a wide line of lasting flames, which deals damage per second to any enemy units caught in the fire.<br>Fiery Eggs will cast the same spell at the same time."

"DOTA_Tooltip_ability_jakiro_6" "Activation"
"DOTA_Tooltip_ability_jakiro_6_Description" "Flies to a random location and orders all the Dragon Eggs on the battlefied to cast their talent spells."

"DOTA_Tooltip_ability_jakiro_7" "Energy Beam"
"DOTA_Tooltip_ability_jakiro_7_Description" "Flies into the air, unleashing deal Energy Beams that sweeping among enemies.<br>All the Dragon Eggs will cast the same spell at the same time."

"DOTA_Tooltip_ability_jakiro_8" "Resurrection"
"DOTA_Tooltip_ability_jakiro_8_Description" "When Jakiro's HP is lower than %trigger_pct%%%, he activates Resurrection Ritual, becoming invincible and constantly draining health from Dragon Eggs. The ritual will be interrupted if all the Eggs are destroyed during it."

"DOTA_Tooltip_ability_nian_1"	"Claw"
"DOTA_Tooltip_ability_nian_1_Description"	"Nian attack deal full damage to unit in area."
"DOTA_Tooltip_ability_nian_2"	"Skew"
"DOTA_Tooltip_ability_nian_2_physical2physical"	"%damage：physical attack*"
"DOTA_Tooltip_ability_nian_2_Description"	"Nian charge toward and skew enemy up, the skewed unit will be drag to the final destination."
"DOTA_Tooltip_ability_nian_3"	"Horn Toss"
"DOTA_Tooltip_ability_nian_3_stun_duration"	"stun:"
"DOTA_Tooltip_ability_nian_3_Description"	"Nian tosses any enemies in front of him, launching them to his rear . Enemies spend seconds in the air, then take damage and are stunned for seconds upon landing. Horn Toss will cast when Nian uses Skew"
"DOTA_Tooltip_ability_nian_4"	"Flee"
"DOTA_Tooltip_ability_nian_4_impact_stun_duration"	"stun:"
"DOTA_Tooltip_ability_nian_4_Description"	"Nian run away from enemy , leap toward the weak backline"
"DOTA_Tooltip_ability_nian_5"	"Jump"
"DOTA_Tooltip_ability_nian_5_Description"	"Nian jump toward the farthest unti, catch him and tear it apart."
"DOTA_Tooltip_ability_nian_6"	"flame breath"
"DOTA_Tooltip_ability_nian_6_Description"	"Nian keeping breath fire toward front, deal damage and slows enemy"
"DOTA_Tooltip_ability_nian_7"	"Beast form"
"DOTA_Tooltip_ability_nian_7_Description"	"Nian atake less damage, but when Nian taken certain among of damage , it will fallen on the ground and let any attack"
"DOTA_Tooltip_ability_nian_8"	"Desperate counterattack"
"DOTA_Tooltip_ability_nian_8_Description"	"Nian launch the strongest attack when fearing danger, slash a huge area in front him."
