"DOTA_Tooltip_modifier_star_indicator" 		"STAR"
"DOTA_Tooltip_ability_rattletrap_3_armor_per_stack" "Physical armor: Armor Stacks*"
"DOTA_Tooltip_ability_rattletrap_3_max_stack" "Max Stacks: "
"DOTA_Tooltip_ability_rattletrap_3_armor_factor" "%Armor Shrapnels Damage: Physical Armor*"
"DOTA_Tooltip_ability_rattletrap_3_count" "Shrapnels Count: "
"DOTA_Tooltip_ability_rattletrap_3_Lore" "-Each enemy unit will only be hit once by Armor Shrapnels."
"DOTA_Tooltip_modifier_rattletrap_3" "Reactive Armor"
"DOTA_Tooltip_modifier_rattletrap_3_Description" "Armor increased by %dMODIFIER_PROPERTY_TOOLTIP%."

//SHREDDER
"DOTA_Tooltip_ability_shredderA_1" "Chakram"
"DOTA_Tooltip_ability_shredderA_1_Description" "Shredder fires his main saw blade at his current target, dealing damage within range."
"DOTA_Tooltip_ability_shredderA_1_physical2physical" "Saw blade damage: Physical*"
"DOTA_Tooltip_ability_shredderA_1_interval" "Damage interval: "
"DOTA_Tooltip_ability_shredderA_1_Lore" "-Disarms Shredder as soon as the Chakram is launched, until the Chakram fully returns to him"
"DOTA_Tooltip_modifier_shredderA_1_disarm"						"Chakram"
"DOTA_Tooltip_modifier_shredderA_1_disarm_Description"			"Shredder cannot attack while Chakram is in the air."
"DOTA_Tooltip_ability_shredderA_2" "Spare Chakrams"
"DOTA_Tooltip_ability_shredderA_2_Description" "Shredder makes the most of his Spare Chakrams to attack rapidly while his main Chakram is in the air."
"DOTA_Tooltip_ability_shredderA_2_physical2physical" "%Spare chakram damage: Physical Attack*"
"DOTA_Tooltip_ability_shredderA_2_interval" "Damage interval: "
"DOTA_Tooltip_ability_shredderA_2_attackspeed" "Bonus Attack Speed: "
"DOTA_Tooltip_ability_shredderA_2_count" "Spare Chakram Count: "
"DOTA_Tooltip_ability_shredderA_2_AbilityDuration"              "Duration:"
"DOTA_Tooltip_ability_shredderA_2_Lore" "-Spare Chakrams' damage is the same as his main saw blade."
"DOTA_Tooltip_modifier_shredderA_2_buff"						"Spare Chakrams"
"DOTA_Tooltip_modifier_shredderA_2_buff_Description"			"Gains extra attack speed while using his Spare Chakrams."
"DOTA_Tooltip_ability_shredderA_3" "Advanced Sawing"
"DOTA_Tooltip_ability_shredderA_3_Description" "The R&D done successfully gains Shredder's Chakrams the ability to reduce enemies' Physical armor and Movement Speed, while his main Chakram can push back the enemies that it hits."
"DOTA_Tooltip_ability_shredderA_3_armor_reduce" "Physical Armor Reduce: "
"DOTA_Tooltip_ability_shredderA_3_movespeed_reduce_pct" "%Slow:"
"DOTA_Tooltip_ability_shredderA_3_abilityduration" "Duration: "
"DOTA_Tooltip_ability_shredderA_3_Lore" "-The debuff of multiple Chakrams stack."
"DOTA_Tooltip_modifier_shredderA_3_debuff"						"Advanced Sawing"
"DOTA_Tooltip_modifier_shredderA_3_debuff_Description"			"Armor is reduced, and movement speed is slowed."


//TERMINATOR
"DOTA_Tooltip_ability_shredderB_1" "Whirling Death"
"DOTA_Tooltip_ability_shredderB_1_Description" "Terminator whirls extremely sharp edges, damaging enemies and reduing their attack damage around him in an area."
"DOTA_Tooltip_ability_shredderB_1_physical2pure"        "%Damage: Physical Attack*"
"DOTA_Tooltip_ability_shredderB_1_radius" "Radius: "
"DOTA_Tooltip_ability_shredderB_1_attack_reduce_pct" "%Attack Reduce: "
"DOTA_Tooltip_ability_shredderB_1_Lore" "-Reduces both physical and magical damage"
"DOTA_Tooltip_modifier_shredderB_1_debuff"						"Whirling Death"
"DOTA_Tooltip_modifier_shredderB_1_debuff_Description"			"Both physical and magical damage are reduced."
"DOTA_Tooltip_ability_shredderB_2" "Bulky Armor"
"DOTA_Tooltip_ability_shredderB_2_Description" "The damage taken by Terminator is reduced and limited by his Bulky Armor, Terminator spray flame forwards if damage reach threshold.\n<h1>Ignite</h1> Ignite deal 30 magical damage per stack per second."
"DOTA_Tooltip_ability_shredderB_2_threshold" "%Threshold per Second: Max Hp*"
"DOTA_Tooltip_ability_shredderB_2_damage_reduce" "Incoming Damage Reduce: "
"DOTA_Tooltip_ability_shredderB_2_physical2physical" "%Flame Damage: Physical Attack*"
"DOTA_Tooltip_ability_shredderB_2_damage_tick" "Damage Interval:"
"DOTA_Tooltip_ability_shredderB_2_ignite_duration" "Ignite Duration:"
"DOTA_Tooltip_ability_shredderB_2_ignite_count" "Ignite per Interval:"

"DOTA_Tooltip_modifier_shredderB_2"						"Bulky Armor"
"DOTA_Tooltip_modifier_shredderB_2_Description"			"Taking less damage."
"DOTA_Tooltip_ability_shredderB_3" "Lethal Chain"
"DOTA_Tooltip_ability_shredderB_3_Description" "Launches a chain towards an enemy unit that snags and drags it back to Terminator. The chain deals damage to any enemies it encounters and leaves a trail of flames that will ignite and burn enemies in the path.\n<h1>Ignite</h1> Ignite deal 30 magical damage per stack per second."
"DOTA_Tooltip_ability_shredderB_3_abilitycastrange" "Max Distance: "
"DOTA_Tooltip_ability_shredderB_3_physical2physical" "%Chain Damage: Physical Attack*"
"DOTA_Tooltip_ability_shredderB_3_abilityduration" "Flame path duration: "
"DOTA_Tooltip_ability_shredderB_3_ignite_duration" "Ignite duration: "
"DOTA_Tooltip_ability_shredderB_3_ignite_count" "Ignite per Second: "
"DOTA_Tooltip_ability_shredderB_3_Lore" "-Lethal Chain will embeds itself in the Elite or Boss target, pulling Terminator towards it"
"DOTA_Tooltip_modifier_shredderB_3_motion"						"Lethal Chain"
"DOTA_Tooltip_modifier_shredderB_3_motion_Description"			"Get over here!"


//Space Engineer
"DOTA_Tooltip_ability_tinker_1" "Laser"
"DOTA_Tooltip_ability_tinker_1_Description" 			"Fires an intense energy beam that bounces between enemies, dealing damage and blinding the targets, causing them to miss all physical attacks.\n<h1>Laser Blind</h1>Miss some attacks."
"DOTA_Tooltip_ability_tinker_1_magical2magical" 		"%Laser Damge: Magical*"
"DOTA_Tooltip_ability_tinker_1_bonuce_count" 			"Max bounces: "
"DOTA_Tooltip_ability_tinker_1_blind" 					"%Miss chance: "
"DOTA_Tooltip_ability_tinker_1_abilityduration" 		"Duration: "
"DOTA_Tooltip_modifier_tinker_1"						"Laser"
"DOTA_Tooltip_modifier_tinker_1_Description"			"Attacks may miss."
"DOTA_Tooltip_ability_tinker_2" 						"Engineering"
"DOTA_Tooltip_ability_tinker_2_Description" 			"Increses Space Engineer's next %attack_count% attacks' speed and damage, and reduces allies' cooldowns of all abilities currently on cooldown."
"DOTA_Tooltip_ability_tinker_2_cooldown_reduce" 		"Ally Current Cooldowns Reduction: "
"DOTA_Tooltip_ability_tinker_2_bonus_damage_pct" 		"%Bonus Damage:"
"DOTA_Tooltip_modifier_tinker_2_buff"					"Engineering"
"DOTA_Tooltip_modifier_tinker_2_buff_Description"		"Temporarily Increase Space Engineer's attack speed and damage."
"DOTA_Tooltip_ability_tinker_3" 						"Homing Missile"
"DOTA_Tooltip_ability_tinker_3_Description" 			"Fires homing missiles to seek random nearby enemy units. Each missile causes damage and explosion around the target upon impact."
"DOTA_Tooltip_ability_tinker_3_distance" 				"Seek Range: "
"DOTA_Tooltip_ability_tinker_3_damage_factor" 			"%Missile damage: Magical*"
"DOTA_Tooltip_ability_tinker_3_aoe_damage_factor" 		"%Explosion damage: Magical*"
"DOTA_Tooltip_ability_tinker_3_radius" 					"Explosion radius: "
"DOTA_Tooltip_ability_tinker_3_missile_count" 			"Missile count:"


//Thunder Rumbler
"DOTA_Tooltip_ability_razor_1" "Lightning Bolt"
"DOTA_Tooltip_ability_razor_1_Description" "Calls down a bolt of lightning to strike an enemy unit, causing damage, and summoning a Static Field that weakens enemy units in it by reducing their movement and attack speed."
"DOTA_Tooltip_ability_razor_1_lightning_damage" "%Lightning Bolt Damage: Magical*"
"DOTA_Tooltip_ability_razor_1_radius" "Static field radius: "
"DOTA_Tooltip_ability_razor_1_plasma_damage" "%Static field damage: Magical*"
"DOTA_Tooltip_ability_razor_1_movespeed_reduce_pct" "%Speed Slow: "
"DOTA_Tooltip_ability_razor_1_reduce_duration" "Slow Duration: "
"DOTA_Tooltip_ability_razor_1_Lore" "-Static Field can only damage affected units once."
"DOTA_Tooltip_modifier_razor_1_debuff"						"Lightning Bolt"
"DOTA_Tooltip_modifier_razor_1_debuff_Description"			"Being weakened by Lightning Bolt."
"DOTA_Tooltip_ability_razor_2" "Static Link"
"DOTA_Tooltip_ability_razor_2_Description" "Creates a charged link between Razor and an enemy unit, stealing magic damage from the target and giving it to Thunder Rumbler. Lightning Bolt may proc during the link duration."
"DOTA_Tooltip_ability_razor_2_attack_per_sec" "Magic Damage Stolen per Second: "
"DOTA_Tooltip_ability_razor_2_duration" "Link Duration: "
"DOTA_Tooltip_ability_razor_2_chance" "%Proc chance: "
"DOTA_Tooltip_ability_razor_2_Lore" "-Static Link keeps stealing damage even if the target's magic damage has reached 0."
"DOTA_Tooltip_modifier_razor_2_buff"						"Static Link"
"DOTA_Tooltip_modifier_razor_2_buff_Description"			"Stealing magic damage."
"DOTA_Tooltip_modifier_razor_2_debuff"						"Static Link"
"DOTA_Tooltip_modifier_razor_2_debuff_Description"			"Losing magic damage."
"DOTA_Tooltip_ability_razor_3" "Eye of the Storm"
"DOTA_Tooltip_ability_razor_3_Description" "A powerful lightning storm strikes out at enemy units, dealing damage and reducing their magic armor. Each strike has a chance of casting an extra Lightning Bolt."
"DOTA_Tooltip_ability_razor_3_interval" "Strike Interval: "
"DOTA_Tooltip_ability_razor_3_radius" "Radius: "
"DOTA_Tooltip_ability_razor_3_magical2magical" "%Strike damage: Magical Attack*"
"DOTA_Tooltip_ability_razor_3_armor_reduce" "Magic armor Reduction: "
"DOTA_Tooltip_ability_razor_3_reduce_duration" "Reduction duration: "
"DOTA_Tooltip_ability_razor_3_chance" "%Proc chance: "
"DOTA_Tooltip_ability_razor_3_Lore" "-Magic armor reduction may stack to 20."
"DOTA_Tooltip_modifier_razor_3_debuff"						"Eye of the Storm"
"DOTA_Tooltip_modifier_razor_3_debuff_Description"			"Magic armor reduced."


//Beatrix
"DOTA_Tooltip_ability_snapfire_1" 							"Scatterblast"
"DOTA_Tooltip_ability_snapfire_1_Description" 				"Beatrix unloads with a wide blast that damages enemies in a cone."
"DOTA_Tooltip_ability_snapfire_1_bullet" 					"Bullets count: "
"DOTA_Tooltip_ability_snapfire_1_physical2physical" 		"%Damage of each bullet: "
"DOTA_Tooltip_ability_snapfire_2" 							"Beatrix's Cookie"
"DOTA_Tooltip_ability_snapfire_2_Description" 				"Beatrix feeds a potent cookie to Mortimer, causing it to hop a short distance and heal itself, and stuns and damage enemies in the landing zone. Beatrix grants crit damage in the next %abilityduration% seconds."
"DOTA_Tooltip_ability_snapfire_2_physical2magical" 			"%Impact damage: Physical*"
"DOTA_Tooltip_ability_snapfire_2_impact_radius" 	        "Radius: "
"DOTA_Tooltip_ability_snapfire_2_impact_stun_duration" 	    "Stun Duration: "
"DOTA_Tooltip_ability_snapfire_2_crit_mult" 				"%Critical damage: "
"DOTA_Tooltip_ability_snapfire_2_health_instant" 	        "%Heal：Physical Damage*"
"DOTA_Tooltip_ability_snapfire_2_Lore" 						"-Mortimer's fav!"
"DOTA_Tooltip_modifier_snapfire_2_crit"						"Beatrix's Cookie"
"DOTA_Tooltip_modifier_snapfire_2_crit_Description"			"All attacks deals critical daamge."
"DOTA_Tooltip_ability_snapfire_3" 							"Lil' Shredder"
"DOTA_Tooltip_ability_snapfire_3_Description" 				"Beatrix heats up her mounted cannon to attack rapidly in a larger range. The cannon goes into cooling after overheating."
"DOTA_Tooltip_ability_snapfire_3_bonus_attackspeed" 		"Bonus attack speed: "
"DOTA_Tooltip_ability_snapfire_3_bonus_attackrange" 		"Bonus attack range: "
"DOTA_Tooltip_ability_snapfire_3_heat_per_attack" 			"Heat rise from each shot: "
"DOTA_Tooltip_ability_snapfire_3_max_heat" 					"Overheating threshold: "
"DOTA_Tooltip_modifier_snapfire_3"							"Lil' Shredder"
"DOTA_Tooltip_modifier_snapfire_3_Description"				"Beatrix's cannon needs a rest."

//Techies
"DOTA_Tooltip_ability_techies_1" "Proximity Mines"
"DOTA_Tooltip_ability_techies_1_Description" "Techies dig a tunnel and plant mines under enemies, which explose %delay% seconds after being triggered. The tunnel collapses upon the explosion and slows the enemy units affected."
"DOTA_Tooltip_ability_techies_1_mine_count" "Mine count: "
"DOTA_Tooltip_ability_techies_1_physical2physical" "%Explosion damage: Physical Attack*"
"DOTA_Tooltip_ability_techies_1_radius" "Explosion radius: "
"DOTA_Tooltip_ability_techies_1_movespeed_reduce" "%Collapse slow: "
"DOTA_Tooltip_ability_techies_1_abilityduration" "Collapse duration: "
"DOTA_Tooltip_ability_techies_2" "Sticky Tar"
"DOTA_Tooltip_ability_techies_2_Description" "Techies left tar in the tunnel that ignites the enemies affected by the explosion. \n<h1>Ignite</h1> Ignite deal 30 magical damage per stack per second."
"DOTA_Tooltip_ability_techies_2_ignite_count" "Ignite stacks per second: "
"DOTA_Tooltip_ability_techies_2_abilityduration" "Ignite duration: "
"DOTA_Tooltip_ability_techies_3" "Burrowstrike"
"DOTA_Tooltip_ability_techies_3_Description" "Techies burrows into the ground and tunnels forward, damaging and stunning enemy units above him as he resurfaces."
//"DOTA_Tooltip_ability_techies_3_Lore" "Tunnel master is here!"
"DOTA_Tooltip_ability_techies_3_physical2physical" "%Damage: Physical Attack*"
"DOTA_Tooltip_ability_techies_3_stun_duration" "Stun duration: "

//Sniper
"DOTA_Tooltip_ability_sniper_1" "Take Aim"
"DOTA_Tooltip_ability_sniper_1_Description" 		"Sniper grants a chance of dealing extra damage while attacting targets %distance% away."
"DOTA_Tooltip_ability_sniper_1_chance" 				"%Chance: "
"DOTA_Tooltip_ability_sniper_1_bonus_damage" 	    "%Bonus damage: Physical Attack*"
"DOTA_Tooltip_ability_sniper_2" "Camouflage"
"DOTA_Tooltip_ability_sniper_2_Description" "Sniper becomes invisible, and loading his specialized ammo in place, and shows up by firing a powerful bullet to the closest enemy unit. This bullet deals additional damage and knockback based on Sniper's attack damage and how far away the target is. Sniper grants temporarily attack speed afterwards."
"DOTA_Tooltip_ability_sniper_2_knockback_distance" "Max knockback distance: "
"DOTA_Tooltip_ability_sniper_2_damage_per_distance" "%Damage factor per 10 range: "
"DOTA_Tooltip_ability_sniper_2_bonus_attackspeed" "Bonus attack speed: "
"DOTA_Tooltip_ability_sniper_2_duration" "Bonus duration: "
"DOTA_Tooltip_ability_sniper_2_AbilityDuration" "Invisible Duration:"
"DOTA_Tooltip_ability_sniper_3" "Lucky Shot"
"DOTA_Tooltip_ability_sniper_3_Description" "Fires an penetrator ammo that deals critical damage, bouncing between enemies. Each enemy killed by the bullet grants it with an extra bounce.<br><br>Lucky Shot can trigger Take Aim"
"DOTA_Tooltip_ability_sniper_3_critical_damage" "%Criical damage: "
"DOTA_Tooltip_ability_sniper_3_jump_count" "Bounces: "
"DOTA_Tooltip_ability_sniper_3_radius" "Bounce range: "

//Earth
//
"DOTA_Tooltip_ability_brewmaster_earthspirit_1" "Jade Smash"
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_Description" "The affinity of jade grants Earth a chance to toss a jade boulder to his target while attacking. The jade boulder deals damage in the area it lands, while the targets in the center takes extra damage with slowed speed."
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_radius" "Radius: "
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_physical2physical" "%Damage: Physical*"
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_center_radius" "Center Radius: "
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_center_damage" "%Extra damage: *"
"DOTA_Tooltip_ability_brewmaster_earthspirit_1_movespeed_reduce" "%Move Speed Slow: "
//"DOTA_Tooltip_ability_brewmaster_earthspirit_1_Lore" "-Boulder's damage is 1.5th of attack damage."
"DOTA_Tooltip_modifier_brewmaster_earthspirit_1_debuff" "Jade smash slow"
"DOTA_Tooltip_modifier_brewmaster_earthspirit_1_debuff_Description" "Slowed by %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_ability_brewmaster_earthspirit_2" "Resonance of Rock"
"DOTA_Tooltip_ability_brewmaster_earthspirit_2_Description" "Earth resonates with the land beneath, and grants all his allies with bonus armor provided by rock."
"DOTA_Tooltip_ability_brewmaster_earthspirit_2_armor_pct" "%Bonus Armor: Physical*"
// "DOTA_Tooltip_ability_brewmaster_earthspirit_2_radius" "Radius: "
"DOTA_Tooltip_modifier_brewmaster_earthspirit_2_buff" "Resonance of Rock"
"DOTA_Tooltip_modifier_brewmaster_earthspirit_2_buff_Description" "Blessing from Earth<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Physical armor <br>+ %dMODIFIER_PROPERTY_TOOLTIP% Magic armor"
"DOTA_Tooltip_ability_brewmaster_earthspirit_3" "Resonance of Sand"
"DOTA_Tooltip_ability_brewmaster_earthspirit_3_Description" "By resonating with the sand, Earth stuns enemies with Jade Smash now, while all his allies gained extra Mana Regen."
"DOTA_Tooltip_ability_brewmaster_earthspirit_3_mana_regen_bonus" "Extra Mana Regen: "
"DOTA_Tooltip_ability_brewmaster_earthspirit_3_stun_duration" "Stun Duration: "
"DOTA_Tooltip_modifier_brewmaster_earthspirit_3" "Resonance of Sand"
"DOTA_Tooltip_modifier_brewmaster_earthspirit_3_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP% Mana Regen"

//Fire
//
"DOTA_Tooltip_ability_brewmaster_firespirit_1" "Firestorm"
"DOTA_Tooltip_ability_brewmaster_firespirit_1_Description" "Calls down waves of fire that ignite enemy units in the target area, burning for additional damage over time. \n<h1>Ignite</h1> Ignite deal 30 magical damage per stack per second"
"DOTA_Tooltip_ability_brewmaster_firespirit_1_magical2magical" "%Burning damage: Magical*"
"DOTA_Tooltip_ability_brewmaster_firespirit_1_radius" "Radius: "
"DOTA_Tooltip_ability_brewmaster_firespirit_1_abilityduration" "Burn Duration: "
"DOTA_Tooltip_ability_brewmaster_firespirit_1_ignite_count"     "Ignite stack per second:"
"DOTA_Tooltip_ability_brewmaster_firespirit_1_ignite_duration"  "Ignite Duration:"
"DOTA_Tooltip_ability_brewmaster_firespirit_2" "Blessing of Flame"
"DOTA_Tooltip_ability_brewmaster_firespirit_2_Description" "Fire surrounds himself with a ring of flames that deals damage around, which stuns affected enemy units during Firestorm."
"DOTA_Tooltip_ability_brewmaster_firespirit_2_magical2magical" "%Burning damage: Magical*"
"DOTA_Tooltip_ability_brewmaster_firespirit_2_radius" "Radius: "
"DOTA_Tooltip_ability_brewmaster_firespirit_2_stun_duration" "Stun Duration: "
"DOTA_Tooltip_modifier_brewmaster_firespirit_2_buff" "Blessing of Flame"
"DOTA_Tooltip_modifier_brewmaster_firespirit_2_buff_Description" "Taking %dMODIFIER_PROPERTY_TOOLTIP% damage per %dMODIFIER_PROPERTY_TOOLTIP% seconds from Blessing of Flame."
"DOTA_Tooltip_ability_brewmaster_firespirit_3" "Resonance of Flame"
"DOTA_Tooltip_ability_brewmaster_firespirit_3_Description" "Fire resonates with flame, and grants the spells he casts the ability of reducing affected enemies' armor and magic armor.<br>Passively increases allies' Mana Regen."
"DOTA_Tooltip_ability_brewmaster_firespirit_3_mana_regen_bonus" "Extra Mana Regen: "
"DOTA_Tooltip_ability_brewmaster_firespirit_3_armor_reduce_pct" "%Physical and Magic armor Reduction: "
"DOTA_Tooltip_modifier_brewmaster_firespirit_3" "Resonance of Flame"
"DOTA_Tooltip_modifier_brewmaster_firespirit_3_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP% Mana Regen"
"DOTA_Tooltip_modifier_brewmaster_firespirit_3_debuff" "Resonance of Flame"
"DOTA_Tooltip_modifier_brewmaster_firespirit_3_debuff_Description" "- %dMODIFIER_PROPERTY_TOOLTIP% Physical armor <br>- %dMODIFIER_PROPERTY_TOOLTIP%%% Magic armor"

//Air
"DOTA_Tooltip_ability_brewmaster_windspirit_1" "Tornado Walk"
"DOTA_Tooltip_ability_brewmaster_windspirit_1_Description" "Unleashes a tornado that picks up enemy units in its center, dealing damage over time."
"DOTA_Tooltip_ability_brewmaster_windspirit_1_magical2magical" "%Damage: Magical*"
"DOTA_Tooltip_ability_brewmaster_windspirit_1_abilityduration" "Tornado duration: "
"DOTA_Tooltip_ability_brewmaster_windspirit_1_distance" "Distance: "
"DOTA_Tooltip_ability_brewmaster_windspirit_2" "Cyclone"
"DOTA_Tooltip_ability_brewmaster_windspirit_2_Description" "Air magically splits his shot into %attack_split% Cyclone waves, which slows affected enemies for %abilityduration% seconds."
"DOTA_Tooltip_ability_brewmaster_windspirit_2_movespeed_reduce" "%Move Speed Slow: "
"DOTA_Tooltip_ability_brewmaster_windspirit_3" "Resonance of Wind"
"DOTA_Tooltip_ability_brewmaster_windspirit_3_Description" "Air resonates with wind, increasing all his allies' attack speed when he casts Tornado Walk. <br>Passively increases allies' Mana Regen."
"DOTA_Tooltip_ability_brewmaster_windspirit_3_mana_regen_bonus" "Extra Mana Regen: "
"DOTA_Tooltip_ability_brewmaster_windspirit_3_bonus_attackspeed" "Bonus Attack Speed: "
"DOTA_Tooltip_ability_brewmaster_windspirit_3_abilityduration" "Duration: "
"DOTA_Tooltip_modifier_brewmaster_windspirit_3" "Resonance of Wind"
"DOTA_Tooltip_modifier_brewmaster_windspirit_3_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP% Mana Regen"
"DOTA_Tooltip_modifier_brewmaster_windspirit_3_buff" "Resonance of Wind"
"DOTA_Tooltip_modifier_brewmaster_windspirit_3_buff_Description" "Attack speed increased by %dMODIFIER_PROPERTY_TOOLTIP%."

//Ogre Magi
"DOTA_Tooltip_ability_ogre_magi_1" "Twice the Wistom"
"DOTA_Tooltip_ability_ogre_magi_1_Description" "Ogre Magi's attack damage randoms between Physical and Magical. Repeating attacks with the same damage type will cause an explosion of the same type."
"DOTA_Tooltip_ability_ogre_magi_1_physical2physical" "%Physical Explosion Damage Type: Physical*"
"DOTA_Tooltip_ability_ogre_magi_1_magical2magical" "%Magical Explosion Damage Type: Magical*"
"DOTA_Tooltip_ability_ogre_magi_1_damage_deepen_pct" "%Bonus damage each time:"
"DOTA_Tooltip_ability_ogre_magi_1_radius" "Radius: "
//"DOTA_Tooltip_ability_ogre_magi_1_Lore" "-Increases the explosion damage if it continues."
"DOTA_Tooltip_ability_ogre_magi_2" "Overbearing Sophistry"
"DOTA_Tooltip_ability_ogre_magi_2_Description" "Grants either one of Ogre Magi's head the power of determine the next several attacks."
"DOTA_Tooltip_ability_ogre_magi_2_attack_count" "Attack counts: "
"DOTA_Tooltip_ability_ogre_magi_2_Lore" "-Ogres' Rule #1: Words speak louder than actions!"
"DOTA_Tooltip_modifier_ogre_magi_2_buff"						"Overbearing Sophistry"
"DOTA_Tooltip_modifier_ogre_magi_2_buff_Description"			"Procs the same damage type in the next several attacks."
"DOTA_Tooltip_ability_ogre_magi_3" "Garrulous"
"DOTA_Tooltip_ability_ogre_magi_3_Description" "Garrulous Ogre Magi triggers his allies. Pissed allies deals more physical and magical damage."
"DOTA_Tooltip_ability_ogre_magi_3_bonus_physical_attack" "%Basic physical attack increase: Physical Attack*"
"DOTA_Tooltip_ability_ogre_magi_3_extra_bonus_physical_attack" "%Bonus physical attack increase: Physical Attack*"
"DOTA_Tooltip_ability_ogre_magi_3_bonus_magical_attack" "%Basic magical attack increase: Magical Attack*"
"DOTA_Tooltip_ability_ogre_magi_3_extra_bonus_magical_attack" "%Bonus magical attack increase: Magical Attack*"
"DOTA_Tooltip_modifier_ogre_magi_3_buff" "Garrulous"
"DOTA_Tooltip_modifier_ogre_magi_3_buff_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP%%% Physical Damage (%dMODIFIER_PROPERTY_TOOLTIP%)<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%% 魔法攻击力 (%dMODIFIER_PROPERTY_TOOLTIP%)"

//Ogre Bruiser
"DOTA_Tooltip_ability_ogre_med_1" "Mace Strike"
