// 大法师
"cmd_beginner" 		                                            "Archmage"
"DOTA_Tooltip_ability_cmd_tinker_4" 				            "Multi-Missile"
"DOTA_Tooltip_ability_cmd_tinker_4_Description" 	            "Launch extra %number% missiles when using a spell card"
"DOTA_Tooltip_ability_cmd_tinker_5" 				            "Genius"
"DOTA_Tooltip_ability_cmd_tinker_5_Description" 	            "【Techie】and【Warframe】regenerate %mana_regen% mana after using 3 active skills"
"DOTA_Tooltip_ability_cmd_tinker_6" 				            "Discount"
"DOTA_Tooltip_ability_cmd_tinker_6_Description" 	            "Reduce %golds_reduce% gold when continous recruit in one round"
"DOTA_Tooltip_modifier_cmd_tinker_4_missles" 				    "Multi-Missile"
"DOTA_Tooltip_modifier_cmd_tinker_4_missles_Description" 	    "Launch %dMODIFIER_PROPERTY_TOOLTIP% missiles in next attack"
"DOTA_Tooltip_modifier_cmd_tinker_0"                            "Missile"
"DOTA_Tooltip_modifier_cmd_tinker_0_Description"                "Base attack deals area damage"
"DOTA_Tooltip_cmd_tinker_5_buff" 				                "Genius"
"DOTA_Tooltip_cmd_tinker_5_buff_Description" 	                "Regenerate %dMODIFIER_PROPERTY_TOOLTIP% mana after using 3 active skills"


// 秘岛守护者
"cmd_fur" 		                                                "Lostland Guardian"
"DOTA_Tooltip_ability_cmd_fur_1" 				                "Wood Armor"
"DOTA_Tooltip_ability_cmd_fur_1_Description" 	                "All units increase %armor_bonus% armor"
"DOTA_Tooltip_ability_cmd_fur_2" 				                "Entangling Roots"
"DOTA_Tooltip_ability_cmd_fur_2_Description" 	                "Root %count% enemies randomly, anchoring them in place and dealing damage equal to %damage_pct%%% attack per second"
"DOTA_Tooltip_ability_cmd_fur_2_abilityduration"                "Duration:"
"DOTA_Tooltip_ability_cmd_fur_3" 				                "Last Guardian"
"DOTA_Tooltip_ability_cmd_fur_3_Description" 	                "Get %count% spell card 【Guardian Tower】 at start of the game"
"DOTA_Tooltip_ability_cmd_fur_4" 				                "Heart of oak"
"DOTA_Tooltip_ability_cmd_fur_4_Description" 	                "All units increase %health_regen%%% health regen"
"DOTA_Tooltip_modifier_cmd_fur_1_buff" 				            "Wood Armor"
"DOTA_Tooltip_modifier_cmd_fur_1_buff_Description" 	            "+ %dMODIFIER_PROPERTY_TOOLTIP% armor"
"DOTA_Tooltip_modifier_cmd_fur_4" 				                "Heart of oak"
"DOTA_Tooltip_modifier_cmd_fur_4_Description" 	                "+ %dMODIFIER_PROPERTY_TOOLTIP% health regen"
"DOTA_Tooltip_modifier_cmd_fur_1" 				                "Wood Armor"
"DOTA_Tooltip_modifier_cmd_fur_1_Description" 	                "All units got armor bonus"
"DOTA_Tooltip_modifier_cmd_fur_4_buff" 				            "Heart of oak"
"DOTA_Tooltip_modifier_cmd_fur_4_buff_Description" 	            "+ %dMODIFIER_PROPERTY_TOOLTIP% health regen"

// 星辰之女
"cmd_enchantress" 		                                        "Lady of Stars"
"DOTA_Tooltip_ability_cmd_enchantress_2" 				        "Hunter Instinct"
"DOTA_Tooltip_ability_cmd_enchantress_2_Description" 	        "All range units gain %attack_range_bonus% attack range. Lady of Stars increase %atkbonuspct%%% damage per %distance% range away from enemy"
"DOTA_Tooltip_modifier_cmd_enchantress_2_buff"				    "Hunter Instinct"
"DOTA_Tooltip_modifier_cmd_enchantress_2_buff_Description"	    "+ %dMODIFIER_PROPERTY_TOOLTIP% attack range"
"DOTA_Tooltip_ability_cmd_enchantress_1" 				        "Gift from forest"
"DOTA_Tooltip_ability_cmd_enchantress_1_Description" 	        "Gain %gold% gold every %interval% second left when round end"

// 蛮荒战将
"cmd_troll" 		                                            "Troll Warlord"
"DOTA_Tooltip_ability_cmd_troll_1" 				                "Fervor"
"DOTA_Tooltip_ability_cmd_troll_1_Description" 	                "All units increase %attack_speed_bonus% attack speed"
"DOTA_Tooltip_ability_cmd_troll_2" 				                "Ranged axe"
"DOTA_Tooltip_ability_cmd_troll_2_Description" 	                "Troll Warlord hurls its axe every %attack_count% base attack, dealing damage equal to %damage_factor%%% attack.Troll Warlord gains %atkspd_bonus% attack speed if the axe hits his own units."
"DOTA_Tooltip_modifier_cmd_troll_1_buff" 				        "Fervor"
"DOTA_Tooltip_modifier_cmd_troll_1_buff_Description" 	        "+ %dMODIFIER_PROPERTY_TOOLTIP% attack speed"
"DOTA_Tooltip_modifier_cmd_troll_2_buff"				        "Ranged axe"
"DOTA_Tooltip_modifier_cmd_troll_2_buff_Description"	        "+ %dMODIFIER_PROPERTY_TOOLTIP% attack speed"

// 浩劫之龙
"cmd_dragon" 		                                            "Disaster Dragon"
"DOTA_Tooltip_ability_cmd_dragon_1" 				            "Dragon Blood"
"DOTA_Tooltip_ability_cmd_dragon_1_Description" 	            "All units increase %status_health_pct%%% max health"
"DOTA_Tooltip_ability_cmd_dragon_2" 				            "Dragon Form"
"DOTA_Tooltip_ability_cmd_dragon_2_Description" 	            "Commander will be transform to dragon if health percentage is larger than %health_threhold%%%, range attack deals area damage ,slow enemy and increase %atk_bonus%%% attack until round end"
"DOTA_Tooltip_modifier_cmd_dragon_1_buff"				        "Dragon Blood"
"DOTA_Tooltip_modifier_cmd_dragon_1_buff_Description"	        "+ %dMODIFIER_PROPERTY_TOOLTIP%%% max health"
"DOTA_Tooltip_modifier_cmd_dragon_2_buff"				        "Dragon Form"
"DOTA_Tooltip_modifier_cmd_dragon_2_buff_Description"	        "Transform commander to dragon and gain Frost Breath"

// 绝境武士
"cmd_huskar" 		                                            "Desperate Warrior"
"DOTA_Tooltip_ability_cmd_huskar_1" 				            "Blood Money"
"DOTA_Tooltip_ability_cmd_huskar_1_Description" 	            "Every unit who die during battle provides %number% gold in the round end"
"DOTA_Tooltip_ability_cmd_huskar_2" 				            "Fight until last breath"
"DOTA_Tooltip_ability_cmd_huskar_2_Description" 	            "Everytime a hero die, remain heroes increase  %number%%% attack until round end."
"DOTA_Tooltip_ability_cmd_huskar_3" 				            "Endurance"
"DOTA_Tooltip_ability_cmd_huskar_3_Description" 	            "Get %number% spell card 【Endurance】 at the start of game."
"DOTA_Tooltip_ability_cmd_huskar_4" 				            "Regeneration"
"DOTA_Tooltip_ability_cmd_huskar_4_Description" 	            "Every %trigger_count% spell cards used, heals all unit %number%%% max health"
"DOTA_Tooltip_ability_cmd_huskar_5" 				            "Bellicosity"
"DOTA_Tooltip_ability_cmd_huskar_5_Description" 	            "【Warrior】and【Knight】increase %number%%% max health"
"DOTA_Tooltip_ability_cmd_huskar_6" 				            "Berserker"
"DOTA_Tooltip_ability_cmd_huskar_6_Description" 	            "Gain %number% crystal every heroes dead in round end"
"DOTA_Tooltip_ability_cmd_huskar_7" 				            "Avenger"
"DOTA_Tooltip_ability_cmd_huskar_7_Description" 	            "Unlock Artifact 【Avenger】"
"DOTA_Tooltip_modifier_cmd_huskar_2_buff" 				        "Fight until last breath"
"DOTA_Tooltip_modifier_cmd_huskar_2_buff_Description" 	        "+ %dMODIFIER_PROPERTY_TOOLTIP%%% attack"
"DOTA_Tooltip_modifier_cmd_huskar_5_buff" 				        "Bellicosity"
"DOTA_Tooltip_modifier_cmd_huskar_5_buff_Description" 	        "+ %dMODIFIER_PROPERTY_TOOLTIP%%% max health"



// 修理大师
"cmd_rattletrap" 		                                        "Master Repair"
"DOTA_Tooltip_ability_cmd_rattletrap_1" 				        "Recycle"
"DOTA_Tooltip_ability_cmd_rattletrap_1_Description" 	        "Crystals required reduce %pct%%% while reforging items"
"DOTA_Tooltip_ability_cmd_rattletrap_2" 				        "Minefield"
"DOTA_Tooltip_ability_cmd_rattletrap_2_Description" 	        "Place %count% mines in battlefield of ALL players while preparation, and damage of 【Mining】 is increase as Master Repair attack %damage_pct%%"
"DOTA_Tooltip_ability_cmd_rattletrap_3" 				        "Ex Machine"
"DOTA_Tooltip_ability_cmd_rattletrap_3_Description" 	        "Give own heroes ability to repair itself after death in %chance%%% chance, the hero revive after %repair_time% second repair"
"DOTA_Tooltip_ability_cmd_rattletrap_4" 				        "Remote Missile"
"DOTA_Tooltip_ability_cmd_rattletrap_4_Description" 	        "Master Repair launch %count% missiles to every battlefield at the beginning of Round, dealing %attack_pct%%% attack damage and %stun_duration% second stun in %radius%%% range"
"DOTA_Tooltip_ability_cmd_rattletrap_5" 				        "Quench"
"DOTA_Tooltip_ability_cmd_rattletrap_5_Description" 	        "Increase %pct%%% chance to rank item up while reforging for ALL players"
"DOTA_Tooltip_ability_cmd_rattletrap_6" 				        "Ace Maintenance"
"DOTA_Tooltip_ability_cmd_rattletrap_6_Description" 	        "【Techie】require one less to actived"
"DOTA_Tooltip_modifier_cmd_rattletrap_5_buff"                   "Quench"
"DOTA_Tooltip_modifier_cmd_rattletrap_5_buff_Description"       "+ %dMODIFIER_PROPERTY_TOOLTIP%%% item ranked up"

// 剑圣
"cmd_juggernaut"                                                "Sword of Obliterate"
"DOTA_Tooltip_ability_cmd_juggernaut_1" 				        "Blade"
"DOTA_Tooltip_ability_cmd_juggernaut_1_Description" 	        "Strengthen %attack_bonus_pct%%% physical attack for own melee heroes and commander"
"DOTA_Tooltip_ability_cmd_juggernaut_2" 				        "Blade Fury"
"DOTA_Tooltip_ability_cmd_juggernaut_2_Description" 	        "Spell Blade Fury while enemies are more than %count% in %radius% range from Juggernaut, deal %attack_pct%%% attack damage per second to enemies for %duration% seconds"
"DOTA_Tooltip_ability_cmd_juggernaut_3" 				        "Kendo"
"DOTA_Tooltip_ability_cmd_juggernaut_3_Description" 	        "Recover %health_recover% health and %mana_recover% mana whenever heroes kill enemies"
"DOTA_Tooltip_ability_cmd_juggernaut_4" 				        "Blade Master"
"DOTA_Tooltip_ability_cmd_juggernaut_4_Description" 	        "Grant Juggernaut and melee heroes ability to attack once more in %chance%%% chance"
"DOTA_Tooltip_ability_cmd_juggernaut_5" 				        "Ward"
"DOTA_Tooltip_ability_cmd_juggernaut_5_Description" 	        "Grant Juggernaut and melee heroes the ability to ward attacks in %chance%%% chance, success ward bonus the next attack %damage_pct%%%"
"DOTA_Tooltip_ability_cmd_juggernaut_6" 				        "Butcher"
"DOTA_Tooltip_ability_cmd_juggernaut_6_Description" 	        "Grant Juggernaut and melee heroes ability to kill the enemy with less than %hp_pct%%% health instantly in %chance%%% chance"
"DOTA_Tooltip_ability_cmd_juggernaut_7" 				        "Deadly quiet"
"DOTA_Tooltip_ability_cmd_juggernaut_7_Description" 	        "While full health, heroes gain %count% layers refraction. %cd% seconds for cooldown beginning from refraction disappears"
"DOTA_Tooltip_ability_cmd_juggernaut_8" 				        "Steady Spirit"
"DOTA_Tooltip_ability_cmd_juggernaut_8_Description" 	        "Strengthen %pct%%% damage for heroes taking no damage during %period% seconds"
"DOTA_Tooltip_modifier_cmd_juggernaut_1_buff"                   "Blade"
"DOTA_Tooltip_modifier_cmd_juggernaut_1_buff_Description"       "+ %dMODIFIER_PROPERTY_TOOLTIP%%% physical attack"
"DOTA_Tooltip_modifier_cmd_juggernaut_3_buff"                   "Kendo"
"DOTA_Tooltip_modifier_cmd_juggernaut_3_buff_Description"       "Recover health and mana whenever heroes kill enemies"
"DOTA_Tooltip_modifier_cmd_juggernaut_4_buff"                   "Blade Master"
"DOTA_Tooltip_modifier_cmd_juggernaut_4_buff_Description"       "%dMODIFIER_PROPERTY_TOOLTIP%%% chance to attack once more"
"DOTA_Tooltip_modifier_cmd_juggernaut_5_damage"                 "Ward"
"DOTA_Tooltip_modifier_cmd_juggernaut_5_damage_Description"     "Strengthen damage in next attack"
"DOTA_Tooltip_modifier_cmd_juggernaut_6_buff"                   "Butcher"
"DOTA_Tooltip_modifier_cmd_juggernaut_6_buff_Description"       "%dMODIFIER_PROPERTY_TOOLTIP%%% chance to kill the enemy with less than %dMODIFIER_PROPERTY_TOOLTIP2%%% health instantly"
"DOTA_Tooltip_modifier_cmd_juggernaut_7_buff"                   "Deadly quiet"
"DOTA_Tooltip_modifier_cmd_juggernaut_7_buff_Description"       "Absorbs %dMODIFIER_PROPERTY_TOOLTIP% times damage"
"DOTA_Tooltip_modifier_cmd_juggernaut_8_buff"                   "Steady Spirit"
"DOTA_Tooltip_modifier_cmd_juggernaut_8_buff_Description"       "+ %dMODIFIER_PROPERTY_TOOLTIP%%% damage"


// 践踏者
"cmd_centaur"                                                   "Centaur"  
"DOTA_Tooltip_ability_cmd_centaur_1" 				            "Hoof Stomp"
"DOTA_Tooltip_ability_cmd_centaur_1_Description" 	            "Slams the ground, deal %duration% second stun and %attack_pct%%% attack damage to ALL battlefields, invalid for BOSS round"
"DOTA_Tooltip_ability_cmd_centaur_2" 				            "Retaliate"
"DOTA_Tooltip_ability_cmd_centaur_2_Description" 	            "Units of ALL players deal damage back to the attacker, equals to %max_hp_pct%%% max health of Centaur"
"DOTA_Tooltip_modifier_cmd_centaur_2_buff"                      "Retaliate"
"DOTA_Tooltip_modifier_cmd_centaur_2_buff_Description"          "Deal damage back to the attacker"

// 精灵之心
"cmd_io"                                                        "Heart of elf"
"DOTA_Tooltip_ability_cmd_io_1" 				                "Tether"
"DOTA_Tooltip_ability_cmd_io_1_Description" 	                "Link commander with  the nearest hero, raise its all attributes and grant it Spirits"
"DOTA_Tooltip_ability_cmd_io_1_speed_up" 	        	        "Movespeed："
"DOTA_Tooltip_ability_cmd_io_1_hp_regen" 	        	        "%Health regen：max health*"
"DOTA_Tooltip_ability_cmd_io_1_mana_regen" 	        	        "Mana regen："
"DOTA_Tooltip_ability_cmd_io_2" 				                "Spirits"
"DOTA_Tooltip_ability_cmd_io_2_Description" 	                "Release %count% spirits per %period% seconds, spirits will explode when collide with an enemy. Explosure deals damage in %explode_radius% range, base damage equals to %pct%%% attack, increasing %bonus_pct%%% damage per %bonus_distance% range"
"DOTA_Tooltip_modifier_cmd_io_1_buff"                           "Tether"
"DOTA_Tooltip_modifier_cmd_io_1_buff_Description"               "Link with Heart of elf, gain extra attributes"   

// 腐朽先驱
"cmd_undying"                                                   "Undying"
"DOTA_Tooltip_ability_cmd_undying_1" 				            "Tombstone"
"DOTA_Tooltip_ability_cmd_undying_1_Description" 	            "Summon a zombie survive %duration% second from a dead enemy, zombies inherit %health_pct%%% max health and %attack_pct%%% attack of Undying"
"DOTA_Tooltip_ability_cmd_undying_2" 				            "Soul Rip"
"DOTA_Tooltip_ability_cmd_undying_2_Description" 	            "Heal units %max_hp_pct%%% max health of Undying for ALL players everytime Undying and its summons deal once damage"
