"lang"
{
	"Language"	"English"
	"Tokens"
	{
		"BOSS_1"	"Undead Knight"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_1_2"	"<font color='#a91ac8'>Earth Pulse Boots</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_attacked_hp_regen"	"+Restore HP from being attacked"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_1_3"	"<font color='#a91ac8'>Earth Pulse Helmet</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_2_1"	"<font color='#a91ac8'>Destroyed Demons Burst</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_1_Description"	"<h1>Passive: Low Energy Perception</h1>The mana cost of casting skills increases by +50%"
		"DOTA_Tooltip_ability_item_tz_4_2_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_1_bonus_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_4_2_2"	"<font color='#a91ac8'>Mana loss</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_2_Description"	"<h1>Passive: loss of mana</h1> 1% of its maximum mana per second"
		"DOTA_Tooltip_ability_item_tz_4_2_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_2_bonus_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_4_2_3"	"<font color='#a91ac8'>Mithril Essence Stone</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_3_Description"	"<h1>Passive: Magic Suppression</h1> Reduces the rate of mana regeneration by 100%"
		"DOTA_Tooltip_ability_item_tz_4_2_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_3_bonus_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_4_3_1"	"<font color='#a91ac8'>Sky Yellow Sand Top</font>"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_evasion"	"%+$evasion"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_3_2"	"<font color='#a91ac8'>Sky Yellow Sand Helmet</font>"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_3_3"	"<font color='#a91ac8'>Sky Yellow Sand Boots</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_1"	"<font color='#a91ac8'>Thunderstorm Necklace</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_crit"	"%+Magic Critical Chance"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_crit_damage"	"%+Magic Critical Damage"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_4_4_2"	"<font color='#a91ac8'>Thunderstorm Bracelet</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_evasion"	"%+$evasion"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_4_3"	"<font color='#a91ac8'>Thunderstorm Ring</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_4_5_1"	"<font color='#a91ac8'>Titan's Symbol</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_1_Description"	"<h1>Active: Titan supernatural power (set skill))</h1>Strength +50%% health +30000, attack power +200%%, armor +20, magic resistance +30%% movement speed -30%% Attack speed -100, each attack will cause 2*attack +5*strength physical damage to the target and 200 yards surrounding enemies for 30s"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_strength_percent"	"%+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_2"	"<font color='#a91ac8'>Titan’s Memories</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_crit"	"%+physical crit probability"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_3"	"<font color='#a91ac8'>Titan's Revival</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_crit_damage"	"%+Physical Crit Damage"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_6_1"	"<font color='#a91ac8'>Aquaman’s Pendant</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_1_Description"	"<h1>Passive: Power of the Trident</h1>50% of each attack will cause 3000 magic damage to the target"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_4_6_2"	"<font color='#a91ac8'>Aquaman’s Crown of Power</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_6_3"	"<font color='#a91ac8'>Aquaman’s Royal Wave God Pearl</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_3_Description"	"<h1>Passive: The coercion of the imperial wave god</h1> reduces the armor of surrounding targets by 10 points. Range: 900 yards"
		"DOTA_Tooltip_ability_item_tz_4_6_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_3_bonus_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_4_7_1"	"<font color='#a91ac8'>Ghost Top</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_1_Description"	"<h1>Passive: Recalling</h1>Each unit killed has a 5% chance to increase the chance of a ghost, and each point of ghost increases intelligence by 10 points (up to 50 points can be stored, and half of the ghost is dropped per death , The decimal point is rounded up)"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_2"	"<font color='#a91ac8'>Ghost Boots</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_2_Description"	"<h1>Active:</h1> Use to enter the ghost state, movement speed +30%, no attack, no physical damage, 50% increase in magic damage received, lasting 5S"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_3"	"<font color='#a91ac8'>Ghost Bracers</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_4_8_1"	"<font color='#a91ac8'>The End of Life</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_1_Description"	"<h1>Passive:</h1> Surrounding friendly hero units' main attributes +220, attack power +400, attack speed +40"
		"DOTA_Tooltip_ability_item_tz_4_8_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_8_2"	"<font color='#a91ac8'>The Heartache Farewell</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_2_Description"	"<h1>Passive:</h1> Allied units within 1500 yards have armor +10 points, magic resistance +15%%, critical strike chance +3%%, critical strike damage +20%%"
		"DOTA_Tooltip_ability_item_tz_4_8_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_8_3"	"<font color='#a91ac8'>The Loneliness of Life</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_3_Description"	"<h1>Passive:</h1> Skill damage of surrounding friendly units +20%, health regeneration +2000, mana regeneration +10"
		"DOTA_Tooltip_ability_item_tz_4_8_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_5_1_1"	"<font color='#fe6d15'>Burning Flame Necklace</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_crit"	"%+crit probability"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_mainbonus"	"+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_5_1_2"	"<font color='#fe6d15'>Burning Flame Bracelet</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_crit"	"%+crit probability"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_crit_damage"	"%+crit damage"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_mainbonus"	"+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_1_3"	"<font color='#fe6d15'>Burning Flame Ring</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_mainbonus"	"+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_5_2_1"	"<font color='#fe6d15'>Poison Dragon's Heart</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_1_Description"	"<h1>Passive: Corrosion</h1> Attack reduces the target's armor by 3 points, stacks up to 20 times for 5s"
		"DOTA_Tooltip_ability_item_tz_5_2_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_1_bonus_mainbonus_percent"	"%+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_2_2"	"<font color='#fe6d15'>Poison Dragon's Fang</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_2_bonus_mainbonus_percent"	"%+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_2_3"	"<font color='#fe6d15'>Poison Dragon's Inner Pill</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_3_Description"	"<h1>Passive: Snake Pill</h1> adds 100 points of primary attribute every minute, attacking the target will cause poison damage, and continue to cause 20000 magic damage to the target, the damage interval is 1s, and lasts for 5s"
		"DOTA_Tooltip_ability_item_tz_5_2_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_3_bonus_mainbonus_percent"	"%+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_3_1"	"<font color='#fe6d15'>Eternal Life Amulet</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_1_Description"	"<h1>Active: Myriad Glory (set skill)</h1> 1200 yards of friendly hero units around, skill level damage +2 for 10s"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_spell_level"	"+Spell level damage"
		"DOTA_Tooltip_ability_item_tz_5_3_2"	"<font color='#fe6d15'>Eternal Life Spellbook</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_cooldown"	"%+cooldown reduction"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_mainbonus"	"+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_spell_level"	"+spell level damage"
		"DOTA_Tooltip_ability_item_tz_5_3_3"	"<font color='#fe6d15'>Eternal Life Magic Stone</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_spell_level"	"+Spell level damage"
		"DOTA_Tooltip_ability_item_tz_5_4_1"	"<font color='#fe6d15'>Dark Enforcer Crown</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_1_Description"	"<h1>Active: Black Mist Hidden Track (Set Skill)</h1> Escape into the black mist, lose track, damage reduction 50%%, health regeneration +10%% for 3s, after the black mist disappears, attack Increased by 50%%, attack speed +50, movement speed +20%%, lasting 5S\n\n<h1>Passive: Hatred</h1> Each attack will cause an additional 200 points of physical damage to the target, stackable, maximum 15 floors. Lasts 5s"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_damage_percent"	"%+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_mainbonus"	"+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_4_2"	"<font color='#fe6d15'>Dark Enforcer Necklace</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_2_Description"	"<h1>Passive: Gore</h1> each attack increases its own attack speed by 3 points, lasts 3s, and stacks up to 15 layers"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_mainbonus"	"+Main attribute"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_5_4_3"	"<font color='#fe6d15'>Dark Enforcer Ring</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_3_Description"	"<h1>Passive: Rage</h1> Each attack increases its own attack power by 300 points, lasts 3s, and stacks up to 15 layers"
		"DOTA_Tooltip_ability_item_tz_5_4_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_3_bonus_mainbonus"	"+Main attribute"
		"DOTA_Tooltip_ability_ability_hero_1"	"Blessing"
		"DOTA_Tooltip_ability_ability_hero_1_Description"	"Special skills<br><font color=\"#d9534f\">Effect: Upon using, you can get random gold and have a chance to get random items.</font>"
		"DOTA_Tooltip_ability_ability_hero_1_Lore"	"The quality of money and props will increase as the wave number increases"
		"DOTA_Tooltip_ability_ability_hero_1_baseHeal"	"Basic Heal"
		"DOTA_Tooltip_ability_ability_hero_1_i"	"Healing Power Coefficient"
		"DOTA_Tooltip_ability_ability_hero_2"	"Jump"
		"DOTA_Tooltip_ability_ability_hero_2_Description"	"Jump to the target area as far as %max_distance% code<br><br><font color=\"#f0ad4e\">If the target point is near four shops (four beauties around the altar), Send it directly, regardless of distance</font>"
		"DOTA_Tooltip_ability_ability_hero_2_radius"	"Maximum Jump Distance"
		"DOTA_Tooltip_ability_anjiannanfang"	"Secret Arrow Traps"
		"DOTA_Tooltip_ability_aoshukuangxiang"	"Arcane Rhapsody"
		"DOTA_Tooltip_ability_aoshukuangxiang_Description"	"Cooldown reduction +50%"
		"DOTA_Tooltip_ability_aoshuzhuanjin"	"Arcane Specialization"
		"DOTA_Tooltip_ability_aoshuzhuanjin_Description"	"A hit will release a magic orb to attack a random unit nearby"
		"DOTA_Tooltip_ability_ascension_bulwark"	"Be cold-eyed"
		"DOTA_Tooltip_ability_ascension_bulwark_Description"	"The normal attack damage received from the front is reduced by 50%%, and the side is 25%%"
		"DOTA_Tooltip_ability_ascension_crit"	"Crit"
		"DOTA_Tooltip_ability_ascension_magic_immunity"	"Avatar"
		"DOTA_Tooltip_ability_ascension_magic_immunity_Description"	"Every period of time, the god possesses the body and is immune to magic damage"
		"DOTA_Tooltip_ability_bingzhishijie"	"The World of Ice"
		"DOTA_Tooltip_ability_bingzhishijie_Description"	"Every fifteen seconds, taking self as the center, delay 3S, instantaneously freeze local units within 2500 yards of the whole body, causing 2*attack magic damage, and freeze 3S\n"
		"DOTA_Tooltip_ability_boss_invoker_call_lua"	"Elemental Summon"
		"DOTA_Tooltip_ability_boss_invoker_call_lua_Description"	"Water, fire, thunder, and earth\n Initially, one random element among the four elements, two element sprites will appear, and two more element sprites will appear every 20s (regardless of whether the previous element sprites are dead or not)\n The HP is less than 75%, and among the remaining three elements, one random element will appear, and two element spirits will appear every 20s (regardless of whether the previous element spirits have died or not)\n the HP is low At 50%, among the remaining two elements, a random element appears, and two element spirits will appear every 20s (regardless of whether the previous element spirits have died or not)\n The blood volume is less than 25%, With the remaining elements, three element spirits will appear every 20 seconds (regardless of whether the previous element spirits have died or not)"
		"DOTA_Tooltip_ability_boss_invoker_end_lua"	"Arcane Rage"
		"DOTA_Tooltip_ability_boss_one_attack_passive_lua"	"Hammer"
		"DOTA_Tooltip_ability_boss_one_attack_passive_lua_Description"	"When the attack hits the target, there is a 15%% chance that it will cause 2.5 times physical damage to the target and stun the target for 1.5s"
		"DOTA_Tooltip_ability_boss_one_bloodfire_lua"	"Adversity counterattack"
		"DOTA_Tooltip_ability_boss_one_bloodfire_lua_Description"	"Adversity counterattack"
		"DOTA_Tooltip_ability_boss_one_storm_lua"	"The Hammer of Sanctions"
		"DOTA_Tooltip_ability_boss_phoenix_fire_lua"	"Phoenix Flame"
		"DOTA_Tooltip_ability_boss_phoenix_fireline_lua"	"A Thousand Miles of Red Flames"
		"DOTA_Tooltip_ability_boss_phoenix_firemana_lua"	"Phoenix Ray"
		"DOTA_Tooltip_ability_boss_phoenix_firetarget_lua"	"Flame Throw"
		"DOTA_Tooltip_ability_boss_phoenix_stone_lua"	"A meteorite falling from the sky"
		"DOTA_Tooltip_ability_boss_phoenix_turnegg_lua"	"Nirvana"
		"DOTA_Tooltip_ability_boss_shakeground_lua"	"Giant Slam"
		"DOTA_Tooltip_ability_boss_tiny_armor_lua"	"Rugged shell"
		"DOTA_Tooltip_ability_boss_tiny_attack_lua"	"Smash with a heavy hammer"
		"DOTA_Tooltip_ability_boss_tiny_bloodfire_lua"	"Runaway"
		"DOTA_Tooltip_ability_boss_tiny_jump_lua"	"Tarzan top pressure"
		"DOTA_Tooltip_ability_boss_tiny_throw_lua"	"Throw"
		"DOTA_Tooltip_ability_boss_tiny_yell_lua"	"Howl"
		"DOTA_Tooltip_ability_boss_two_attack_passive_lua"	"Critical Strike"
		"DOTA_Tooltip_ability_boss_two_attack_passive_lua_Description"	"Normal attacks have a 30% chance of causing 3 times critical damage"
		"DOTA_Tooltip_ability_boss_two_endaoe_lua"	"Isolated Assassination"
		"DOTA_Tooltip_ability_boss_two_endaoe_lua_Description"	"?????"
		"DOTA_Tooltip_ability_boss_two_evosion_passive_lua"	"Perfect Dodge"
		"DOTA_Tooltip_ability_boss_two_evosion_passive_lua_Description"	"Phantom Assassin's flexible posture can often help her avoid some fatal damage, %percent%% avoids this damage"
		"DOTA_Tooltip_ability_boss_two_flash_lua"	"Blink Strike"
