"lang"
{
	"Language"	"tchinese"
	"Tokens"
	{
		"BOSS_1"	"亡靈騎士"
		"DOTA_Tooltip_ability_item_tz_4_3_2"	"<font color='#a91ac8'>漫天黃沙頭盔</font>"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_3_3"	"<font color='#a91ac8'>漫天黃沙之靴</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_1"	"<font color='#a91ac8'>雷霆悸動項鍊</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_crit"	"%+魔法暴擊概率"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_crit_damage"	"%+魔法暴擊傷害"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_4_4_2"	"<font color='#a91ac8'>雷霆悸動手鐲</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_evasion"	"%+$evasion"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_4_3"	"<font color='#a91ac8'>雷霆悸動戒指</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_4_5_1"	"<font color='#a91ac8'>泰坦的象徵</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_1_Description"	"<h1>主動：泰坦神力(套裝技能))</h1>力量+50%%  生命值+30000  ，攻擊力+200%%，防禦+20，魔法抗性+30%%  移動速度-30%% 攻擊速度-100 ，每次攻擊都會目標及周圍200碼的敵人造成   2*攻擊力+5*力量的物理傷害    持續30s"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_strength_percent"	"%+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_2"	"<font color='#a91ac8'>泰坦的追憶</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_crit"	"%+物理暴擊概率"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_3"	"<font color='#a91ac8'>泰坦的歸寂</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_crit_damage"	"%+物理暴擊傷害"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_6_1"	"<font color='#a91ac8'>海王的掛墜</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_1_Description"	"<h1>被動：三叉戟之力</h1>每次攻擊有50%對目標造成3000點魔法傷害"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_4_6_2"	"<font color='#a91ac8'>海王的權禦皇冠</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_6_3"	"<font color='#a91ac8'>海王的禦浪神珠</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_3_Description"	"<h1>被動：禦浪神珠的威壓</h1>減少周圍目標10點護甲  作用範圍：900碼"
		"DOTA_Tooltip_ability_item_tz_4_6_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_3_bonus_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_4_7_1"	"<font color='#a91ac8'>幽魂上衣</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_1_Description"	"<h1>被動：招魂</h1>每擊殺一個單位有5%的概率增加一點幽魂，每點幽魂增加10點智力，（最多可儲存50點，每次死亡掉落一半幽魂，小數點向上取整）"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_2"	"<font color='#a91ac8'>幽魂之靴</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_2_Description"	"<h1>主動：</h1>使用進入幽魂狀態，移動速度+30%，不能攻擊，不受物理傷害，受到的魔法傷害增加50%，持續5S"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_3"	"<font color='#a91ac8'>幽魂護腕</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_4_8_1"	"<font color='#a91ac8'>生命的落幕</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_1_Description"	"<h1>被動：</h1>周圍友方英雄單位主屬性+220, 攻擊力+400, 攻擊速度+40"
		"DOTA_Tooltip_ability_item_tz_4_8_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_8_2"	"<font color='#a91ac8'>心痛的訣別</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_2_Description"	"<h1>被動：</h1>周圍1500碼內的友方單位護甲+10點，魔法抗性+15%%      暴擊概率+3%%，暴擊傷害+20%%"
		"DOTA_Tooltip_ability_item_tz_4_8_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_8_3"	"<font color='#a91ac8'>人生的寂寥</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_3_Description"	"<h1>被動：</h1>周圍友方單位的 技能傷害+20%    生命回復 +2000，魔法回復+10"
		"DOTA_Tooltip_ability_item_tz_4_8_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_5_1_1"	"<font color='#fe6d15'>火焰焚天項鍊</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_crit"	"%+暴擊概率"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_mainbonus"	"+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_5_1_2"	"<font color='#fe6d15'>火焰焚天手鐲</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_crit"	"%+暴擊概率"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_crit_damage"	"%+暴擊傷害"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_mainbonus"	"+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_1_3"	"<font color='#fe6d15'>火焰焚天戒指</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_mainbonus"	"+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_5_2_1"	"<font color='#fe6d15'>毒龍之心</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_1_Description"	"<h1>被動：腐蝕</h1>攻擊減少目標3點護甲，最多疊加20次,持續5s"
		"DOTA_Tooltip_ability_item_tz_5_2_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_1_bonus_mainbonus_percent"	"%+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_2_2"	"<font color='#fe6d15'>毒龍之牙</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_2_bonus_mainbonus_percent"	"%+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_2_3"	"<font color='#fe6d15'>毒龍內丹</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_3_Description"	"<h1>被動：蛇丹</h1>每分鐘增加100點主屬性，攻擊目標會造成毒素傷害，持續對目標造成20000點魔法傷害，傷害間隔1s，持續5s"
		"DOTA_Tooltip_ability_item_tz_5_2_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_3_bonus_mainbonus_percent"	"%+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_3_1"	"<font color='#fe6d15'>萬世生命符咒</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_1_Description"	"<h1>主動：萬世榮光（套裝技能）</h1> 周圍1200碼的友方英雄單位，技能等級傷害+2   持續10s"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_spell_level"	"+技能等級傷害"
		"DOTA_Tooltip_ability_item_tz_5_3_2"	"<font color='#fe6d15'>萬世生命魔法書</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_cooldown"	"%+冷卻縮減"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_mainbonus"	"+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_spell_level"	"+技能等級傷害"
		"DOTA_Tooltip_ability_item_tz_5_3_3"	"<font color='#fe6d15'>萬世生命魔法石</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_spell_level"	"+技能等級傷害"
		"DOTA_Tooltip_ability_item_tz_5_4_1"	"<font color='#fe6d15'>黑暗執行者之冠</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_1_Description"	"<h1>主動：黑霧藏蹤(套裝技能)</h1>遁入黑霧中，失去行蹤，傷害減免50%%  生命回復+10%%    持續3s，黑霧消失後，攻擊提升50%%，攻擊速度+50，移動速度+20%%，持續5S\n\n<h1>被動：嫉恨</h1>每次攻擊會對目標額外造成200點物理傷害，可疊加，最大15層。持續5s"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_damage_percent"	"%+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_mainbonus"	"+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_4_2"	"<font color='#fe6d15'>黑暗執行者項鍊</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_2_Description"	"<h1>被動：血腥</h1>每次攻擊增加自身3點攻速，持續3s，最多疊加15層"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_mainbonus"	"+主屬性"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_5_4_3"	"<font color='#fe6d15'>黑暗執行者戒指</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_3_Description"	"<h1>被動：肆虐</h1>每次攻擊增加自身300點攻擊力，持續3s，最多疊加15層"
		"DOTA_Tooltip_ability_item_tz_5_4_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_3_bonus_mainbonus"	"+主屬性"
		"DOTA_Tooltip_ability_ability_hero_1"	"祈福"
		"DOTA_Tooltip_ability_ability_hero_1_Description"	"特殊技能<br><font color=\"#d9534f\">效果：使用後，能獲得隨機金錢，並有概率獲得隨機道具</font>"
		"DOTA_Tooltip_ability_ability_hero_1_Lore"	"金錢和道具的品質都會隨著波數的增加而提高"
		"DOTA_Tooltip_ability_ability_hero_1_baseHeal"	"基礎治療"
		"DOTA_Tooltip_ability_ability_hero_1_i"	"治療力量係數"
		"DOTA_Tooltip_ability_ability_hero_2"	"跳躍"
		"DOTA_Tooltip_ability_ability_hero_2_Description"	"跳到目的地區域，最遠至%max_distance%碼<br><br><font color=\"#f0ad4e\">如果目標點在四個商店（祭壇四周的四個美女）附近，則直接傳送，無視距離</font>"
		"DOTA_Tooltip_ability_ability_hero_2_radius"	"最大跳躍距離"
		"DOTA_Tooltip_ability_anjiannanfang"	"暗箭難防"
		"DOTA_Tooltip_ability_aoshukuangxiang"	"奧術狂想"
		"DOTA_Tooltip_ability_aoshukuangxiang_Description"	"冷卻縮減 +50%"
		"DOTA_Tooltip_ability_aoshuzhuanjin"	"奧術專精"
		"DOTA_Tooltip_ability_aoshuzhuanjin_Description"	"攻擊命中會釋放一個法球，攻擊附近一個隨機單位"
		"DOTA_Tooltip_ability_ascension_bulwark"	"冷眼相待"
		"DOTA_Tooltip_ability_ascension_bulwark_Description"	"正面受到的普通攻擊傷害減少 50%%，側面25%%"
		"DOTA_Tooltip_ability_ascension_crit"	"暴擊"
		"DOTA_Tooltip_ability_ascension_magic_immunity"	"天神下凡"
		"DOTA_Tooltip_ability_ascension_magic_immunity_Description"	"每間隔一段時間，天神附體，免疫魔法傷害"
		"DOTA_Tooltip_ability_bingzhishijie"	"冰之世界"
		"DOTA_Tooltip_ability_bingzhishijie_Description"	"每過十五秒，由自身為中心，延遲3S，瞬間凍結周身2500碼內的地方單位 ，造成  2*攻擊力的魔法傷害，並凍結3S\n"
		"DOTA_Tooltip_ability_boss_invoker_call_lua"	"元素召喚"
		"DOTA_Tooltip_ability_boss_invoker_call_lua_Description"	"水，火，雷，土\n							初始，在四個元素之中 隨機一個元素，出現兩個元素精靈		，每20S將會再出現兩隻（無論之前的元素精靈有沒有死亡）\n							血量低於75%，再剩下的三個元素之中，隨機一個元素，出現兩個 元素精靈		每20S將會再出現兩隻（無論之前的元素精靈有沒有死亡）\n							血量低於50%，在剩下的兩個元素之中，隨機一個元素，出現兩個 元素精靈		每20S將會再出現兩隻（無論之前的元素精靈有沒有死亡）\n							血量低於25%，以剩下的元素，出現三個 元素精靈		每20S將會再出現兩隻（無論之前的元素精靈有沒有死亡）"
		"DOTA_Tooltip_ability_boss_invoker_end_lua"	"奧術狂暴"
		"DOTA_Tooltip_ability_boss_one_attack_passive_lua"	"錘擊"
		"DOTA_Tooltip_ability_boss_one_attack_passive_lua_Description"	"攻擊命中目標時有15%%的概率對目標造成2.5倍的物理傷害，並眩暈目標1.5s"
		"DOTA_Tooltip_ability_boss_one_bloodfire_lua"	"逆境反擊"
		"DOTA_Tooltip_ability_boss_one_bloodfire_lua_Description"	"逆境反擊"
		"DOTA_Tooltip_ability_boss_one_storm_lua"	"制裁之錘"
		"DOTA_Tooltip_ability_boss_phoenix_fire_lua"	"鳳凰火焰"
		"DOTA_Tooltip_ability_boss_phoenix_fireline_lua"	"赤焰千里"
		"DOTA_Tooltip_ability_boss_phoenix_firemana_lua"	"鳳凰射線"
		"DOTA_Tooltip_ability_boss_phoenix_firetarget_lua"	"火焰噴射"
		"DOTA_Tooltip_ability_boss_phoenix_stone_lua"	"天降隕石"
		"DOTA_Tooltip_ability_boss_phoenix_turnegg_lua"	"涅槃"
		"DOTA_Tooltip_ability_boss_shakeground_lua"	"大地裂擊"
		"DOTA_Tooltip_ability_boss_tiny_armor_lua"	"崎嶇外殼"
		"DOTA_Tooltip_ability_boss_tiny_attack_lua"	"重錘粉碎"
		"DOTA_Tooltip_ability_boss_tiny_bloodfire_lua"	"暴走"
		"DOTA_Tooltip_ability_boss_tiny_jump_lua"	"泰山壓頂"
		"DOTA_Tooltip_ability_boss_tiny_throw_lua"	"投擲"
		"DOTA_Tooltip_ability_boss_tiny_yell_lua"	"嚎叫"
		"DOTA_Tooltip_ability_boss_two_attack_passive_lua"	"暴擊"
		"DOTA_Tooltip_ability_boss_two_attack_passive_lua_Description"	"普通攻擊有30%的概率造成 3倍暴擊傷害"
		"DOTA_Tooltip_ability_boss_two_endaoe_lua"	"孤立暗殺"
		"DOTA_Tooltip_ability_boss_two_endaoe_lua_Description"	"？？？？？？？？？？？"
		"DOTA_Tooltip_ability_boss_two_evosion_passive_lua"	"完美閃避"
		"DOTA_Tooltip_ability_boss_two_evosion_passive_lua_Description"	"幻影刺客靈活的身法常常能幫她躲避一些致命的傷害，%percent%%規避本次傷害"
		"DOTA_Tooltip_ability_boss_two_flash_lua"	"閃爍突襲"
		"DOTA_Tooltip_ability_boss_two_flash_lua_Description"	"每過十五秒，會在周圍3000碼的範圍內選取一個血量百分比最低的單位 ，2S後瞬移到目標身後，並提高200%的攻擊速度，並鎖定目標單位攻擊，持續三秒"
