"lang"
{
	"Language"	"SChinese"
	"Tokens"
	{
		"BOSS_1"	"亡灵骑士"
		"DOTA_Tooltip_ability_item_tz_3_3_1_Description"	"<h1>主动：坚韧(套装技能)</h1>给周围队友一次弱驱散，并回复友军以施法者全属性*5的生命值  作用范围：1800码\n\n<h1>被动：水灵之心</h1>周围友军英雄全属性+30，生命回复+10，魔法回复+5"
		"DOTA_Tooltip_ability_item_tz_3_3_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_3_2"	"<font color='#477bff'>潮汐水灵戒指</font>"
		"DOTA_Tooltip_ability_item_tz_3_3_2_Description"	"<h1>被动：水灵耳环</h1>周围友军的攻击提升20%，攻击速度+20"
		"DOTA_Tooltip_ability_item_tz_3_3_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_3_3"	"<font color='#477bff'>潮汐水灵庇护</font>"
		"DOTA_Tooltip_ability_item_tz_3_3_3_Description"	"<h1>被动：水灵庇护</h1>周围友军的技能伤害提升5%，护甲+5 魔法抗性+10%"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_crit"	"%+暴击概率"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_1"	"<font color='#477bff'>冰霜亡灵手镯</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_1_Description"	"<h1>主动：</h1>主动：发出一圈寒冰，对周围的1000码的敌方单位造成 20*智力的魔法伤害，并造成减速30%，持续3s"
		"DOTA_Tooltip_ability_item_tz_3_4_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_2"	"<font color='#477bff'>冰霜亡灵戒指</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_2_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_3_4_3"	"<font color='#477bff'>冰霜亡灵项链</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_crit"	"%+魔法暴击概率"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_3_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_4_1_1"	"<font color='#a91ac8'>大地脉动战甲</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_1_Description"	"<h1>主动：(套装技能)</h1>主动：自身护甲+15，力量+400 ，技能伤害+20%，持续12s"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_1_2"	"<font color='#a91ac8'>大地脉动之靴</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_attacked_hp_regen"	"+被攻击回复生命"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_1_3"	"<font color='#a91ac8'>大地脉动头盔</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_2_1"	"<font color='#a91ac8'>逝魔爆裂</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_1_Description"	"<h1>被动：低能感知</h1>释放技能耗蓝增加+50%"
		"DOTA_Tooltip_ability_item_tz_4_2_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_1_bonus_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_4_2_2"	"<font color='#a91ac8'>法力流失</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_2_Description"	"<h1>被动：魔力流失</h1>每秒流逝自身1%的最大魔法值"
		"DOTA_Tooltip_ability_item_tz_4_2_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_2_bonus_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_4_2_3"	"<font color='#a91ac8'>秘银精石</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_3_Description"	"<h1>被动：魔力压制</h1>降低100%魔法回复速率"
		"DOTA_Tooltip_ability_item_tz_4_2_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_3_bonus_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_4_3_1"	"<font color='#a91ac8'>漫天黄沙上衣</font>"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_evasion"	"%+$evasion"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_3_2"	"<font color='#a91ac8'>漫天黄沙头盔</font>"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_3_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_3_3"	"<font color='#a91ac8'>漫天黄沙之靴</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_1"	"<font color='#a91ac8'>雷霆悸动项链</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_crit"	"%+魔法暴击概率"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_crit_damage"	"%+魔法暴击伤害"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_1_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_4_4_2"	"<font color='#a91ac8'>雷霆悸动手镯</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_evasion"	"%+$evasion"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_4_3"	"<font color='#a91ac8'>雷霆悸动戒指</font>"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_4_3_bonus_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_4_5_1"	"<font color='#a91ac8'>泰坦的象征</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_1_Description"	"<h1>主动：泰坦神力(套装技能))</h1>力量+50%%  生命值+30000  ，攻击力+200%%，防御+20，魔法抗性+30%%  移动速度-30%% 攻击速度-100 ，每次攻击都会目标及周围200码的敌人造成   2*攻击力+5*力量的物理伤害    持续30s"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_1_bonus_strength_percent"	"%+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_2"	"<font color='#a91ac8'>泰坦的追忆</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_crit"	"%+物理暴击概率"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_5_3"	"<font color='#a91ac8'>泰坦的归寂</font>"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_crit_damage"	"%+物理暴击伤害"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_5_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_6_1"	"<font color='#a91ac8'>海王的挂坠</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_1_Description"	"<h1>被动：三叉戟之力</h1>每次攻击有50%对目标造成3000点魔法伤害"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_6_1_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_4_6_2"	"<font color='#a91ac8'>海王的权御皇冠</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_6_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_6_3"	"<font color='#a91ac8'>海王的御浪神珠</font>"
		"DOTA_Tooltip_ability_item_tz_4_6_3_Description"	"<h1>被动：御浪神珠的威压</h1>减少周围目标10点护甲  作用范围：900码"
		"DOTA_Tooltip_ability_item_tz_4_6_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_6_3_bonus_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_4_7_1"	"<font color='#a91ac8'>幽魂上衣</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_1_Description"	"<h1>被动：招魂</h1>每击杀一个单位有5%的概率增加一点幽魂，每点幽魂增加10点智力，（最多可储存50点，每次死亡掉落一半幽魂，小数点向上取整）"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_2"	"<font color='#a91ac8'>幽魂之靴</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_2_Description"	"<h1>主动：</h1>使用进入幽魂状态，移动速度+30%，不能攻击，不受物理伤害，受到的魔法伤害增加50%，持续5S"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_3"	"<font color='#a91ac8'>幽魂护腕</font>"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_7_3_bonus_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_4_8_1"	"<font color='#a91ac8'>生命的落幕</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_1_Description"	"<h1>被动：</h1>周围友方英雄单位主属性+220, 攻击力+400, 攻击速度+40"
		"DOTA_Tooltip_ability_item_tz_4_8_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_8_2"	"<font color='#a91ac8'>心痛的诀别</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_2_Description"	"<h1>被动：</h1>周围1500码内的友方单位护甲+10点，魔法抗性+15%%      暴击概率+3%%，暴击伤害+20%%"
		"DOTA_Tooltip_ability_item_tz_4_8_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_8_3"	"<font color='#a91ac8'>人生的寂寥</font>"
		"DOTA_Tooltip_ability_item_tz_4_8_3_Description"	"<h1>被动：</h1>周围友方单位的 技能伤害+20%    生命回复 +2000，魔法回复+10"
		"DOTA_Tooltip_ability_item_tz_4_8_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_5_1_1"	"<font color='#fe6d15'>火焰焚天项链</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_crit"	"%+暴击概率"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_mainbonus"	"+主属性"
		"DOTA_Tooltip_ability_item_tz_5_1_1_bonus_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_5_1_2"	"<font color='#fe6d15'>火焰焚天手镯</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_crit"	"%+暴击概率"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_crit_damage"	"%+暴击伤害"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_2_bonus_mainbonus"	"+主属性"
		"DOTA_Tooltip_ability_item_tz_5_1_3"	"<font color='#fe6d15'>火焰焚天戒指</font>"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_mainbonus"	"+主属性"
		"DOTA_Tooltip_ability_item_tz_5_1_3_bonus_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_5_2_1"	"<font color='#fe6d15'>毒龙之心</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_1_Description"	"<h1>被动：腐蚀</h1>攻击减少目标3点护甲，最多叠加20次,持续5s"
		"DOTA_Tooltip_ability_item_tz_5_2_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_1_bonus_mainbonus_percent"	"%+主属性"
		"DOTA_Tooltip_ability_item_tz_5_2_2"	"<font color='#fe6d15'>毒龙之牙</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_2_bonus_mainbonus_percent"	"%+主属性"
		"DOTA_Tooltip_ability_item_tz_5_2_3"	"<font color='#fe6d15'>毒龙内丹</font>"
		"DOTA_Tooltip_ability_item_tz_5_2_3_Description"	"<h1>被动：蛇丹</h1>每分钟增加100点主属性，攻击目标会造成毒素伤害，持续对目标造成20000点魔法伤害，伤害间隔1s，持续5s"
		"DOTA_Tooltip_ability_item_tz_5_2_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_2_3_bonus_mainbonus_percent"	"%+主属性"
		"DOTA_Tooltip_ability_item_tz_5_3_1"	"<font color='#fe6d15'>万世生命符咒</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_1_Description"	"<h1>主动：万世荣光（套装技能）</h1> 周围1200码的友方英雄单位，技能等级伤害+2   持续10s"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_5_3_1_bonus_spell_level"	"+技能等级伤害"
		"DOTA_Tooltip_ability_item_tz_5_3_2"	"<font color='#fe6d15'>万世生命魔法书</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_cooldown"	"%+冷却缩减"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_mainbonus"	"+主属性"
		"DOTA_Tooltip_ability_item_tz_5_3_2_bonus_spell_level"	"+技能等级伤害"
		"DOTA_Tooltip_ability_item_tz_5_3_3"	"<font color='#fe6d15'>万世生命魔法石</font>"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_spell_damage"	"%+技能伤害"
		"DOTA_Tooltip_ability_item_tz_5_3_3_bonus_spell_level"	"+技能等级伤害"
		"DOTA_Tooltip_ability_item_tz_5_4_1"	"<font color='#fe6d15'>黑暗执行者之冠</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_1_Description"	"<h1>主动：黑雾藏踪(套装技能)</h1>遁入黑雾中，失去行踪，伤害减免50%%  生命回复+10%%    持续3s，黑雾消失后，攻击提升50%%，攻击速度+50，移动速度+20%%，持续5S\n\n<h1>被动：嫉恨</h1>每次攻击会对目标额外造成200点物理伤害，可叠加，最大15层。持续5s"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_damage_percent"	"%+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_1_bonus_mainbonus"	"+主属性"
		"DOTA_Tooltip_ability_item_tz_5_4_2"	"<font color='#fe6d15'>黑暗执行者项链</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_2_Description"	"<h1>被动：血腥</h1>每次攻击增加自身3点攻速，持续3s，最多叠加15层"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_mainbonus"	"+主属性"
		"DOTA_Tooltip_ability_item_tz_5_4_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_5_4_3"	"<font color='#fe6d15'>黑暗执行者戒指</font>"
		"DOTA_Tooltip_ability_item_tz_5_4_3_Description"	"<h1>被动：肆虐</h1>每次攻击增加自身300点攻击力，持续3s，最多叠加15层"
		"DOTA_Tooltip_ability_item_tz_5_4_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_tz_5_4_3_bonus_mainbonus"	"+主属性"
		"DOTA_Tooltip_ability_ability_hero_1"	"祈福"
		"DOTA_Tooltip_ability_ability_hero_1_Description"	"特殊技能<br><font color=\"#d9534f\">效果：使用后，能获得随机金钱，并有概率获得随机道具</font>"
		"DOTA_Tooltip_ability_ability_hero_1_Lore"	"金钱和道具的质量都会随着波数的增加而提高"
		"DOTA_Tooltip_ability_ability_hero_1_baseHeal"	"基础治疗"
		"DOTA_Tooltip_ability_ability_hero_1_i"	"治疗力量系数"
		"DOTA_Tooltip_ability_ability_hero_2"	"跳跃"
		"DOTA_Tooltip_ability_ability_hero_2_Description"	"跳到目标区域，最远至%max_distance%码<br><br><font color=\"#f0ad4e\">如果目标点在四个商店（祭坛四周的四个美女）附近，则直接传送，无视距离</font>"
		"DOTA_Tooltip_ability_ability_hero_2_radius"	"最大跳跃距离"
		"DOTA_Tooltip_ability_anjiannanfang"	"暗箭难防"
		"DOTA_Tooltip_ability_aoshukuangxiang"	"奥术狂想"
		"DOTA_Tooltip_ability_aoshukuangxiang_Description"	"冷却缩减 +50%"
		"DOTA_Tooltip_ability_aoshuzhuanjin"	"奥术专精"
		"DOTA_Tooltip_ability_aoshuzhuanjin_Description"	"攻击命中会释放一个法球，攻击附近一个随机单位"
		"DOTA_Tooltip_ability_ascension_bulwark"	"冷眼相待"
		"DOTA_Tooltip_ability_ascension_bulwark_Description"	"正面受到的普通攻击伤害减少 50%%，侧面25%%"
		"DOTA_Tooltip_ability_ascension_crit"	"暴击"
		"DOTA_Tooltip_ability_ascension_magic_immunity"	"天神下凡"
		"DOTA_Tooltip_ability_ascension_magic_immunity_Description"	"每间隔一段时间，天神附体，免疫魔法伤害"
		"DOTA_Tooltip_ability_bingzhishijie"	"冰之世界"
		"DOTA_Tooltip_ability_bingzhishijie_Description"	"每过十五秒，由自身为中心，延迟3S，瞬间冻结周身2500码内的地方单位 ，造成  2*攻击力的魔法伤害，并冻结3S\n"
		"DOTA_Tooltip_ability_boss_invoker_call_lua"	"元素召唤"
		"DOTA_Tooltip_ability_boss_invoker_call_lua_Description"	"水，火，雷，土\n							初始，在四个元素之中 随机一个元素，出现两个元素精灵		，每20S将会再出现两只（无论之前的元素精灵有没有死亡）\n							血量低于75%，再剩下的三个元素之中，随机一个元素，出现两个 元素精灵		每20S将会再出现两只（无论之前的元素精灵有没有死亡）\n							血量低于50%，在剩下的两个元素之中，随机一个元素，出现两个 元素精灵		每20S将会再出现两只（无论之前的元素精灵有没有死亡）\n							血量低于25%，以剩下的元素，出现三个 元素精灵		每20S将会再出现两只（无论之前的元素精灵有没有死亡）"
		"DOTA_Tooltip_ability_boss_invoker_end_lua"	"奥术狂暴"
		"DOTA_Tooltip_ability_boss_one_attack_passive_lua"	"锤击"
		"DOTA_Tooltip_ability_boss_one_attack_passive_lua_Description"	"攻击命中目标时有15%%的概率对目标造成2.5倍的物理伤害，并眩晕目标1.5s"
		"DOTA_Tooltip_ability_boss_one_bloodfire_lua"	"逆境反击"
		"DOTA_Tooltip_ability_boss_one_bloodfire_lua_Description"	"逆境反击"
		"DOTA_Tooltip_ability_boss_one_storm_lua"	"制裁之锤"
		"DOTA_Tooltip_ability_boss_phoenix_fire_lua"	"凤凰火焰"
		"DOTA_Tooltip_ability_boss_phoenix_fireline_lua"	"赤焰千里"
		"DOTA_Tooltip_ability_boss_phoenix_firemana_lua"	"凤凰射线"
		"DOTA_Tooltip_ability_boss_phoenix_firetarget_lua"	"火焰喷射"
		"DOTA_Tooltip_ability_boss_phoenix_stone_lua"	"天降陨石"
		"DOTA_Tooltip_ability_boss_phoenix_turnegg_lua"	"涅槃"
		"DOTA_Tooltip_ability_boss_shakeground_lua"	"大地裂击"
		"DOTA_Tooltip_ability_boss_tiny_armor_lua"	"崎岖外壳"
		"DOTA_Tooltip_ability_boss_tiny_attack_lua"	"重锤粉碎"
		"DOTA_Tooltip_ability_boss_tiny_bloodfire_lua"	"暴走"
		"DOTA_Tooltip_ability_boss_tiny_jump_lua"	"泰山压顶"
		"DOTA_Tooltip_ability_boss_tiny_throw_lua"	"投掷"
		"DOTA_Tooltip_ability_boss_tiny_yell_lua"	"嚎叫"
		"DOTA_Tooltip_ability_boss_two_attack_passive_lua"	"暴击"
		"DOTA_Tooltip_ability_boss_two_attack_passive_lua_Description"	"普通攻击有30%的概率造成 3倍暴击伤害"
		"DOTA_Tooltip_ability_boss_two_endaoe_lua"	"孤立暗杀"
		"DOTA_Tooltip_ability_boss_two_endaoe_lua_Description"	"？？？？？？？？？？？"
		"DOTA_Tooltip_ability_boss_two_evosion_passive_lua"	"完美闪避"
		"DOTA_Tooltip_ability_boss_two_evosion_passive_lua_Description"	"幻影刺客灵活的身法常常能帮她躲避一些致命的伤害，%percent%%规避本次伤害"
		"DOTA_Tooltip_ability_boss_two_flash_lua"	"闪烁突袭"
		"DOTA_Tooltip_ability_boss_two_flash_lua_Description"	"每过十五秒，会在周围3000码的范围内选取一个血量百分比最低的单位 ，2S后瞬移到目标身后，并提高200%的攻击速度，并锁定目标单位攻击，持续三秒"
		"DOTA_Tooltip_ability_boss_two_kill_passive_lua"	"鲜血渴望"
		"DOTA_Tooltip_ability_boss_two_kill_passive_lua_Description"	"每击杀一个英雄单位，永久提升%percent%%的攻击力和%move_speed%%的移动速度"
		"DOTA_Tooltip_ability_boss_two_pureattack_lua"	"杀人技巧"
